run,gap_ms
good,300
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,436
good,164
good,600
good,236
good,364
good,600
good,36
good,564
good,436
good,164
good,600
good,236
good,200
good,164
good,36
good,200
good,200
good,164
good,36
good,200
good,200
good,164
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,100
good,100
good,100
good,100
good,100
good,200
good,100
good,100
good,100
good,100
good,600
good,600
good,600
good,600
good,600
good,600
good,400
good,100
good,100
good,100
good,100
good,100
good,100
good,100
good,100
good,100
good,600
good,600
good,600
good,600
good,600
good,200
good,200
good,200
good,200
good,200
good,200
good,600
good,600
good,600
good,600
good,600
good,300
good,100
good,100
good,100
good,100
good,100
good,100
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,1000
good,1000
good,1000
good,1000
good,1000
good,1000
good,1000
good,300
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,36
good,564
good,436
good,164
good,600
good,236
good,364
good,600
good,36
good,564
good,436
good,164
good,600
good,236
good,200
good,164
good,36
good,200
good,200
good,164
good,36
good,200
good,200
good,164
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,100
good,100
good,100
good,100
good,100
good,200
good,100
good,100
good,100
good,100
good,600
good,600
good,600
good,600
good,600
good,600
good,400
good,100
good,100
good,100
good,100
good,100
good,100
good,100
good,100
good,100
good,600
good,600
good,600
good,600
good,600
good,200
good,200
good,200
good,200
good,200
good,200
good,600
good,600
good,600
good,600
good,600
good,300
good,100
good,100
good,100
good,100
good,100
good,100
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,1000
good,1000
good,1000
good,1000
good,1000
good,1000
good,1000
good,300
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,200
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,236
good,364
good,600
good,36
good,1000
good,164
good,600
good,236
good,200
good,164
good,36
good,200
good,200
good,164
good,36
good,200
good,200
good,164
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,564
good,36
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,600
good,100
good,100
good,100
good,100
good,100
good,200
good,100
good,100
good,100
