vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh10,2024,,2.03233,1,CAM,2,10,2024
veh10,2041,,2.05008,1,CAM,3,10,2041
veh10,2083,,2.08608,1,CAM,5,10,2083
veh10,2125,,2.13108,1,CAM,4,10,2125
veh10,2134,,2.14658,1,CAM,6,10,2134
veh10,2142,,2.16083,1,CAM,1,10,2142
veh10,2224,,2.23233,1,CAM,2,10,2224
veh10,2241,,2.25008,1,CAM,3,10,2241
veh10,2283,,2.28608,1,CAM,5,10,2283
veh10,2325,,2.33108,1,CAM,4,10,2325
veh10,2334,,2.34658,1,CAM,6,10,2334
veh10,2344,,2.35083,1,CAM,12,10,2344
veh10,2342,,2.36083,1,CAM,1,10,2342
veh10,2419,,2.42133,1,CAM,8,10,2419
veh10,2424,,2.43233,1,CAM,2,10,2424
veh10,2441,,2.45008,1,CAM,3,10,2441
veh10,2483,,2.48608,1,CAM,5,10,2483
veh10,2534,,2.54658,1,CAM,6,10,2534
veh10,2544,,2.55083,1,CAM,12,10,2544
veh10,2542,,2.56083,1,CAM,1,10,2542
veh10,2569,,2.57208,1,CAM,7,10,2569
veh10,2619,,2.62133,1,CAM,8,10,2619
veh10,2624,,2.63233,1,CAM,2,10,2624
veh10,2641,,2.64308,1,CAM,3,10,2641
veh10,2683,,2.68608,1,CAM,5,10,2683
veh10,2734,,2.74658,1,CAM,6,10,2734
veh10,2744,,2.75083,1,CAM,12,10,2744
veh10,2742,,2.75158,1,CAM,1,10,2742
veh10,2769,,2.77208,1,CAM,7,10,2769
veh10,2819,,2.82133,1,CAM,8,10,2819
veh10,2824,,2.83233,1,CAM,2,10,2824
veh10,2840,2.84015,,0,CAM,10,,2840
veh10,2841,,2.84308,1,CAM,3,10,2841
veh10,2883,,2.88608,1,CAM,5,10,2883
veh10,2893,,2.90333,1,CAM,13,10,2893
veh10,2934,,2.93683,1,CAM,6,10,2934
veh10,2944,,2.95083,1,CAM,12,10,2944
veh10,2969,,2.97208,1,CAM,7,10,2969
veh10,3019,,3.02133,1,CAM,8,10,3019
veh10,3024,,3.03233,1,CAM,2,10,3024
veh10,3040,3.04015,,0,CAM,10,,3040
