vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh2,1041,1.04133,,0,CAM,2,,1041
veh2,1241,1.24133,,0,CAM,2,,1241
veh2,1441,1.44133,,0,CAM,2,,1441
veh2,1641,1.64133,,0,CAM,2,,1641
veh2,1841,1.84133,,0,CAM,2,,1841
veh2,2006,,2.01458,1,CAM,1,2,2006
veh2,2023,,2.02758,1,CAM,3,2,2023
veh2,2041,2.04133,,0,CAM,2,,2041
veh2,2134,,2.14658,1,CAM,4,2,2134
veh2,2136,,2.15408,1,CAM,6,2,2136
veh2,2171,,2.18233,1,CAM,5,2,2171
veh2,2191,,2.19358,1,CAM,9,2,2191
veh2,2206,,2.20858,1,CAM,1,2,2206
veh2,2223,,2.22758,1,CAM,3,2,2223
veh2,2241,2.24133,,0,CAM,2,,2241
veh2,2238,,2.24258,1,CAM,10,2,2238
