vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh18,3822,,3.82883,0,CAM_DROP_APP,8,18,3822
veh18,3865,,3.86908,0,CAM_DROP_APP,1,18,3865
veh18,3887,,3.89208,1,CAM,11,18,3887
veh18,3877,,3.89658,0,CAM_DROP_APP,14,18,3877
veh18,3884,,3.90408,1,CAM,13,18,3884
veh18,3917,3.91782,,0,CAM,18,,3917
veh18,3948,,3.95458,1,CAM,10,18,3948
veh18,3949,,3.95508,0,CAM_DROP_APP,7,18,3949
veh18,3958,,3.97633,0,CAM_DROP_APP,12,18,3958
veh18,3978,,3.97983,0,CAM_DROP_APP,3,18,3978
veh18,4022,,4.02883,0,CAM_DROP_APP,8,18,4022
veh18,4084,,4.08733,1,CAM,13,18,4084
veh18,4087,,4.09208,1,CAM,11,18,4087
veh18,4077,,4.09458,0,CAM_DROP_APP,14,18,4077
veh18,4117,4.11782,,0,CAM,18,,4117
veh18,4148,,4.15458,0,CAM_DROP_APP,10,18,4148
veh18,4149,,4.15508,0,CAM_DROP_APP,7,18,4149
veh18,4158,,4.17633,0,CAM_DROP_APP,12,18,4158
veh18,4222,,4.22458,0,CAM_DROP_APP,8,18,4222
veh18,4284,,4.28733,1,CAM,13,18,4284
veh18,4287,,4.29208,0,CAM_DROP_APP,11,18,4287
veh18,4277,,4.29458,0,CAM_DROP_APP,14,18,4277
veh18,4315,,4.31608,0,CAM_DROP_APP,17,18,4315
veh18,4317,4.31782,,0,CAM,18,,4317
veh18,4348,,4.35083,0,CAM_DROP_APP,10,18,4348
veh18,4349,,4.35508,1,CAM,7,18,4349
veh18,4358,,4.37633,0,CAM_DROP_APP,12,18,4358
veh18,4422,,4.42458,1,CAM,8,18,4422
veh18,4413,,4.42558,0,CAM_DROP_APP,15,18,4413
veh18,4465,,4.46908,0,CAM_DROP_APP,1,18,4465
veh18,4484,,4.48733,0,CAM_DROP_APP,13,18,4484
veh18,4477,,4.49458,0,CAM_DROP_APP,14,18,4477
veh18,4487,,4.50783,1,CAM,11,18,4487
veh18,4515,,4.51608,0,CAM_DROP_APP,17,18,4515
veh18,4517,4.51782,,0,CAM,18,,4517
veh18,4536,,4.54608,1,CAM,19,18,4536
veh18,4548,,4.55083,0,CAM_DROP_APP,10,18,4548
veh18,4549,,4.55508,1,CAM,7,18,4549
veh18,4558,,4.57233,0,CAM_DROP_APP,12,18,4558
veh18,4578,,4.59833,1,CAM,3,18,4578
veh18,4622,,4.62458,0,CAM_DROP_APP,8,18,4622
veh18,4613,,4.62558,0,CAM_DROP_APP,15,18,4613
veh18,4684,,4.68733,0,CAM_DROP_APP,13,18,4684
veh18,4677,,4.69008,0,CAM_DROP_APP,14,18,4677
veh18,4687,,4.70783,0,CAM_DROP_APP,11,18,4687
veh18,4715,,4.71683,1,CAM,17,18,4715
veh18,4717,4.71782,,0,CAM,18,,4717
veh18,4736,,4.74608,0,CAM_DROP_APP,19,18,4736
veh18,4748,,4.75083,0,CAM_DROP_APP,10,18,4748
veh18,4749,,4.75508,1,CAM,7,18,4749
veh18,4813,,4.81858,0,CAM_DROP_APP,15,18,4813
veh18,4822,,4.82458,1,CAM,8,18,4822
veh18,4884,,4.88733,1,CAM,13,18,4884
veh18,4877,,4.89008,0,CAM_DROP_APP,14,18,4877
veh18,4887,,4.90783,0,CAM_DROP_APP,11,18,4887
veh18,4915,,4.91683,0,CAM_DROP_APP,17,18,4915
veh18,4917,4.91782,,0,CAM,18,,4917
veh18,4936,,4.94608,0,CAM_DROP_APP,19,18,4936
veh18,4949,,4.95508,0,CAM_DROP_APP,7,18,4949
veh18,5013,,5.01858,0,CAM_DROP_APP,15,18,5013
veh18,5022,,5.02458,1,CAM,8,18,5022
veh18,5065,,5.06658,0,CAM_DROP_APP,1,18,5065
veh18,5084,,5.08733,1,CAM,13,18,5084
veh18,5077,,5.09008,0,CAM_DROP_APP,14,18,5077
veh18,5087,,5.10783,1,CAM,11,18,5087
veh18,5115,,5.11683,0,CAM_DROP_APP,17,18,5115
veh18,5117,5.11782,,0,CAM,18,,5117
veh18,5136,,5.14608,0,CAM_DROP_APP,19,18,5136
veh18,5149,,5.15508,1,CAM,7,18,5149
veh18,5158,,5.17233,1,CAM,12,18,5158
veh18,5178,,5.19833,0,CAM_DROP_APP,3,18,5178
veh18,5213,,5.21858,0,CAM_DROP_APP,15,18,5213
veh18,5222,,5.23483,0,CAM_DROP_APP,8,18,5222
veh18,5277,,5.28583,0,CAM_DROP_APP,14,18,5277
veh18,5284,,5.29108,1,CAM,13,18,5284
veh18,5287,,5.30733,0,CAM_DROP_APP,11,18,5287
veh18,5315,,5.31683,0,CAM_DROP_APP,17,18,5315
veh18,5317,5.31782,,0,CAM,18,,5317
veh18,5336,,5.34608,1,CAM,19,18,5336
veh18,5349,,5.35183,0,CAM_DROP_APP,7,18,5349
veh18,5348,,5.36183,1,CAM,10,18,5348
veh18,5413,,5.41858,0,CAM_DROP_APP,15,18,5413
veh18,5422,,5.42558,0,CAM_DROP_APP,8,18,5422
