vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh5,469,0.469701,,0,CAM,5,,469
veh5,669,0.669701,,0,CAM,5,,669
veh5,869,0.869701,,0,CAM,5,,869
veh5,1069,1.0697,,0,CAM,5,,1069
veh5,1269,1.2697,,0,CAM,5,,1269
veh5,1469,1.4697,,0,CAM,5,,1469
veh5,1669,1.6697,,0,CAM,5,,1669
veh5,1869,1.8697,,0,CAM,5,,1869
veh5,2069,2.0697,,0,CAM,5,,2069
veh5,2098,,2.11558,1,CAM,3,5,2098
veh5,2155,,2.16408,1,CAM,6,5,2155
veh5,2178,,2.19283,1,CAM,4,5,2178
veh5,2238,,2.24658,1,CAM,11,5,2238
veh5,2269,2.2697,,0,CAM,5,,2269
veh5,2298,,2.31558,1,CAM,3,5,2298
veh5,2355,,2.36408,1,CAM,6,5,2355
veh5,2378,,2.39283,1,CAM,4,5,2378
veh5,2438,,2.44658,1,CAM,11,5,2438
veh5,2469,2.4697,,0,CAM,5,,2469
veh5,2485,,2.49583,1,CAM,9,5,2485
veh5,2498,,2.51558,1,CAM,3,5,2498
veh5,2555,,2.56408,1,CAM,6,5,2555
veh5,2573,,2.57933,1,CAM,12,5,2573
veh5,2627,,2.63033,1,CAM,10,5,2627
veh5,2638,,2.64658,1,CAM,11,5,2638
veh5,2669,2.6697,,0,CAM,5,,2669
veh5,2685,,2.69583,1,CAM,9,5,2685
veh5,2698,,2.71208,1,CAM,3,5,2698
veh5,2728,,2.73208,1,CAM,8,5,2728
veh5,2747,,2.76008,1,CAM,15,5,2747
veh5,2755,,2.76408,1,CAM,6,5,2755
veh5,2773,,2.77933,1,CAM,12,5,2773
veh5,2775,,2.78483,1,CAM,13,5,2775
veh5,2827,,2.83033,1,CAM,10,5,2827
veh5,2838,,2.84658,1,CAM,11,5,2838
veh5,2869,2.8697,,0,CAM,5,,2869
veh5,2885,,2.89583,1,CAM,9,5,2885
veh5,2928,,2.93208,1,CAM,8,5,2928
veh5,2955,,2.96408,1,CAM,6,5,2955
veh5,2973,,2.97933,1,CAM,12,5,2973
veh5,2975,,2.98483,1,CAM,13,5,2975
veh5,3011,,3.01783,1,CAM,16,5,3011
veh5,3027,,3.03033,1,CAM,10,5,3027
veh5,3038,,3.04658,1,CAM,11,5,3038
veh5,3069,3.0697,,0,CAM,5,,3069
veh5,3085,,3.09583,1,CAM,9,5,3085
veh5,3128,,3.13208,1,CAM,8,5,3128
veh5,3155,,3.16408,1,CAM,6,5,3155
veh5,3173,,3.17933,1,CAM,12,5,3173
veh5,3175,,3.19333,1,CAM,13,5,3175
veh5,3178,,3.19633,1,CAM,4,5,3178
veh5,3211,,3.21783,1,CAM,16,5,3211
veh5,3227,,3.23033,1,CAM,10,5,3227
veh5,3238,,3.24658,1,CAM,11,5,3238
veh5,3269,3.2697,,0,CAM,5,,3269
veh5,3285,,3.29108,1,CAM,9,5,3285
veh5,3298,,3.31208,1,CAM,3,5,3298
veh5,3328,,3.33358,1,CAM,8,5,3328
veh5,3355,,3.36408,1,CAM,6,5,3355
veh5,3373,,3.37933,1,CAM,12,5,3373
veh5,3375,,3.38483,1,CAM,13,5,3375
veh5,3411,,3.41783,1,CAM,16,5,3411
veh5,3427,,3.43033,1,CAM,10,5,3427
veh5,3438,,3.44658,1,CAM,11,5,3438
veh5,3469,3.4697,,0,CAM,5,,3469
veh5,3485,,3.49108,1,CAM,9,5,3485
veh5,3528,,3.53358,1,CAM,8,5,3528
veh5,3573,,3.57933,1,CAM,12,5,3573
veh5,3575,,3.58483,1,CAM,13,5,3575
veh5,3611,,3.61783,1,CAM,16,5,3611
veh5,3627,,3.63033,1,CAM,10,5,3627
veh5,3638,,3.64658,1,CAM,11,5,3638
veh5,3647,,3.65308,1,CAM,15,5,3647
veh5,3669,3.6697,,0,CAM,5,,3669
veh5,3685,,3.69108,1,CAM,9,5,3685
veh5,3728,,3.73358,1,CAM,8,5,3728
veh5,3773,,3.77933,1,CAM,12,5,3773
veh5,3775,,3.78483,1,CAM,13,5,3775
veh5,3811,,3.81708,1,CAM,16,5,3811
veh5,3838,,3.84033,1,CAM,11,5,3838
veh5,3827,,3.84358,1,CAM,10,5,3827
veh5,3847,,3.85308,1,CAM,15,5,3847
veh5,3855,,3.86908,1,CAM,6,5,3855
veh5,3869,3.8697,,0,CAM,5,,3869
veh5,3885,,3.89108,1,CAM,9,5,3885
veh5,3898,,3.90583,1,CAM,3,5,3898
veh5,3928,,3.93358,1,CAM,8,5,3928
veh5,3975,,3.98483,1,CAM,13,5,3975
veh5,3978,,3.99008,1,CAM,4,5,3978
veh5,3973,,3.99208,1,CAM,12,5,3973
veh5,4011,,4.01708,1,CAM,16,5,4011
veh5,4038,,4.04033,1,CAM,11,5,4038
veh5,4027,,4.04358,1,CAM,10,5,4027
veh5,4047,,4.05308,1,CAM,15,5,4047
veh5,4069,4.0697,,0,CAM,5,,4069
veh5,4085,,4.09108,1,CAM,9,5,4085
veh5,4128,,4.13358,1,CAM,8,5,4128
veh5,4175,,4.17808,1,CAM,13,5,4175
veh5,4173,,4.19208,1,CAM,12,5,4173
veh5,4211,,4.21708,1,CAM,16,5,4211
veh5,4238,,4.24033,1,CAM,11,5,4238
veh5,4227,,4.24358,1,CAM,10,5,4227
veh5,4247,,4.25333,1,CAM,15,5,4247
veh5,4269,4.2697,,0,CAM,5,,4269
veh5,4328,,4.33358,1,CAM,8,5,4328
veh5,4355,,4.36908,1,CAM,6,5,4355
veh5,4375,,4.37808,1,CAM,13,5,4375
veh5,4373,,4.39208,1,CAM,12,5,4373
veh5,4411,,4.41708,1,CAM,16,5,4411
veh5,4427,,4.44358,1,CAM,10,5,4427
veh5,4447,,4.45333,1,CAM,15,5,4447
veh5,4438,,4.45633,1,CAM,11,5,4438
veh5,4485,,4.49108,1,CAM,9,5,4485
veh5,4499,,4.50558,1,CAM,18,5,4499
veh5,4498,,4.50758,1,CAM,3,5,4498
veh5,4528,,4.53358,1,CAM,8,5,4528
veh5,4575,,4.57808,1,CAM,13,5,4575
veh5,4573,,4.59208,1,CAM,12,5,4573
veh5,4611,,4.61708,1,CAM,16,5,4611
veh5,4627,,4.63983,1,CAM,10,5,4627
veh5,4636,,4.64008,1,CAM,17,5,4636
veh5,4647,,4.65333,1,CAM,15,5,4647
veh5,4638,,4.65633,1,CAM,11,5,4638
veh5,4669,4.6697,,0,CAM,5,,4669
veh5,4685,,4.70558,1,CAM,9,5,4685
veh5,4699,,4.70558,1,CAM,18,5,4699
veh5,4728,,4.73358,1,CAM,8,5,4728
veh5,4775,,4.77808,1,CAM,13,5,4775
