time_s,min_gap_m,min_ttc_s,vehicles
0.0,,,0
0.01,,,0
0.02,,,0
0.03,,,0
0.04,,,0
0.05,,,0
0.06,,,0
0.07,,,0
0.08,,,0
0.09,,,0
0.1,,,6
0.11,,,6
0.12,,,6
0.13,,,6
0.14,,,6
0.15,,,6
0.16,,,6
0.17,,,6
0.18,,,6
0.19,,,6
0.2,,,6
0.21,,,6
0.22,,,6
0.23,,,6
0.24,,,6
0.25,,,6
0.26,,,6
0.27,,,6
0.28,,,6
0.29,,,6
0.3,,,6
0.31,,,6
0.32,,,6
0.33,,,6
0.34,,,6
0.35,,,6
0.36,,,6
0.37,,,6
0.38,,,6
0.39,,,6
0.4,,,6
0.41,,,6
0.42,,,6
0.43,,,6
0.44,,,6
0.45,,,6
0.46,,,6
0.47,,,6
0.48,,,6
0.49,,,6
0.5,,,6
0.51,,,6
0.52,,,6
0.53,,,6
0.54,,,6
0.55,,,6
0.56,,,6
0.57,,,6
0.58,,,6
0.59,,,6
0.6,,,6
0.61,,,6
0.62,,,6
0.63,,,6
0.64,,,6
0.65,,,6
0.66,,,6
0.67,,,6
0.68,,,6
0.69,,,6
0.7,,,6
0.71,,,6
0.72,,,6
0.73,,,6
0.74,,,6
0.75,,,6
0.76,,,6
0.77,,,6
0.78,,,6
0.79,,,6
0.8,,,6
0.81,,,6
0.82,,,6
0.83,,,6
0.84,,,6
0.85,,,6
0.86,,,6
0.87,,,6
0.88,,,6
0.89,,,6
0.9,,,6
0.91,,,6
0.92,,,6
0.93,,,6
0.94,,,6
0.95,,,6
0.96,,,6
0.97,,,6
0.98,,,6
0.99,,,6
1.0,,,6
1.01,,,6
1.02,,,6
1.03,,,6
1.04,,,6
1.05,,,6
1.06,,,6
1.07,,,6
1.08,,,6
1.09,,,6
1.1,,,6
1.11,,,6
1.12,,,6
1.13,,,6
1.14,,,6
1.15,,,6
1.16,,,6
1.17,,,6
1.18,,,6
1.19,,,6
1.2,,,6
1.21,,,6
1.22,,,6
1.23,,,6
1.24,,,6
1.25,,,6
1.26,,,6
1.27,,,6
1.28,,,6
1.29,,,6
1.3,,,6
1.31,,,6
1.32,,,6
1.33,,,6
1.34,,,6
1.35,,,6
1.36,,,6
1.37,,,6
1.38,,,6
1.39,,,6
1.4,,,6
1.41,,,6
1.42,,,6
1.43,,,6
1.44,,,6
1.45,,,6
1.46,,,6
1.47,,,6
1.48,,,6
1.49,,,6
1.5,,,6
1.51,,,6
1.52,,,6
1.53,,,6
1.54,,,6
1.55,,,6
1.56,,,6
1.57,,,6
1.58,,,6
1.59,,,6
1.6,,,6
1.61,,,6
1.62,,,6
1.63,,,6
1.64,,,6
1.65,,,6
1.66,,,6
1.67,,,6
1.68,,,6
1.69,,,6
1.7,,,6
1.71,,,6
1.72,,,6
1.73,,,6
1.74,,,6
1.75,,,6
1.76,,,6
1.77,,,6
1.78,,,6
1.79,,,6
1.8,,,6
1.81,,,6
1.82,,,6
1.83,,,6
1.84,,,6
1.85,,,6
1.86,,,6
1.87,,,6
1.88,,,6
1.89,,,6
1.9,,,6
1.91,,,6
1.92,,,6
1.93,,,6
1.94,,,6
1.95,6.02,,7
1.96,6.02,,10
1.97,6.01,,11
1.98,6.040000000000001,,12
1.99,6.1,,12
2.0,6.15,,12
2.01,6.210000000000001,,12
2.02,6.26,,12
2.03,6.31,,12
2.04,6.37,,12
2.05,6.419999999999999,,12
2.06,6.4799999999999995,,12
2.07,6.5200000000000005,,12
2.08,6.579999999999999,,12
2.09,6.62,,12
2.1,6.680000000000001,,12
2.11,6.72,,12
2.12,6.78,,12
2.13,6.82,,12
2.14,6.879999999999999,,12
2.15,6.92,,12
2.16,6.970000000000001,,12
2.17,7.029999999999999,,12
2.18,7.07,,12
2.19,7.12,,12
2.2,7.159999999999999,,12
2.21,7.21,,13
2.22,7.250000000000001,,13
2.23,7.299999999999999,,13
2.24,7.34,,13
2.25,7.390000000000001,,13
2.26,7.43,,13
2.27,7.48,,13
2.28,7.5200000000000005,,13
2.29,7.569999999999999,,13
2.3,7.61,,13
2.31,7.65,,13
2.32,7.699999999999999,,13
2.33,7.73,,13
2.34,7.78,,13
2.35,7.819999999999999,,13
2.36,7.86,,13
2.37,7.9,,13
2.38,7.9399999999999995,,13
2.39,7.98,,13
2.4,8.02,,13
2.41,8.059999999999999,,13
2.42,8.1,,13
2.43,8.14,,13
2.44,8.17,,13
2.45,8.21,,13
2.46,8.25,,13
2.47,8.29,,13
2.48,8.32,,13
2.49,8.36,,13
2.5,8.39,,13
2.51,8.43,,13
2.52,8.46,,13
2.53,8.5,,13
2.54,8.54,,13
2.55,8.57,,13
2.56,8.61,,13
2.57,8.629999999999999,,13
2.58,8.670000000000002,,13
2.59,8.7,,14
2.6,8.73,,14
2.61,8.760000000000002,,14
2.62,8.8,,14
2.63,9.64,,15
2.64,9.700000000000001,,16
2.65,9.75,,16
2.66,9.81,,16
2.67,9.860000000000001,,16
2.68,9.860000000000001,,16
2.69,9.860000000000001,,16
2.7,9.860000000000001,,16
2.71,9.860000000000001,,16
2.72,9.860000000000001,,16
2.73,9.860000000000001,,16
2.74,9.860000000000001,,16
2.75,9.860000000000001,,16
2.76,9.860000000000001,,16
2.77,9.860000000000001,,16
2.78,9.860000000000001,,16
2.79,9.860000000000001,,16
2.8,9.860000000000001,,16
2.81,9.860000000000001,,16
2.82,9.860000000000001,,16
2.83,9.860000000000001,,16
2.84,9.860000000000001,,16
2.85,9.860000000000001,,16
2.86,9.860000000000001,,16
2.87,9.860000000000001,,16
2.88,9.860000000000001,,16
2.89,9.860000000000001,,16
2.9,9.860000000000001,,16
2.91,9.860000000000001,,16
2.92,9.860000000000001,,16
2.93,9.860000000000001,,16
2.94,9.860000000000001,,16
2.95,9.860000000000001,,16
2.96,9.860000000000001,,16
2.97,9.860000000000001,,16
2.98,9.860000000000001,,16
2.99,9.860000000000001,,16
3.0,9.860000000000001,,16
3.01,9.860000000000001,,16
3.02,9.860000000000001,,16
3.03,9.860000000000001,,16
3.04,9.860000000000001,,16
3.05,9.860000000000001,,16
3.06,9.860000000000001,,16
3.07,9.860000000000001,,16
3.08,9.860000000000001,,16
3.09,9.860000000000001,,16
3.1,9.860000000000001,,16
3.11,9.860000000000001,,16
3.12,9.860000000000001,,16
3.13,9.860000000000001,,16
3.14,9.860000000000001,,16
3.15,9.860000000000001,,16
3.16,9.860000000000001,,16
3.17,9.860000000000001,,16
3.18,9.860000000000001,,16
3.19,9.860000000000001,,16
3.2,9.860000000000001,,16
3.21,9.860000000000001,,16
3.22,9.860000000000001,,16
3.23,9.860000000000001,,16
3.24,9.860000000000001,,16
3.25,9.860000000000001,,16
3.26,9.860000000000001,,16
3.27,9.860000000000001,,16
3.28,9.860000000000001,,16
3.29,9.860000000000001,,16
3.3,9.860000000000001,,16
3.31,9.860000000000001,,16
3.32,9.860000000000001,,16
3.33,9.860000000000001,,16
3.34,9.860000000000001,,16
3.35,9.860000000000001,,16
3.36,9.860000000000001,,16
3.37,9.860000000000001,,16
3.38,9.860000000000001,,16
3.39,9.860000000000001,,16
3.4,9.860000000000001,,16
3.41,9.860000000000001,,16
3.42,9.860000000000001,,16
3.43,9.860000000000001,,16
3.44,9.860000000000001,246.50000000000003,16
3.45,9.860000000000001,123.25000000000001,16
3.46,9.860000000000001,82.16666666666669,16
3.47,9.860000000000001,61.62500000000001,16
3.48,9.850000000000001,49.25000000000001,16
3.49,9.850000000000001,41.04166666666667,16
3.5,9.850000000000001,35.17857142857143,16
3.51,9.850000000000001,30.781250000000004,16
3.52,9.84,27.333333333333336,16
3.53,9.84,25.23076923076923,16
3.54,9.830000000000002,22.860465116279073,16
3.55,9.830000000000002,20.91489361702128,16
3.56,9.82,19.254901960784313,16
3.57,9.82,17.854545454545455,16
3.58,9.81,16.6271186440678,16
3.59,9.81,15.571428571428573,16
3.6,9.8,14.84848484848485,16
3.61,9.790000000000001,13.985714285714288,16
3.62,9.780000000000001,13.216216216216218,16
3.63,9.780000000000001,12.53846153846154,16
3.64,9.77,11.914634146341463,16
3.65,9.760000000000002,11.482352941176472,16
3.66,9.75,10.95505617977528,16
3.67,9.740000000000002,10.473118279569894,16
3.68,9.73,10.030927835051546,16
3.69,9.72,9.623762376237623,16
3.7,9.71,9.336538461538462,16
3.71,9.700000000000001,8.981481481481483,16
3.72,9.690000000000001,8.651785714285715,16
