vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh15,2238,,2.24658,0,CAM_DROP_APP,11,15,2238
veh15,2269,,2.28708,0,CAM_DROP_APP,5,15,2269
veh15,2298,,2.31558,1,CAM,3,15,2298
veh15,2355,,2.36408,0,CAM_DROP_APP,6,15,2355
veh15,2378,,2.39283,1,CAM,4,15,2378
veh15,2438,,2.44658,0,CAM_DROP_APP,11,15,2438
veh15,2469,,2.48708,0,CAM_DROP_APP,5,15,2469
veh15,2485,,2.49583,0,CAM_DROP_APP,9,15,2485
veh15,2498,,2.51558,0,CAM_DROP_APP,3,15,2498
veh15,2555,,2.56408,0,CAM_DROP_APP,6,15,2555
veh15,2573,,2.57933,1,CAM,12,15,2573
veh15,2627,,2.63033,0,CAM_DROP_APP,10,15,2627
veh15,2638,,2.64658,1,CAM,11,15,2638
veh15,2669,,2.68308,0,CAM_DROP_APP,5,15,2669
veh15,2685,,2.69583,0,CAM_DROP_APP,9,15,2685
veh15,2698,,2.71208,0,CAM_DROP_APP,3,15,2698
veh15,2728,,2.73208,0,CAM_DROP_APP,8,15,2728
veh15,2747,2.74761,,0,CAM,15,,2747
veh15,2755,,2.76408,1,CAM,6,15,2755
veh15,2773,,2.77933,0,CAM_DROP_APP,12,15,2773
veh15,2775,,2.78483,1,CAM,13,15,2775
veh15,2827,,2.83033,1,CAM,10,15,2827
veh15,2838,,2.84658,0,CAM_DROP_APP,11,15,2838
veh15,2869,,2.88308,0,CAM_DROP_APP,5,15,2869
veh15,2885,,2.89583,0,CAM_DROP_APP,9,15,2885
veh15,2928,,2.93208,0,CAM_DROP_APP,8,15,2928
veh15,2955,,2.96408,1,CAM,6,15,2955
veh15,2973,,2.97933,0,CAM_DROP_APP,12,15,2973
veh15,2975,,2.98483,1,CAM,13,15,2975
veh15,3011,,3.01783,0,CAM_DROP_APP,16,15,3011
veh15,3027,,3.03033,0,CAM_DROP_APP,10,15,3027
veh15,3038,,3.04658,0,CAM_DROP_APP,11,15,3038
veh15,3069,,3.08308,1,CAM,5,15,3069
veh15,3085,,3.09583,0,CAM_DROP_APP,9,15,3085
veh15,3128,,3.13208,0,CAM_DROP_APP,8,15,3128
veh15,3155,,3.16408,0,CAM_DROP_APP,6,15,3155
veh15,3173,,3.17933,0,CAM_DROP_APP,12,15,3173
veh15,3175,,3.18483,0,CAM_DROP_APP,13,15,3175
veh15,3178,,3.19633,1,CAM,4,15,3178
veh15,3211,,3.21783,0,CAM_DROP_APP,16,15,3211
veh15,3227,,3.23033,0,CAM_DROP_APP,10,15,3227
veh15,3238,,3.24658,0,CAM_DROP_APP,11,15,3238
veh15,3269,,3.28308,0,CAM_DROP_APP,5,15,3269
veh15,3285,,3.29108,0,CAM_DROP_APP,9,15,3285
veh15,3298,,3.31208,1,CAM,3,15,3298
veh15,3328,,3.33358,1,CAM,8,15,3328
veh15,3355,,3.36408,0,CAM_DROP_APP,6,15,3355
veh15,3373,,3.37933,0,CAM_DROP_APP,12,15,3373
veh15,3375,,3.38483,0,CAM_DROP_APP,13,15,3375
veh15,3411,,3.41783,0,CAM_DROP_APP,16,15,3411
veh15,3427,,3.43033,0,CAM_DROP_APP,10,15,3427
veh15,3438,,3.44658,0,CAM_DROP_APP,11,15,3438
veh15,3469,,3.48308,0,CAM_DROP_APP,5,15,3469
veh15,3485,,3.49108,0,CAM_DROP_APP,9,15,3485
veh15,3528,,3.53358,1,CAM,8,15,3528
veh15,3573,,3.57933,0,CAM_DROP_APP,12,15,3573
veh15,3575,,3.58483,0,CAM_DROP_APP,13,15,3575
veh15,3611,,3.61783,0,CAM_DROP_APP,16,15,3611
veh15,3627,,3.63033,1,CAM,10,15,3627
veh15,3638,,3.64658,1,CAM,11,15,3638
veh15,3647,3.64761,,0,CAM,15,,3647
veh15,3669,,3.68308,0,CAM_DROP_APP,5,15,3669
veh15,3685,,3.69108,1,CAM,9,15,3685
veh15,3728,,3.73358,0,CAM_DROP_APP,8,15,3728
veh15,3773,,3.77933,1,CAM,12,15,3773
veh15,3775,,3.78483,0,CAM_DROP_APP,13,15,3775
veh15,3811,,3.81708,0,CAM_DROP_APP,16,15,3811
veh15,3838,,3.84033,0,CAM_DROP_APP,11,15,3838
veh15,3827,,3.84358,0,CAM_DROP_APP,10,15,3827
veh15,3847,3.84761,,0,CAM,15,,3847
veh15,3855,,3.86908,1,CAM,6,15,3855
veh15,3869,,3.88308,0,CAM_DROP_APP,5,15,3869
veh15,3885,,3.89108,0,CAM_DROP_APP,9,15,3885
veh15,3898,,3.90583,0,CAM_DROP_APP,3,15,3898
veh15,3928,,3.93358,1,CAM,8,15,3928
veh15,3975,,3.98483,0,CAM_DROP_APP,13,15,3975
veh15,3978,,3.99008,1,CAM,4,15,3978
veh15,3973,,3.99208,0,CAM_DROP_APP,12,15,3973
veh15,4011,,4.01708,0,CAM_DROP_APP,16,15,4011
veh15,4038,,4.04033,0,CAM_DROP_APP,11,15,4038
veh15,4027,,4.04358,0,CAM_DROP_APP,10,15,4027
veh15,4047,4.04761,,0,CAM,15,,4047
veh15,4069,,4.08308,0,CAM_DROP_APP,5,15,4069
veh15,4085,,4.09108,0,CAM_DROP_APP,9,15,4085
veh15,4128,,4.13358,0,CAM_DROP_APP,8,15,4128
veh15,4175,,4.17808,0,CAM_DROP_APP,13,15,4175
veh15,4173,,4.19208,0,CAM_DROP_APP,12,15,4173
veh15,4211,,4.21708,0,CAM_DROP_APP,16,15,4211
veh15,4238,,4.24033,0,CAM_DROP_APP,11,15,4238
veh15,4227,,4.24358,1,CAM,10,15,4227
veh15,4247,4.24761,,0,CAM,15,,4247
