vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh19,4487,,4.50783,1,CAM,11,19,4487
veh19,4515,,4.51608,1,CAM,17,19,4515
veh19,4517,,4.52408,1,CAM,18,19,4517
veh19,4536,4.53671,,0,CAM,19,,4536
veh19,4548,,4.55083,1,CAM,10,19,4548
veh19,4549,,4.55508,1,CAM,7,19,4549
veh19,4558,,4.57233,1,CAM,12,19,4558
veh19,4578,,4.59833,1,CAM,3,19,4578
veh19,4622,,4.62458,1,CAM,8,19,4622
veh19,4613,,4.62558,1,CAM,15,19,4613
veh19,4684,,4.68733,1,CAM,13,19,4684
veh19,4677,,4.69008,1,CAM,14,19,4677
veh19,4687,,4.70783,1,CAM,11,19,4687
veh19,4715,,4.71683,1,CAM,17,19,4715
veh19,4717,,4.72408,1,CAM,18,19,4717
veh19,4736,4.73671,,0,CAM,19,,4736
veh19,4748,,4.75083,1,CAM,10,19,4748
veh19,4749,,4.75508,1,CAM,7,19,4749
veh19,4813,,4.81858,1,CAM,15,19,4813
veh19,4822,,4.82458,1,CAM,8,19,4822
veh19,4884,,4.88733,1,CAM,13,19,4884
veh19,4877,,4.89008,1,CAM,14,19,4877
veh19,4887,,4.90783,1,CAM,11,19,4887
veh19,4915,,4.91683,1,CAM,17,19,4915
veh19,4917,,4.92408,1,CAM,18,19,4917
veh19,4936,4.93671,,0,CAM,19,,4936
veh19,4949,,4.95508,1,CAM,7,19,4949
veh19,5013,,5.01858,1,CAM,15,19,5013
veh19,5022,,5.02458,1,CAM,8,19,5022
veh19,5065,,5.06658,1,CAM,1,19,5065
veh19,5084,,5.08733,1,CAM,13,19,5084
veh19,5077,,5.09008,1,CAM,14,19,5077
veh19,5087,,5.10783,1,CAM,11,19,5087
veh19,5115,,5.11683,1,CAM,17,19,5115
veh19,5117,,5.12408,1,CAM,18,19,5117
veh19,5136,5.13671,,0,CAM,19,,5136
veh19,5149,,5.15508,1,CAM,7,19,5149
veh19,5158,,5.17233,1,CAM,12,19,5158
veh19,5178,,5.19833,1,CAM,3,19,5178
veh19,5213,,5.21858,1,CAM,15,19,5213
veh19,5222,,5.22558,1,CAM,8,19,5222
veh19,5277,,5.28583,1,CAM,14,19,5277
veh19,5284,,5.29108,1,CAM,13,19,5284
veh19,5287,,5.30733,1,CAM,11,19,5287
veh19,5315,,5.31683,1,CAM,17,19,5315
veh19,5317,,5.32458,1,CAM,18,19,5317
veh19,5336,5.33671,,0,CAM,19,,5336
veh19,5349,,5.35183,1,CAM,7,19,5349
veh19,5348,,5.36183,1,CAM,10,19,5348
veh19,5413,,5.41858,1,CAM,15,19,5413
veh19,5422,,5.42558,1,CAM,8,19,5422
veh19,5477,,5.48583,1,CAM,14,19,5477
veh19,5484,,5.49108,1,CAM,13,19,5484
veh19,5487,,5.50733,1,CAM,11,19,5487
veh19,5515,,5.51683,1,CAM,17,19,5515
veh19,5517,,5.52458,1,CAM,18,19,5517
veh19,5536,5.53671,,0,CAM,19,,5536
veh19,5549,,5.55183,1,CAM,7,19,5549
veh19,5613,,5.61858,1,CAM,15,19,5613
veh19,5622,,5.62558,1,CAM,8,19,5622
veh19,5665,,5.66658,1,CAM,1,19,5665
veh19,5677,,5.68583,1,CAM,14,19,5677
veh19,5684,,5.69108,1,CAM,13,19,5684
veh19,5717,,5.72458,1,CAM,18,19,5717
veh19,5715,,5.73433,1,CAM,17,19,5715
veh19,5736,5.73671,,0,CAM,19,,5736
veh19,5758,,5.76408,1,CAM,12,19,5758
veh19,5749,,5.76908,1,CAM,7,19,5749
veh19,5778,,5.79783,1,CAM,3,19,5778
veh19,5822,,5.82558,1,CAM,8,19,5822
veh19,5813,,5.83183,1,CAM,15,19,5813
veh19,5877,,5.88583,1,CAM,14,19,5877
