vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh10,2005,,2.00708,1,CAM,3,10,2005
veh10,2010,,2.01683,1,CAM,7,10,2010
veh10,2082,,2.08358,1,CAM,11,10,2082
veh10,2125,,2.14108,1,CAM,1,10,2125
veh10,2149,,2.16783,1,CAM,4,10,2149
veh10,2163,,2.17608,1,CAM,2,10,2163
veh10,2205,,2.20708,1,CAM,3,10,2205
veh10,2210,,2.21683,1,CAM,7,10,2210
veh10,2282,,2.28358,1,CAM,11,10,2282
veh10,2325,,2.34108,1,CAM,1,10,2325
veh10,2349,,2.36783,1,CAM,4,10,2349
veh10,2368,,2.37083,1,CAM,12,10,2368
veh10,2363,,2.37608,1,CAM,2,10,2363
veh10,2390,2.39093,,0,CAM,10,,2390
veh10,2405,,2.40708,1,CAM,3,10,2405
veh10,2410,,2.41683,1,CAM,7,10,2410
veh10,2482,,2.48358,1,CAM,11,10,2482
