vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh3,978,0.978507,,0,CAM,3,,978
veh3,1178,1.17851,,0,CAM,3,,1178
veh3,1378,1.37851,,0,CAM,3,,1378
veh3,1578,1.57851,,0,CAM,3,,1578
veh3,1778,1.77851,,0,CAM,3,,1778
veh3,1978,1.97851,,0,CAM,3,,1978
veh3,2178,2.17851,,0,CAM,3,,2178
veh3,2265,,2.26908,1,CAM,1,3,2265
veh3,2378,2.37851,,0,CAM,3,,2378
veh3,2558,,2.56308,1,CAM,12,3,2558
veh3,2578,2.57851,,0,CAM,3,,2578
veh3,2687,,2.69233,1,CAM,11,3,2687
veh3,2778,2.77851,,0,CAM,3,,2778
veh3,2822,,2.82883,1,CAM,8,3,2822
veh3,2949,,2.95958,1,CAM,7,3,2949
veh3,3148,,3.15458,1,CAM,10,3,3148
veh3,3349,,3.35958,1,CAM,7,3,3349
veh3,3378,3.37851,,0,CAM,3,,3378
veh3,3358,,3.38483,1,CAM,12,3,3358
veh3,3484,,3.50408,1,CAM,13,3,3484
veh3,3549,,3.55958,1,CAM,7,3,3549
veh3,3684,,3.70408,1,CAM,13,3,3684
veh3,3748,,3.75458,1,CAM,10,3,3748
veh3,3948,,3.95458,1,CAM,10,3,3948
veh3,3949,,3.95508,1,CAM,7,3,3949
veh3,3958,,3.97633,1,CAM,12,3,3958
veh3,3978,3.97851,,0,CAM,3,,3978
veh3,4022,,4.02883,1,CAM,8,3,4022
veh3,4077,,4.09458,1,CAM,14,3,4077
veh3,4117,,4.12408,1,CAM,18,3,4117
veh3,4148,,4.15458,1,CAM,10,3,4148
veh3,4158,,4.17633,1,CAM,12,3,4158
veh3,4222,,4.22458,1,CAM,8,3,4222
veh3,4277,,4.29458,1,CAM,14,3,4277
veh3,4348,,4.35083,1,CAM,10,3,4348
veh3,4465,,4.46908,1,CAM,1,3,4465
veh3,4484,,4.48733,1,CAM,13,3,4484
veh3,4477,,4.49458,1,CAM,14,3,4477
veh3,4578,4.57851,,0,CAM,3,,4578
veh3,4677,,4.69008,1,CAM,14,3,4677
veh3,5084,,5.08733,1,CAM,13,3,5084
veh3,5115,,5.11683,1,CAM,17,3,5115
veh3,5158,,5.17233,1,CAM,12,3,5158
veh3,5178,5.17851,,0,CAM,3,,5178
veh3,5348,,5.36183,1,CAM,10,3,5348
veh3,5413,,5.41858,1,CAM,15,3,5413
veh3,5536,,5.54333,1,CAM,19,3,5536
veh3,5549,,5.55183,1,CAM,7,3,5549
veh3,5622,,5.62558,1,CAM,8,3,5622
veh3,5684,,5.69108,1,CAM,13,3,5684
veh3,5717,,5.72458,1,CAM,18,3,5717
veh3,5758,,5.76408,1,CAM,12,3,5758
veh3,5778,5.77851,,0,CAM,3,,5778
veh3,5877,,5.88583,1,CAM,14,3,5877
