messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,7,2949,45.0531,7.65787,270,3.5,2.7
2,7,3749,45.0531,7.65782,270,5.93,2.6
2,8,3822,45.0523,7.65784,270,6.03,2.4
2,3,3978,45.0523,7.65766,270,6.93,-0.6
2,10,4348,45.0523,7.65467,303.6,6.92,0.8
2,8,4422,45.0523,7.65778,270,7.83,2.3
2,11,4487,45.0522,7.65505,90,8.16,3.2
2,17,4515,45.0522,7.65492,90,2.49,3.7
2,7,4549,45.0531,7.65775,270,8.34,3.9
2,7,4949,45.0531,7.6577,270,9.56,2.4
2,14,5077,45.0523,7.65778,270,7.83,2.2
2,19,5136,45.0532,7.65788,270,2.33,3.1
2,19,5336,45.0532,7.65787,270,3.01,3.6
2,15,5413,45.0531,7.65467,236.9,5.4,3.6
2,8,5422,45.0523,7.65767,270,10.83,3.7
2,15,5813,45.053,7.65465,236.9,6.58,3
