messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,4,3823,45.0524,7.65463,303.6,5.54,0
2,12,3824,45.0531,7.65497,90,6.12,2.9
2,2,3880,45.053,7.65443,236.9,11.88,3.6
2,13,3895,45.0532,7.65786,270,4.26,2.2
2,3,3897,45.0523,7.65767,270,6.92,-0.5
2,8,3909,45.0523,7.65783,270,6.26,3
2,7,3911,45.0531,7.65781,270,6.43,3.2
2,16,3966,45.0523,7.65476,303.6,4.45,2.2
2,5,3964,45.0522,7.65521,90,11.09,-1
2,10,4011,45.0523,7.65469,303.6,6.6,2.1
2,1,4006,45.0532,7.65764,270,6.93,-0.2
2,12,4024,45.0531,7.65498,90,6.68,2.4
2,2,4080,45.053,7.6544,236.9,12.49,2.5
2,13,4095,45.0532,7.65784,270,4.88,3.8
2,8,4109,45.0523,7.65781,270,6.86,3.9
2,7,4111,45.0531,7.65779,270,7.02,3.3
2,16,4166,45.0523,7.65475,303.6,5.05,3.5
2,5,4164,45.0522,7.65524,90,11.1,0.7
2,10,4211,45.0523,7.65468,303.6,6.93,0
2,6,4224,45.0531,7.65519,90,8.32,1.4
2,12,4224,45.0531,7.655,90,6.93,0.5
2,2,4280,45.0529,7.65437,234,13.13,2.4
2,13,4295,45.0532,7.65783,270,5.5,2.9
2,8,4309,45.0523,7.6578,270,7.47,2.9
2,7,4311,45.0531,7.65777,270,7.66,3.1
2,16,4366,45.0523,7.65474,303.6,5.62,2.5
2,2,4380,45.0529,7.65437,224.9,13.45,3.7
2,10,4411,45.0523,7.65466,303.6,6.93,0.9
2,12,4424,45.0531,7.65502,90,6.92,0
2,18,4478,45.0531,7.6549,90,2.36,3.2
2,2,4480,45.0529,7.65437,214.9,13.73,3.1
2,13,4495,45.0532,7.65782,270,6.08,3.3
2,3,4497,45.0523,7.65762,270,6.92,-0.1
2,8,4509,45.0523,7.65778,270,8.06,3.8
2,7,4511,45.0531,7.65775,270,8.24,2.4
2,16,4566,45.0523,7.65473,303.6,6.25,3
2,5,4564,45.0522,7.65529,90,11.09,-0.6
2,2,4580,45.0529,7.65436,204.7,14.04,2.5
2,1,4606,45.0532,7.65759,270,6.93,0
2,10,4611,45.0523,7.65465,303.6,6.92,0.4
2,4,4623,45.0524,7.65459,303.6,5.53,-0.2
2,12,4624,45.0531,7.65503,90,6.93,-0.5
2,18,4678,45.0531,7.65491,90,3.01,2.9
2,2,4680,45.0529,7.65436,194.8,14.33,2.2
2,13,4695,45.0532,7.6578,270,6.69,2.6
2,8,4709,45.0523,7.65775,270,8.67,2.5
2,7,4711,45.0531,7.65773,270,8.85,3.3
2,6,4724,45.0531,7.65525,90,8.32,0.2
2,16,4766,45.0523,7.65471,303.6,6.76,-1.1
2,2,4780,45.0529,7.65436,191.3,14.64,3.1
2,2,4880,45.0529,7.65435,191.3,14.97,2.3
2,13,4895,45.0532,7.65778,270,7.33,2.9
2,18,4878,45.0531,7.65492,90,3.64,2.5
2,8,4909,45.0523,7.65773,270,9.25,2.5
2,7,4911,45.0531,7.65771,270,9.49,2.6
2,16,4966,45.0524,7.6547,303.6,6.63,-0.3
2,5,4964,45.0522,7.65535,90,11.1,0.3
2,2,4980,45.0528,7.65435,191.3,15.24,3.3
2,13,5095,45.0532,7.65776,270,7.93,2
2,18,5078,45.0531,7.65493,90,4.26,3.3
2,3,5097,45.0523,7.65756,270,6.92,-0.5
2,8,5109,45.0523,7.65771,270,9.85,3.6
2,7,5111,45.0531,7.65768,270,10.03,3
2,16,5166,45.0524,7.65469,303.6,6.52,0.5
2,2,5180,45.0528,7.65434,191.3,15.83,2.8
2,10,5211,45.0524,7.65461,303.6,6.93,0
2,12,5224,45.0531,7.65509,90,6.93,1
2,1,5206,45.0532,7.65753,270,6.92,-0.7
2,6,5224,45.0531,7.6553,90,8.31,-0.4
2,13,5295,45.0532,7.65774,270,8.51,3.5
2,18,5278,45.0531,7.65494,90,4.85,3.3
2,8,5309,45.0523,7.65768,270,10.42,3.7
2,7,5311,45.0531,7.65766,270,10.59,3.2
2,5,5364,45.0522,7.65541,90,11.1,0.7
2,16,5366,45.0524,7.65467,303.6,6.42,-0.1
2,2,5380,45.0528,7.65434,191.3,16.42,3.3
2,4,5423,45.0524,7.65455,303.6,5.54,1.4
2,18,5478,45.0531,7.65495,90,5.49,3.4
2,13,5495,45.0532,7.65772,270,8.86,0
2,8,5509,45.0523,7.65766,270,11.07,3.3
2,7,5511,45.0531,7.65763,270,11.1,1.3
2,2,5580,45.0528,7.65433,191.3,17.05,3.4
2,18,5678,45.0531,7.65496,90,6.1,2.2
2,3,5697,45.0523,7.65751,270,6.93,0.3
2,13,5695,45.0532,7.6577,270,8.69,-1.2
2,8,5709,45.0523,7.65763,270,11.7,3.4
2,7,5711,45.0531,7.6576,270,11.1,0
2,6,5724,45.0531,7.65535,90,8.31,0.5
2,5,5764,45.0522,7.65546,90,11.1,0.7
2,2,5780,45.0527,7.65432,191.3,17.66,3
2,1,5806,45.0532,7.65748,270,6.93,0.5
2,10,5811,45.0524,7.65457,303.6,6.92,-0.7
2,12,5824,45.0531,7.65514,90,6.93,1.3
2,18,5878,45.0531,7.65498,90,6.71,2.6
