messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,1,2006,45.0532,7.65781,270,6.37,3.7
2,12,2024,45.0531,7.65489,90,0.23,3.9
2,4,2023,45.0523,7.65473,303.6,5.53,0
2,6,2024,45.0531,7.65497,90,6.34,2.6
2,2,2080,45.0531,7.65461,236.9,6.4,3.6
2,3,2097,45.0523,7.65782,270,6.45,2.3
2,8,2109,45.0523,7.65791,270,0.55,3.9
2,5,2164,45.0522,7.655,90,6.68,2.7
2,1,2206,45.0532,7.65779,270,6.93,1.5
2,12,2224,45.0531,7.65489,90,1,3.9
2,4,2223,45.0523,7.65472,303.6,5.53,-0.7
2,6,2224,45.0531,7.65499,90,6.95,2.1
2,2,2280,45.053,7.65459,236.9,7,3.7
2,3,2297,45.0523,7.65781,270,6.92,-0.4
2,8,2309,45.0523,7.65791,270,1.3,3.9
2,5,2364,45.0522,7.65502,90,7.24,3.4
2,1,2406,45.0532,7.65778,270,6.93,-0.3
2,12,2424,45.0531,7.6549,90,1.74,3.5
2,6,2424,45.0531,7.65501,90,7.56,2.7
2,2,2480,45.053,7.65458,236.9,7.59,2.6
2,3,2497,45.0523,7.65779,270,6.93,1.2
2,8,2509,45.0523,7.6579,270,2.01,3.7
2,5,2564,45.0522,7.65504,90,7.84,2.7
2,1,2606,45.0532,7.65776,270,6.93,1.4
2,12,2624,45.0531,7.6549,90,2.44,3.1
2,6,2624,45.0531,7.65503,90,8.16,3.1
2,2,2680,45.053,7.65456,236.9,8.2,2.9
2,3,2697,45.0523,7.65777,270,6.92,0.1
2,8,2709,45.0523,7.6579,270,2.7,3.9
2,5,2764,45.0522,7.65506,90,8.4,2.6
2,1,2806,45.0532,7.65774,270,6.92,-0.1
2,12,2824,45.0531,7.65491,90,3.11,3.7
2,6,2824,45.0531,7.65505,90,8.32,-0.2
2,2,2880,45.053,7.65454,236.9,8.8,2.7
2,13,2895,45.0532,7.65789,270,0.96,3.7
2,8,2909,45.0523,7.65789,270,3.36,2.5
2,7,2911,45.0531,7.65787,270,3.41,2.5
2,5,2964,45.0522,7.65508,90,8.99,2.7
2,12,3024,45.0531,7.65492,90,3.72,3.3
2,4,3023,45.0524,7.65467,303.6,5.53,0
2,6,3024,45.0531,7.65507,90,8.31,-1.4
2,2,3080,45.053,7.65452,236.9,9.39,2.7
2,13,3095,45.0532,7.65789,270,1.7,3.2
2,8,3109,45.0523,7.65788,270,3.92,2.4
2,7,3111,45.0531,7.65786,270,4.02,3.3
2,5,3164,45.0522,7.6551,90,9.61,3.2
2,16,3166,45.0523,7.65478,303.6,1.97,3.1
2,12,3224,45.0531,7.65493,90,4.32,3.9
2,6,3224,45.0531,7.65509,90,8.31,-1.4
2,2,3280,45.053,7.6545,236.9,10.02,3.9
2,13,3295,45.0532,7.65788,270,2.41,3.9
2,8,3309,45.0523,7.65787,270,4.55,2.5
2,7,3311,45.0531,7.65785,270,4.62,2.7
2,3,3297,45.0523,7.65772,270,6.92,0.6
2,5,3364,45.0522,7.65513,90,10.21,3.3
2,16,3366,45.0523,7.65478,303.6,2.63,3.5
2,1,3406,45.0532,7.65769,270,6.93,0.1
2,12,3424,45.0531,7.65494,90,4.93,2.2
2,2,3480,45.053,7.65448,236.9,10.66,3.9
2,13,3495,45.0532,7.65787,270,3.06,3.1
2,7,3511,45.0531,7.65784,270,5.26,3.3
2,8,3509,45.0523,7.65786,270,5.11,3
2,16,3566,45.0523,7.65477,303.6,3.25,3.8
2,5,3564,45.0522,7.65516,90,10.86,3.6
2,12,3624,45.0531,7.65495,90,5.55,2.9
2,2,3680,45.053,7.65445,236.9,11.22,2.1
2,13,3695,45.0532,7.65787,270,3.69,3.9
2,8,3709,45.0523,7.65784,270,5.68,3.1
2,7,3711,45.0531,7.65782,270,5.86,3.1
2,6,3724,45.0531,7.65514,90,8.32,0.2
2,16,3766,45.0523,7.65476,303.6,3.86,2.1
2,5,3764,45.0522,7.65518,90,11.09,-1.1
2,4,3823,45.0524,7.65463,303.6,5.54,0
2,12,3824,45.0531,7.65497,90,6.12,2.9
2,2,3880,45.053,7.65443,236.9,11.88,3.6
2,13,3895,45.0532,7.65786,270,4.26,2.2
