vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh8,2069,,2.08708,1,CAM,5,8,2069
veh8,2098,,2.11558,1,CAM,3,8,2098
veh8,2155,,2.16408,1,CAM,6,8,2155
veh8,2178,,2.19283,1,CAM,4,8,2178
veh8,2238,,2.24658,1,CAM,11,8,2238
veh8,2269,,2.28708,1,CAM,5,8,2269
veh8,2298,,2.31558,1,CAM,3,8,2298
veh8,2355,,2.36408,1,CAM,6,8,2355
veh8,2378,,2.39283,1,CAM,4,8,2378
veh8,2438,,2.44658,1,CAM,11,8,2438
veh8,2469,,2.48708,1,CAM,5,8,2469
veh8,2485,,2.49583,1,CAM,9,8,2485
veh8,2498,,2.51558,1,CAM,3,8,2498
veh8,2555,,2.56408,1,CAM,6,8,2555
veh8,2573,,2.57933,1,CAM,12,8,2573
veh8,2627,,2.63033,1,CAM,10,8,2627
veh8,2638,,2.64658,1,CAM,11,8,2638
veh8,2669,,2.68308,1,CAM,5,8,2669
veh8,2685,,2.69583,1,CAM,9,8,2685
veh8,2698,,2.71208,1,CAM,3,8,2698
veh8,2728,2.72826,,0,CAM,8,,2728
veh8,2747,,2.76008,1,CAM,15,8,2747
veh8,2755,,2.76408,1,CAM,6,8,2755
veh8,2773,,2.77933,1,CAM,12,8,2773
veh8,2775,,2.78483,1,CAM,13,8,2775
veh8,2827,,2.83033,1,CAM,10,8,2827
veh8,2838,,2.84658,1,CAM,11,8,2838
veh8,2869,,2.88308,1,CAM,5,8,2869
veh8,2885,,2.89583,1,CAM,9,8,2885
veh8,2928,2.92826,,0,CAM,8,,2928
veh8,2955,,2.96408,1,CAM,6,8,2955
veh8,2973,,2.97933,1,CAM,12,8,2973
veh8,2975,,2.98483,1,CAM,13,8,2975
veh8,3011,,3.01783,1,CAM,16,8,3011
veh8,3027,,3.03033,1,CAM,10,8,3027
veh8,3038,,3.04658,1,CAM,11,8,3038
veh8,3069,,3.08308,1,CAM,5,8,3069
veh8,3085,,3.09583,1,CAM,9,8,3085
veh8,3128,3.12826,,0,CAM,8,,3128
veh8,3155,,3.16408,1,CAM,6,8,3155
