time_s,vehicle_id,event_type,source_id,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.05383,veh9,lane0_slowdown,2,8.35104,0.00724887,0,0,3.47
2.25383,veh9,lane0_slowdown,2,9.56615,0.00724887,0,0,3.47
2.45383,veh9,lane0_slowdown,2,10.7546,0.00724887,0,0,3.47
2.65383,veh9,lane0_slowdown,2,11.9247,0.00724887,0,0,3.47
2.85383,veh9,lane0_slowdown,2,13.0706,0.00724887,0,0,3.47
3.05383,veh9,lane0_slowdown,2,14.2405,0.00724887,0,0,3.47
3.25833,veh9,lane0_slowdown,2,15.5201,0.00724887,0,0,3.47
3.45833,veh9,lane0_slowdown,2,16.9346,0.00724887,0,0,3.47
3.65833,veh9,lane0_slowdown,2,18.4777,0.00724887,0,0,3.47
3.85833,veh9,lane0_slowdown,2,20.1424,0.00724887,0,0,3.47
4.05833,veh9,lane0_slowdown,2,21.9417,0.00724887,0,0,3.47
4.25833,veh9,lane0_slowdown,2,23.8698,0.00724887,0,0,3.47
4.35833,veh9,lane0_slowdown,2,24.509,8.20725,0,0,3.47
4.45833,veh9,lane0_slowdown,2,25.1988,17.9072,0,0,3.47
4.55108,veh9,lane0_slowdown,2,25.9335,28.1072,0,0,3.47
4.65108,veh9,lane0_slowdown,2,26.7367,38.1072,0,0,3.47
23.6461,veh9,lane0_slowdown,2,68.3889,11.7513,0,0,3.47
24.6473,veh9,lane0_slowdown,2,64.2949,0,0,0,3.47
25.6616,veh9,lane0_slowdown,2,60.8955,0,0,0,3.47
26.6596,veh9,lane0_slowdown,2,57.6059,0,0,0,3.47
27.6573,veh9,lane0_slowdown,2,54.2735,0,0,0,3.47
28.6508,veh9,lane0_slowdown,2,50.9419,0,0,0,3.47
29.6513,veh9,lane0_slowdown,2,47.6186,0,0,0,3.47
30.1513,veh9,lane0_slowdown,2,46.0045,0,0,0,3.47
30.3513,veh9,lane0_slowdown,2,45.5441,0,0,0,3.47
30.5513,veh9,lane0_slowdown,2,45.2409,0,0,0,3.47
30.7563,veh9,lane0_slowdown,2,45.0947,0,0,0,3.47
30.9563,veh9,lane0_slowdown,2,45.1057,0,0,0,3.47
31.1563,veh9,lane0_slowdown,2,45.2737,0,0,0,3.47
31.3563,veh9,lane0_slowdown,2,45.6071,0,0,0,3.47
31.5563,veh9,lane0_slowdown,2,46.0894,0,0,0,3.47
31.7563,veh9,lane0_slowdown,2,46.729,0,0,0,3.47
31.9463,veh9,lane0_slowdown,2,47.5597,0,0,0,3.47
32.1463,veh9,lane0_slowdown,2,48.5062,0,0,0,3.47
32.3463,veh9,lane0_slowdown,2,49.5774,0,0,0,3.47
32.5463,veh9,lane0_slowdown,2,50.7664,0,0,0,3.47
32.7463,veh9,lane0_slowdown,2,52.0815,0,0,0,3.47
32.9441,veh9,lane0_slowdown,2,53.499,0,0,0,3.47
33.1441,veh9,lane0_slowdown,2,55.0421,0,0,0,3.47
33.3441,veh9,lane0_slowdown,2,56.7108,0,0,0,3.47
33.5441,veh9,lane0_slowdown,2,58.4892,0,0,0,3.47
33.7441,veh9,lane0_slowdown,2,60.3934,0,0,0,3.47
33.9436,veh9,lane0_slowdown,2,62.408,0,0,0,3.47
34.1436,veh9,lane0_slowdown,2,64.5565,0,0,0,3.47
34.3436,veh9,lane0_slowdown,2,66.8226,0,0,0,3.47
34.5436,veh9,lane0_slowdown,2,69.2057,0,0,0,3.47
34.7436,veh9,lane0_slowdown,2,71.7067,0,0,0,3.47
34.9436,veh9,lane0_slowdown,2,74.3179,0,0,0,3.47
