vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh15,4115,,4.11908,1,CAM,7,15,4115
veh15,4111,,4.12558,1,CAM,11,15,4111
veh15,4119,,4.13633,1,CAM,5,15,4119
veh15,4171,,4.17908,1,CAM,14,15,4171
veh15,4166,,4.18108,1,CAM,16,15,4166
veh15,4185,,4.20458,1,CAM,2,15,4185
veh15,4199,,4.21558,1,CAM,8,15,4199
veh15,4285,,4.30458,1,CAM,2,15,4285
veh15,4315,,4.31758,1,CAM,7,15,4315
veh15,4311,,4.32558,1,CAM,11,15,4311
veh15,4366,,4.37433,1,CAM,16,15,4366
veh15,4371,,4.37908,1,CAM,14,15,4371
veh15,4385,,4.40458,1,CAM,2,15,4385
veh15,4399,,4.41458,1,CAM,8,15,4399
veh15,4429,,4.44033,1,CAM,1,15,4429
veh15,4485,,4.49658,1,CAM,2,15,4485
veh15,4507,,4.51483,1,CAM,9,15,4507
veh15,4515,,4.51758,1,CAM,7,15,4515
veh15,4511,,4.52558,1,CAM,11,15,4511
veh15,4519,,4.53633,1,CAM,5,15,4519
veh15,4566,,4.57433,1,CAM,16,15,4566
veh15,4571,,4.57908,1,CAM,14,15,4571
veh15,4585,,4.59658,1,CAM,2,15,4585
veh15,4599,,4.61458,1,CAM,8,15,4599
veh15,4685,,4.69658,1,CAM,2,15,4685
veh15,4715,,4.71758,1,CAM,7,15,4715
veh15,4711,,4.72558,1,CAM,11,15,4711
veh15,4766,,4.77433,1,CAM,16,15,4766
veh15,4771,,4.77908,1,CAM,14,15,4771
veh15,4769,,4.78233,1,CAM,4,15,4769
veh15,4775,,4.78283,1,CAM,17,15,4775
veh15,4785,,4.79658,1,CAM,2,15,4785
veh15,4799,,4.81458,1,CAM,8,15,4799
veh15,4820,4.82017,,0,CAM,15,,4820
veh15,4885,,4.89658,1,CAM,2,15,4885
veh15,4915,,4.91758,1,CAM,7,15,4915
veh15,4919,,4.93383,1,CAM,5,15,4919
veh15,4911,,4.94558,1,CAM,11,15,4911
veh15,4966,,4.97433,1,CAM,16,15,4966
veh15,4971,,4.97908,1,CAM,14,15,4971
