vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh14,2711,,2.72258,1,CAM,11,14,2711
veh14,2719,,2.72858,1,CAM,5,14,2719
veh14,2715,,2.72983,1,CAM,7,14,2715
veh14,2771,2.77111,,0,CAM,14,,2771
veh14,2799,,2.81933,1,CAM,8,14,2799
veh14,2915,,2.92008,1,CAM,7,14,2915
veh14,2911,,2.92258,1,CAM,11,14,2911
veh14,2919,,2.92858,1,CAM,5,14,2919
veh14,2971,2.97111,,0,CAM,14,,2971
veh14,2907,,2.98958,1,CAM,9,14,2907
veh14,2999,,3.01933,1,CAM,8,14,2999
veh14,3111,,3.12008,1,CAM,11,14,3111
veh14,3115,,3.12008,1,CAM,7,14,3115
veh14,3107,,3.12233,1,CAM,9,14,3107
veh14,3119,,3.12858,1,CAM,5,14,3119
veh14,3171,3.17111,,0,CAM,14,,3171
veh14,3169,,3.17558,1,CAM,4,14,3169
veh14,3199,,3.21933,1,CAM,8,14,3199
veh14,3229,,3.24033,1,CAM,1,14,3229
veh14,3311,,3.32008,1,CAM,11,14,3311
veh14,3315,,3.32008,1,CAM,7,14,3315
veh14,3319,,3.32083,1,CAM,5,14,3319
veh14,3307,,3.32233,1,CAM,9,14,3307
veh14,3371,3.37111,,0,CAM,14,,3371
veh14,3399,,3.41933,1,CAM,8,14,3399
veh14,3511,,3.52008,1,CAM,11,14,3511
veh14,3515,,3.52008,1,CAM,7,14,3515
veh14,3519,,3.52083,1,CAM,5,14,3519
veh14,3507,,3.52233,1,CAM,9,14,3507
veh14,3571,3.57111,,0,CAM,14,,3571
veh14,3599,,3.61933,1,CAM,8,14,3599
veh14,3715,,3.71908,1,CAM,7,14,3715
veh14,3711,,3.72008,1,CAM,11,14,3711
veh14,3719,,3.72083,1,CAM,5,14,3719
veh14,3771,3.77111,,0,CAM,14,,3771
veh14,3766,,3.78108,1,CAM,16,14,3766
veh14,3799,,3.81558,1,CAM,8,14,3799
veh14,3829,,3.84033,1,CAM,1,14,3829
veh14,3915,,3.91908,1,CAM,7,14,3915
veh14,3911,,3.92008,1,CAM,11,14,3911
veh14,3919,,3.95058,1,CAM,5,14,3919
veh14,3971,3.97111,,0,CAM,14,,3971
veh14,3966,,3.98108,1,CAM,16,14,3966
veh14,3969,,3.98858,1,CAM,4,14,3969
veh14,3999,,4.01558,1,CAM,8,14,3999
veh14,4115,,4.11908,1,CAM,7,14,4115
veh14,4111,,4.12558,1,CAM,11,14,4111
veh14,4119,,4.13633,1,CAM,5,14,4119
veh14,4171,4.17111,,0,CAM,14,,4171
veh14,4166,,4.18108,1,CAM,16,14,4166
veh14,4185,,4.20458,1,CAM,2,14,4185
veh14,4199,,4.21558,1,CAM,8,14,4199
veh14,4311,,4.32558,1,CAM,11,14,4311
veh14,4371,4.37111,,0,CAM,14,,4371
veh14,4315,,4.37758,1,CAM,7,14,4315
veh14,4399,,4.41458,1,CAM,8,14,4399
veh14,4429,,4.44033,1,CAM,1,14,4429
veh14,4385,,4.50458,1,CAM,2,14,4385
veh14,4485,,4.50458,1,CAM,2,14,4485
veh14,4507,,4.51483,1,CAM,9,14,4507
veh14,4515,,4.51758,1,CAM,7,14,4515
veh14,4511,,4.52558,1,CAM,11,14,4511
veh14,4519,,4.53633,1,CAM,5,14,4519
veh14,4571,4.57111,,0,CAM,14,,4571
veh14,4585,,4.59658,1,CAM,2,14,4585
veh14,4599,,4.61458,1,CAM,8,14,4599
veh14,4566,,4.68783,1,CAM,16,14,4566
veh14,4685,,4.69658,1,CAM,2,14,4685
veh14,4715,,4.71758,1,CAM,7,14,4715
veh14,4711,,4.72558,1,CAM,11,14,4711
veh14,4771,4.77111,,0,CAM,14,,4771
veh14,4769,,4.78233,1,CAM,4,14,4769
veh14,4775,,4.78283,1,CAM,17,14,4775
veh14,4799,,4.81458,1,CAM,8,14,4799
veh14,4820,,4.82333,1,CAM,15,14,4820
veh14,4915,,4.91758,1,CAM,7,14,4915
veh14,4911,,4.92558,1,CAM,11,14,4911
veh14,4919,,4.93383,1,CAM,5,14,4919
veh14,4971,4.97111,,0,CAM,14,,4971
veh14,4975,,4.98283,1,CAM,17,14,4975
veh14,4999,,5.01458,1,CAM,8,14,4999
veh14,5029,,5.03783,1,CAM,1,14,5029
veh14,5111,,5.12558,1,CAM,11,14,5111
veh14,5115,,5.13083,1,CAM,7,14,5115
veh14,5171,5.17111,,0,CAM,14,,5171
veh14,5166,,5.17433,1,CAM,16,14,5166
veh14,5175,,5.19758,1,CAM,17,14,5175
veh14,5199,,5.21458,1,CAM,8,14,5199
veh14,5271,,5.28408,1,CAM,19,14,5271
veh14,5315,,5.31758,1,CAM,7,14,5315
veh14,5311,,5.32558,1,CAM,11,14,5311
veh14,5319,,5.33383,1,CAM,5,14,5319
veh14,5320,,5.33758,1,CAM,15,14,5320
veh14,5371,5.37111,,0,CAM,14,,5371
veh14,5375,,5.39383,1,CAM,17,14,5375
veh14,5399,,5.41458,1,CAM,8,14,5399
veh14,5366,,5.47058,1,CAM,16,14,5366
veh14,5471,,5.48408,1,CAM,19,14,5471
veh14,5511,,5.51608,1,CAM,11,14,5511
veh14,5515,,5.51758,1,CAM,7,14,5515
veh14,5571,5.57111,,0,CAM,14,,5571
veh14,5575,,5.59383,1,CAM,17,14,5575
veh14,5599,,5.61358,1,CAM,8,14,5599
veh14,5585,,5.61908,1,CAM,2,14,5585
veh14,5566,,5.63058,1,CAM,16,14,5566
veh14,5629,,5.63783,1,CAM,1,14,5629
veh14,5671,,5.67833,1,CAM,19,14,5671
veh14,5711,,5.71608,1,CAM,11,14,5711
veh14,5715,,5.73183,1,CAM,7,14,5715
veh14,5719,,5.74583,1,CAM,5,14,5719
veh14,5771,5.77111,,0,CAM,14,,5771
veh14,5775,,5.79383,1,CAM,17,14,5775
veh14,5799,,5.81358,1,CAM,8,14,5799
veh14,5820,,5.83758,1,CAM,15,14,5820
veh14,5871,,5.87833,1,CAM,19,14,5871
veh14,5915,,5.93183,1,CAM,7,14,5915
veh14,5971,5.97111,,0,CAM,14,,5971
veh14,5975,,5.99383,1,CAM,17,14,5975
veh14,5999,,6.01358,1,CAM,8,14,5999
veh14,5985,,6.01908,1,CAM,2,14,5985
veh14,6071,,6.07833,1,CAM,19,14,6071
veh14,6085,,6.09908,1,CAM,2,14,6085
veh14,6115,,6.13183,1,CAM,7,14,6115
veh14,6119,,6.14583,1,CAM,5,14,6119
veh14,6175,,6.18783,1,CAM,17,14,6175
veh14,6185,,6.19908,1,CAM,2,14,6185
veh14,6199,,6.21033,1,CAM,8,14,6199
veh14,6229,,6.23658,1,CAM,1,14,6229
veh14,6266,,6.27058,1,CAM,16,14,6266
veh14,6271,,6.27833,1,CAM,19,14,6271
veh14,6285,,6.29308,1,CAM,2,14,6285
veh14,6320,,6.32958,1,CAM,15,14,6320
veh14,6315,,6.33183,1,CAM,7,14,6315
veh14,6375,,6.38783,1,CAM,17,14,6375
veh14,6385,,6.39308,1,CAM,2,14,6385
veh14,6399,,6.41033,1,CAM,8,14,6399
veh14,6471,6.47111,,0,CAM,14,,6471
veh14,6369,,6.47833,1,CAM,4,14,6369
veh14,6519,,6.54583,1,CAM,5,14,6519
veh14,6575,,6.59733,1,CAM,17,14,6575
veh14,6599,,6.61033,1,CAM,8,14,6599
veh14,6671,,6.67583,1,CAM,19,14,6671
veh14,6715,,6.73433,1,CAM,7,14,6715
veh14,6775,,6.79158,1,CAM,17,14,6775
veh14,6799,,6.81033,1,CAM,8,14,6799
veh14,6820,,6.82858,1,CAM,15,14,6820
veh14,6829,,6.83658,1,CAM,1,14,6829
veh14,6871,,6.87583,1,CAM,19,14,6871
veh14,6919,,6.93733,1,CAM,5,14,6919
veh14,6971,6.97111,,0,CAM,14,,6971
veh14,6975,,6.99158,1,CAM,17,14,6975
veh14,6999,,7.01033,1,CAM,8,14,6999
veh14,7071,,7.07583,1,CAM,19,14,7071
veh14,6985,,7.09308,1,CAM,2,14,6985
veh14,7085,,7.09308,1,CAM,2,14,7085
veh14,7115,,7.13433,1,CAM,7,14,7115
veh14,7175,,7.19158,1,CAM,17,14,7175
veh14,7169,,7.21483,1,CAM,4,14,7169
veh14,7211,,7.23008,1,CAM,11,14,7211
veh14,7271,7.27111,,0,CAM,14,,7271
veh14,7269,,7.27483,1,CAM,4,14,7269
veh14,7271,,7.27583,1,CAM,19,14,7271
veh14,7319,,7.33208,1,CAM,5,14,7319
veh14,7369,,7.37483,1,CAM,4,14,7369
veh14,7375,,7.39158,1,CAM,17,14,7375
veh14,7429,,7.43333,1,CAM,1,14,7429
veh14,7471,7.47111,,0,CAM,14,,7471
veh14,7469,,7.47483,1,CAM,4,14,7469
veh14,7515,,7.52983,1,CAM,7,14,7515
veh14,7569,,7.57483,1,CAM,4,14,7569
veh14,7575,,7.59158,1,CAM,17,14,7575
veh14,7671,7.67111,,0,CAM,14,,7671
veh14,7669,,7.67483,1,CAM,4,14,7669
veh14,7711,,7.73008,1,CAM,11,14,7711
veh14,7719,,7.73208,1,CAM,5,14,7719
veh14,7769,,7.77483,1,CAM,4,14,7769
veh14,7775,,7.79058,1,CAM,17,14,7775
veh14,7707,,7.81658,1,CAM,9,14,7707
veh14,7871,7.87111,,0,CAM,14,,7871
veh14,7871,,7.89158,1,CAM,19,14,7871
veh14,7915,,7.92983,1,CAM,7,14,7915
veh14,7975,,7.99058,1,CAM,17,14,7975
veh14,7907,,8.01658,1,CAM,9,14,7907
veh14,8029,,8.03633,1,CAM,1,14,8029
veh14,8071,8.07111,,0,CAM,14,,8071
veh14,8085,,8.09258,1,CAM,2,14,8085
veh14,8020,,8.12233,1,CAM,15,14,8020
veh14,8119,,8.13208,1,CAM,5,14,8119
veh14,8175,,8.19058,1,CAM,17,14,8175
