vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh4,23988,,23.9956,1,CAM,2,4,23988
veh4,24088,,24.0956,1,CAM,2,4,24088
veh4,24188,,24.1956,1,CAM,2,4,24188
veh4,24288,,24.2956,1,CAM,2,4,24288
veh4,24388,,24.3956,1,CAM,2,4,24388
veh4,24451,,24.4686,1,CAM,3,4,24451
veh4,24488,,24.4956,1,CAM,2,4,24488
veh4,24507,,24.5098,1,CAM,5,4,24507
veh4,24549,24.5493,,0,CAM,4,,24549
veh4,24588,,24.5898,1,CAM,2,4,24588
veh4,24651,,24.6531,1,CAM,3,4,24651
veh4,24688,,24.6898,1,CAM,2,4,24688
veh4,24707,,24.7098,1,CAM,5,4,24707
veh4,24749,24.7493,,0,CAM,4,,24749
veh4,24788,,24.7898,1,CAM,2,4,24788
veh4,24851,,24.8531,1,CAM,3,4,24851
veh4,24888,,24.8898,1,CAM,2,4,24888
veh4,24907,,24.9098,1,CAM,5,4,24907
veh4,24949,24.9493,,0,CAM,4,,24949
veh4,24988,,24.9898,1,CAM,2,4,24988
veh4,25051,,25.0531,1,CAM,3,4,25051
veh4,25088,,25.0898,1,CAM,2,4,25088
veh4,25107,,25.1098,1,CAM,5,4,25107
veh4,25149,25.1493,,0,CAM,4,,25149
veh4,25188,,25.1898,1,CAM,2,4,25188
veh4,25251,,25.2531,1,CAM,3,4,25251
veh4,25288,,25.2898,1,CAM,2,4,25288
veh4,25307,,25.3098,1,CAM,5,4,25307
veh4,25349,25.3493,,0,CAM,4,,25349
veh4,25388,,25.4061,1,CAM,2,4,25388
veh4,25451,,25.4531,1,CAM,3,4,25451
veh4,25488,,25.5061,1,CAM,2,4,25488
veh4,25507,,25.5221,1,CAM,5,4,25507
veh4,25549,25.5493,,0,CAM,4,,25549
veh4,25588,,25.6061,1,CAM,2,4,25588
veh4,25651,,25.6531,1,CAM,3,4,25651
veh4,25688,,25.7061,1,CAM,2,4,25688
veh4,25707,,25.7221,1,CAM,5,4,25707
veh4,25749,25.7493,,0,CAM,4,,25749
