vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh7,-1,,26.4658,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.5176,0,CAM_DROP_PHY,-1,7,-1
veh7,26549,,26.5608,1,CAM,4,7,26549
veh7,-1,,26.6066,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.6066,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.6658,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.7066,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.7176,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.7608,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.8066,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.8658,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.9176,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,26.9608,0,CAM_DROP_PHY,-1,7,-1
veh7,27001,27.0012,,0,CAM,7,,27001
veh7,27051,,27.0658,1,CAM,3,7,27051
veh7,-1,,27.1176,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.1608,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.1898,0,CAM_DROP_PHY,-1,7,-1
veh7,27201,27.2012,,0,CAM,7,,27201
veh7,-1,,27.2578,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.2898,0,CAM_DROP_PHY,-1,7,-1
veh7,27307,,27.3176,1,CAM,5,7,27307
veh7,27349,,27.3608,1,CAM,4,7,27349
veh7,-1,,27.3898,0,CAM_DROP_PHY,-1,7,-1
veh7,27401,27.4012,,0,CAM,7,,27401
veh7,-1,,27.4578,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.4898,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.5176,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.5608,0,CAM_DROP_PHY,-1,7,-1
veh7,27579,,27.5898,1,CAM,8,7,27579
veh7,27601,27.6012,,0,CAM,7,,27601
veh7,-1,,27.6578,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.6898,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.7151,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.7568,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.7988,0,CAM_DROP_PHY,-1,7,-1
veh7,27801,27.8012,,0,CAM,7,,27801
veh7,-1,,27.8578,0,CAM_DROP_PHY,-1,7,-1
veh7,27879,,27.8801,1,CAM,8,7,27879
veh7,-1,,27.9151,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,27.9568,0,CAM_DROP_PHY,-1,7,-1
veh7,28001,28.0012,,0,CAM,7,,28001
veh7,-1,,28.0578,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.0801,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.1151,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.1568,0,CAM_DROP_PHY,-1,7,-1
veh7,28201,28.2012,,0,CAM,7,,28201
veh7,-1,,28.2578,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.2801,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.3151,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.3568,0,CAM_DROP_PHY,-1,7,-1
veh7,28401,28.4012,,0,CAM,7,,28401
veh7,-1,,28.4991,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.5151,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.5568,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.5603,0,CAM_DROP_PHY,-1,7,-1
veh7,28601,28.6012,,0,CAM,7,,28601
veh7,-1,,28.6603,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.6991,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.7168,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.7568,0,CAM_DROP_PHY,-1,7,-1
veh7,28801,28.8012,,0,CAM,7,,28801
veh7,-1,,28.8603,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.8901,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.8991,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.9168,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,28.9568,0,CAM_DROP_PHY,-1,7,-1
veh7,29001,29.0012,,0,CAM,7,,29001
veh7,-1,,29.0603,0,CAM_DROP_PHY,-1,7,-1
veh7,-1,,29.0991,0,CAM_DROP_PHY,-1,7,-1
