vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh7,864,0.864138,,0,CAM,7,,864
veh7,1064,1.06414,,0,CAM,7,,1064
veh7,1264,1.26414,,0,CAM,7,,1264
veh7,1464,1.46414,,0,CAM,7,,1464
veh7,1664,1.66414,,0,CAM,7,,1664
veh7,1864,1.86414,,0,CAM,7,,1864
veh7,2025,,2.02758,1,CAM,6,7,2025
veh7,2042,,2.04683,1,CAM,4,7,2042
veh7,2046,,2.05033,1,CAM,11,7,2046
veh7,2064,2.06414,,0,CAM,7,,2064
veh7,2063,,2.07658,1,CAM,3,7,2063
veh7,2094,,2.09958,1,CAM,2,7,2094
veh7,2125,,2.12758,1,CAM,6,7,2125
veh7,2115,,2.12883,1,CAM,9,7,2115
veh7,2147,,2.15608,1,CAM,10,7,2147
veh7,2180,,2.19458,1,CAM,5,7,2180
veh7,2196,,2.22658,1,CAM,8,7,2196
veh7,2242,,2.24683,1,CAM,4,7,2242
veh7,2264,2.26414,,0,CAM,7,,2264
veh7,2263,,2.27658,1,CAM,3,7,2263
veh7,2294,,2.29958,1,CAM,2,7,2294
veh7,2315,,2.31983,1,CAM,9,7,2315
veh7,2325,,2.32758,1,CAM,6,7,2325
veh7,2346,,2.35033,1,CAM,11,7,2346
veh7,2347,,2.35608,1,CAM,10,7,2347
veh7,2380,,2.39458,1,CAM,5,7,2380
veh7,2396,,2.41358,1,CAM,8,7,2396
veh7,2442,,2.44683,1,CAM,4,7,2442
veh7,2464,2.46414,,0,CAM,7,,2464
veh7,2463,,2.47658,1,CAM,3,7,2463
veh7,2494,,2.49958,1,CAM,2,7,2494
veh7,2515,,2.51983,1,CAM,9,7,2515
veh7,2525,,2.52758,1,CAM,6,7,2525
veh7,2546,,2.55033,1,CAM,11,7,2546
veh7,2547,,2.55608,1,CAM,10,7,2547
veh7,2580,,2.59458,1,CAM,5,7,2580
veh7,2596,,2.61358,1,CAM,8,7,2596
veh7,2615,,2.61983,1,CAM,9,7,2615
veh7,2642,,2.65983,1,CAM,4,7,2642
veh7,2664,2.66414,,0,CAM,7,,2664
veh7,2663,,2.67658,1,CAM,3,7,2663
veh7,2694,,2.69958,1,CAM,2,7,2694
veh7,2715,,2.71983,1,CAM,9,7,2715
veh7,2725,,2.72758,1,CAM,6,7,2725
veh7,2746,,2.75033,1,CAM,11,7,2746
veh7,2747,,2.75608,1,CAM,10,7,2747
veh7,2763,,2.78108,1,CAM,3,7,2763
veh7,2780,,2.79458,1,CAM,5,7,2780
veh7,2796,,2.81358,1,CAM,8,7,2796
veh7,2815,,2.83408,1,CAM,9,7,2815
veh7,2842,,2.85983,1,CAM,4,7,2842
veh7,2864,2.86414,,0,CAM,7,,2864
veh7,2863,,2.88108,1,CAM,3,7,2863
veh7,2894,,2.89958,1,CAM,2,7,2894
veh7,2880,,2.90308,1,CAM,5,7,2880
veh7,2915,,2.93408,1,CAM,9,7,2915
veh7,2925,,2.94033,1,CAM,6,7,2925
veh7,2946,,2.94733,1,CAM,11,7,2946
veh7,2963,,2.98108,1,CAM,3,7,2963
veh7,2980,,2.98683,1,CAM,5,7,2980
veh7,2996,,3.01358,1,CAM,8,7,2996
veh7,3047,,3.05358,1,CAM,10,7,3047
veh7,3042,,3.05983,1,CAM,4,7,3042
veh7,3064,3.06414,,0,CAM,7,,3064
veh7,3063,,3.08108,1,CAM,3,7,3063
veh7,3080,,3.08683,1,CAM,5,7,3080
veh7,3094,,3.09958,1,CAM,2,7,3094
