vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh2,572,0.572257,,0,CAM,2,,572
veh2,772,0.772257,,0,CAM,2,,772
veh2,872,0.872257,,0,CAM,2,,872
veh2,972,0.972257,,0,CAM,2,,972
veh2,1072,1.07226,,0,CAM,2,,1072
veh2,1172,1.17226,,0,CAM,2,,1172
veh2,1272,1.27226,,0,CAM,2,,1272
veh2,1372,1.37226,,0,CAM,2,,1372
veh2,1572,1.57226,,0,CAM,2,,1572
veh2,1772,1.77226,,0,CAM,2,,1772
veh2,1972,1.97226,,0,CAM,2,,1972
veh2,2034,,2.04658,1,CAM,11,2,2034
veh2,2072,2.07226,,0,CAM,2,,2072
veh2,2069,,2.07683,1,CAM,10,2,2069
veh2,2134,,2.13808,1,CAM,11,2,2134
veh2,2172,2.17226,,0,CAM,2,,2172
veh2,2234,,2.23808,1,CAM,11,2,2234
veh2,2272,2.27226,,0,CAM,2,,2272
veh2,2269,,2.27683,1,CAM,10,2,2269
veh2,2334,,2.33808,1,CAM,11,2,2334
veh2,2372,2.37226,,0,CAM,2,,2372
veh2,2472,2.47226,,0,CAM,2,,2472
veh2,2469,,2.47683,1,CAM,10,2,2469
veh2,2534,,2.53808,1,CAM,11,2,2534
veh2,2572,2.57226,,0,CAM,2,,2572
veh2,2672,2.67226,,0,CAM,2,,2672
veh2,2669,,2.67683,1,CAM,10,2,2669
veh2,2734,,2.73808,1,CAM,11,2,2734
veh2,2872,2.87226,,0,CAM,2,,2872
veh2,3072,3.07226,,0,CAM,2,,3072
veh2,3172,3.17226,,0,CAM,2,,3172
veh2,3169,,3.18133,1,CAM,10,2,3169
veh2,3272,3.27226,,0,CAM,2,,3272
veh2,3269,,3.28133,1,CAM,10,2,3269
veh2,3372,3.37226,,0,CAM,2,,3372
veh2,3369,,3.38133,1,CAM,10,2,3369
veh2,3472,3.47226,,0,CAM,2,,3472
veh2,3469,,3.48133,1,CAM,10,2,3469
veh2,3534,,3.55908,1,CAM,11,2,3534
veh2,3552,,3.56983,1,CAM,12,2,3552
veh2,3572,3.57226,,0,CAM,2,,3572
veh2,3569,,3.58133,1,CAM,10,2,3569
veh2,3672,3.67226,,0,CAM,2,,3672
veh2,3669,,3.68133,1,CAM,10,2,3669
veh2,3752,,3.76983,1,CAM,12,2,3752
veh2,3772,3.77226,,0,CAM,2,,3772
veh2,3872,3.87226,,0,CAM,2,,3872
veh2,3952,,3.96208,1,CAM,12,2,3952
veh2,3972,3.97226,,0,CAM,2,,3972
veh2,3969,,3.98133,1,CAM,10,2,3969
veh2,4072,4.07226,,0,CAM,2,,4072
veh2,4034,,4.15908,1,CAM,11,2,4034
veh2,4152,,4.16208,1,CAM,12,2,4152
