messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,11,2134,45.0531,7.65805,123,13.3,2.5
2,12,5152,45.0529,7.65832,135,15.94,-0.4
2,2,6072,45.0522,7.65472,123.6,0.1,-5
2,12,6852,45.0527,7.65837,181.8,15.95,-0.3
2,12,10152,45.0524,7.65809,236.3,15.99,0.3
2,12,15152,45.0523,7.65711,270,15.97,-0.1
2,11,17334,45.0523,7.65647,270,15.98,0
2,11,19434,45.0523,7.65605,270,15.97,0.2
2,12,22952,45.0523,7.65555,270,15.99,0.2
2,2,24372,45.0522,7.65487,111.8,7.1,5
2,12,24752,45.0523,7.65519,270,15.94,-0.1
2,2,25672,45.0522,7.65491,102.2,0,0
2,11,25734,45.0523,7.65477,294.3,15.95,0
2,12,27152,45.0523,7.65473,303.6,15.99,0.1
2,12,28352,45.0524,7.65455,303.6,15.95,0.1
2,11,29934,45.0527,7.6544,10.2,15.95,0
2,11,30534,45.0528,7.65442,11.3,15.98,0.4
