messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,10,4106,45.0528,7.65835,168.6,15.98,-0.1
2,11,5534,45.0528,7.65841,168.6,15.97,0.1
2,10,5806,45.0526,7.65835,189.4,15.27,-6.9
2,11,6834,45.0526,7.65838,189.4,15.94,0
2,10,7106,45.0525,7.65831,196.2,11.18,-0.1
2,12,9047,45.0525,7.65834,204.8,13.48,0
2,12,9547,45.0524,7.65828,236.3,11.98,-5
2,11,10734,45.0523,7.65779,270,15.99,0.3
2,11,11334,45.0523,7.65767,270,15.99,0.2
2,12,13147,45.0523,7.65781,270,11.23,-0.1
2,10,13706,45.0523,7.6575,270,11.14,-0.1
2,10,15206,45.0523,7.65725,270,15.11,2.9
2,12,17947,45.0523,7.65695,270,15.94,-0.1
2,11,25934,45.0523,7.65476,303.6,15.95,-0.1
2,10,27406,45.0523,7.65479,287.8,15.96,0.1
