time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.01383,veh6,cpm_drop_reaction,2,2006,94,-1,-1,0,0,4.165
2.05383,veh6,drop_decision_no_action,2,2041,123,-1,-1,-1,-1,-1
2.14658,veh6,cam_drop_reaction,4,2134,208,-1,-1,0,0,4.165
2.14758,veh6,drop_decision_no_action,3,2141,215,-1,-1,-1,-1,-1
2.16658,veh6,drop_decision_no_action,4,2157,237,-1,-1,-1,-1,-1
2.18233,veh6,drop_decision_no_action,5,2171,251,-1,-1,-1,-1,-1
2.18858,veh6,drop_decision_no_action,1,2183,261,-1,-1,-1,-1,-1
2.19358,veh6,drop_decision_no_action,9,2191,272,-1,-1,-1,-1,-1
2.21383,veh6,drop_decision_no_action,2,2206,294,-1,-1,-1,-1,-1
2.24258,veh6,drop_decision_no_action,10,2238,335,-1,-1,-1,-1,-1
2.25383,veh6,cam_drop_reaction,2,2241,337,-1,-1,0,0,4.165
2.26658,veh6,drop_decision_no_action,4,2257,372,-1,-1,-1,-1,-1
2.32733,veh6,drop_decision_no_action,12,2323,452,-1,-1,-1,-1,-1
2.34658,veh6,drop_decision_no_action,4,2334,471,-1,-1,-1,-1,-1
2.34758,veh6,drop_decision_no_action,3,2341,482,-1,-1,-1,-1,-1
2.36233,veh6,cpm_drop_reaction,5,2359,521,-1,-1,0,0,4.165
2.36658,veh6,drop_decision_no_action,4,2357,514,-1,-1,-1,-1,-1
2.38233,veh6,drop_decision_no_action,5,2371,539,-1,-1,-1,-1,-1
2.38858,veh6,drop_decision_no_action,1,2383,553,-1,-1,-1,-1,-1
2.39358,veh6,drop_decision_no_action,9,2391,566,-1,-1,-1,-1,-1
2.40858,veh6,drop_decision_no_action,1,2406,602,-1,-1,-1,-1,-1
2.42758,veh6,drop_decision_no_action,3,2423,624,-1,-1,-1,-1,-1
2.44258,veh6,drop_decision_no_action,10,2438,645,-1,-1,-1,-1,-1
2.44658,veh6,drop_decision_no_action,4,2434,639,-1,-1,-1,-1,-1
2.44758,veh6,drop_decision_no_action,3,2441,648,-1,-1,-1,-1,-1
2.46233,veh6,cpm_drop_reaction,5,2459,691,-1,-1,0,0,4.165
2.46658,veh6,drop_decision_no_action,4,2457,685,-1,-1,-1,-1,-1
2.48858,veh6,drop_decision_no_action,1,2483,725,-1,-1,-1,-1,-1
2.50858,veh6,drop_decision_no_action,1,2506,754,-1,-1,-1,-1,-1
2.51583,veh6,drop_decision_no_action,8,2512,760,-1,-1,-1,-1,-1
2.52733,veh6,drop_decision_no_action,12,2523,779,-1,-1,-1,-1,-1
2.52758,veh6,drop_decision_no_action,3,2523,780,-1,-1,-1,-1,-1
2.54658,veh6,drop_decision_no_action,4,2534,804,-1,-1,-1,-1,-1
2.54758,veh6,drop_decision_no_action,3,2541,815,-1,-1,-1,-1,-1
2.56233,veh6,cpm_drop_reaction,5,2559,849,-1,-1,0,0,4.165
2.56658,veh6,drop_decision_no_action,4,2557,843,-1,-1,-1,-1,-1
2.58858,veh6,drop_decision_no_action,1,2583,883,-1,-1,-1,-1,-1
2.59358,veh6,drop_decision_no_action,9,2591,894,-1,-1,-1,-1,-1
2.60858,veh6,drop_decision_no_action,1,2606,917,-1,-1,-1,-1,-1
2.61383,veh6,drop_decision_no_action,2,2606,913,-1,-1,-1,-1,-1
2.62758,veh6,drop_decision_no_action,3,2623,940,-1,-1,-1,-1,-1
2.64258,veh6,drop_decision_no_action,10,2638,961,-1,-1,-1,-1,-1
2.64758,veh6,drop_decision_no_action,3,2641,964,-1,-1,-1,-1,-1
2.65383,veh6,drop_decision_no_action,2,2641,963,-1,-1,-1,-1,-1
2.66233,veh6,cpm_drop_reaction,5,2659,1001,-1,-1,0,0,4.165
2.66658,veh6,drop_decision_no_action,4,2657,995,-1,-1,-1,-1,-1
2.68858,veh6,drop_decision_no_action,1,2683,1036,-1,-1,-1,-1,-1
2.72733,veh6,drop_decision_no_action,12,2723,1088,-1,-1,-1,-1,-1
2.74758,veh6,drop_decision_no_action,3,2741,1111,-1,-1,-1,-1,-1
2.76658,veh6,cpm_drop_reaction,4,2757,1132,-1,-1,0,0,4.165
2.77358,veh6,drop_decision_no_action,9,2772,1150,-1,-1,-1,-1,-1
2.77508,veh6,drop_decision_no_action,5,2759,1138,-1,-1,-1,-1,-1
2.77508,veh6,drop_decision_no_action,5,2771,1138,-1,-1,-1,-1,-1
2.78858,veh6,drop_decision_no_action,1,2783,1171,-1,-1,-1,-1,-1
2.80858,veh6,drop_decision_no_action,1,2806,1206,-1,-1,-1,-1,-1
2.81583,veh6,drop_decision_no_action,8,2812,1213,-1,-1,-1,-1,-1
2.84258,veh6,drop_decision_no_action,10,2838,1251,-1,-1,-1,-1,-1
2.85383,veh6,drop_decision_no_action,2,2841,1252,-1,-1,-1,-1,-1
2.87508,veh6,cpm_drop_reaction,4,2857,1275,-1,-1,0,0,4.165
2.88858,veh6,drop_decision_no_action,1,2883,1306,-1,-1,-1,-1,-1
2.91383,veh6,drop_decision_no_action,2,2906,1329,-1,-1,-1,-1,-1
2.92733,veh6,drop_decision_no_action,12,2923,1345,-1,-1,-1,-1,-1
2.96258,veh6,drop_decision_no_action,10,2958,1383,-1,-1,-1,-1,-1
2.97508,veh6,cpm_drop_reaction,5,2959,1384,-1,-1,0,0,4.165
2.97508,veh6,drop_decision_no_action,5,2971,1384,-1,-1,-1,-1,-1
2.98858,veh6,drop_decision_no_action,1,2983,1424,-1,-1,-1,-1,-1
3.01383,veh6,drop_decision_no_action,2,3006,1467,-1,-1,-1,-1,-1
3.04258,veh6,drop_decision_no_action,10,3038,1500,-1,-1,-1,-1,-1
3.04758,veh6,drop_decision_no_action,3,3041,1502,-1,-1,-1,-1,-1
3.05383,veh6,drop_decision_no_action,2,3041,1501,-1,-1,-1,-1,-1
3.06258,veh6,drop_decision_no_action,10,3058,1533,-1,-1,-1,-1,-1
3.07358,veh6,drop_decision_no_action,9,3072,1557,-1,-1,-1,-1,-1
3.10883,veh6,cpm_drop_reaction,8,3076,1575,-1,-1,0,0,4.165
3.11383,veh6,drop_decision_no_action,2,3106,1622,-1,-1,-1,-1,-1
3.11583,veh6,drop_decision_no_action,8,3112,1632,-1,-1,-1,-1,-1
3.15883,veh6,drop_decision_no_action,4,3157,1691,-1,-1,-1,-1,-1
3.16258,veh6,drop_decision_no_action,10,3158,1692,-1,-1,-1,-1,-1
3.17358,veh6,drop_decision_no_action,9,3172,1714,-1,-1,-1,-1,-1
3.17508,veh6,drop_decision_no_action,5,3159,1697,-1,-1,-1,-1,-1
3.17508,veh6,drop_decision_no_action,5,3171,1697,-1,-1,-1,-1,-1
