time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.39858,veh17,cpm_drop_reaction,6,2385,554,-1,-1,0,0,5.555
2.40858,veh17,drop_decision_no_action,1,2406,602,-1,-1,-1,-1,-1
2.42758,veh17,drop_decision_no_action,3,2423,624,-1,-1,-1,-1,-1
2.44258,veh17,drop_decision_no_action,10,2438,645,-1,-1,-1,-1,-1
2.44658,veh17,drop_decision_no_action,4,2434,639,-1,-1,-1,-1,-1
2.45383,veh17,drop_decision_no_action,2,2441,647,-1,-1,-1,-1,-1
2.45408,veh17,drop_decision_no_action,6,2436,641,-1,-1,-1,-1,-1
2.46233,veh17,drop_decision_no_action,5,2459,691,-1,-1,-1,-1,-1
2.46658,veh17,drop_decision_no_action,4,2457,685,-1,-1,-1,-1,-1
2.49408,veh17,drop_decision_no_action,6,2485,726,-1,-1,-1,-1,-1
2.50858,veh17,cam_drop_reaction,1,2506,754,-1,-1,0,0,5.555
2.51383,veh17,drop_decision_no_action,2,2506,752,-1,-1,-1,-1,-1
2.51583,veh17,drop_decision_no_action,8,2512,760,-1,-1,-1,-1,-1
2.52758,veh17,drop_decision_no_action,3,2523,780,-1,-1,-1,-1,-1
2.55408,veh17,drop_decision_no_action,6,2536,809,-1,-1,-1,-1,-1
2.56233,veh17,drop_decision_no_action,5,2559,849,-1,-1,-1,-1,-1
2.56658,veh17,drop_decision_no_action,4,2557,843,-1,-1,-1,-1,-1
2.58858,veh17,drop_decision_no_action,1,2583,883,-1,-1,-1,-1,-1
2.59358,veh17,drop_decision_no_action,9,2591,894,-1,-1,-1,-1,-1
2.61383,veh17,cpm_drop_reaction,2,2606,913,-1,-1,0,0,5.555
2.62758,veh17,drop_decision_no_action,3,2623,940,-1,-1,-1,-1,-1
2.64258,veh17,drop_decision_no_action,10,2638,961,-1,-1,-1,-1,-1
2.64758,veh17,drop_decision_no_action,3,2641,964,-1,-1,-1,-1,-1
2.65383,veh17,drop_decision_no_action,2,2641,963,-1,-1,-1,-1,-1
2.66233,veh17,drop_decision_no_action,5,2659,1001,-1,-1,-1,-1,-1
2.68858,veh17,drop_decision_no_action,1,2683,1036,-1,-1,-1,-1,-1
2.69408,veh17,drop_decision_no_action,6,2685,1037,-1,-1,-1,-1,-1
2.70858,veh17,drop_decision_no_action,1,2706,1066,-1,-1,-1,-1,-1
2.72733,veh17,cam_drop_reaction,12,2723,1088,-1,-1,0,0,5.555
2.75408,veh17,drop_decision_no_action,6,2736,1109,-1,-1,-1,-1,-1
2.77358,veh17,drop_decision_no_action,9,2772,1150,-1,-1,-1,-1,-1
2.77508,veh17,drop_decision_no_action,5,2759,1138,-1,-1,-1,-1,-1
2.79358,veh17,drop_decision_no_action,9,2791,1181,-1,-1,-1,-1,-1
2.80858,veh17,drop_decision_no_action,1,2806,1206,-1,-1,-1,-1,-1
2.81383,veh17,drop_decision_no_action,2,2806,1202,-1,-1,-1,-1,-1
2.81583,veh17,drop_decision_no_action,8,2812,1213,-1,-1,-1,-1,-1
2.85383,veh17,cam_drop_reaction,2,2841,1252,-1,-1,0,0,5.555
2.86658,veh17,drop_decision_no_action,4,2857,1275,-1,-1,-1,-1,-1
2.88858,veh17,drop_decision_no_action,1,2883,1306,-1,-1,-1,-1,-1
2.97508,veh17,cpm_drop_reaction,5,2959,1384,-1,-1,0,0,5.555
2.97508,veh17,drop_decision_no_action,5,2971,1384,-1,-1,-1,-1,-1
2.99358,veh17,drop_decision_no_action,9,2991,1436,-1,-1,-1,-1,-1
3.05383,veh17,drop_decision_no_action,2,3041,1501,-1,-1,-1,-1,-1
3.06283,veh17,drop_decision_no_action,13,3058,1532,-1,-1,-1,-1,-1
