vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh3,1023,1.02371,,0,CAM,3,,1023,-1
veh3,1223,1.22371,,0,CAM,3,,1223,-1
veh3,1423,1.42371,,0,CAM,3,,1423,-1
veh3,1623,1.62371,,0,CAM,3,,1623,-1
veh3,1823,1.82371,,0,CAM,3,,1823,-1
veh3,2006,,2.00858,1,CAM,1,3,2006,-1
veh3,2006,,2.01383,0,CPM_DROP_PHY,2,3,2006,94
veh3,2023,2.02371,,0,CAM,3,,2023,-1
veh3,2041,,2.05383,0,CAM_DROP_PHY,2,3,2041,123
veh3,2083,,2.08858,0,CPM_DROP_PHY,1,3,2083,164
veh3,2106,,2.11383,0,CPM_DROP_PHY,2,3,2106,186
veh3,2123,2.12371,,0,CAM,3,,2123,-1
veh3,2134,,2.14658,0,CAM_DROP_PHY,4,3,2134,208
veh3,2136,,2.15408,1,CAM,6,3,2136,-1
veh3,2171,,2.18233,1,CAM,5,3,2171,-1
veh3,2191,,2.19358,1,CAM,9,3,2191,-1
veh3,2185,,2.19858,0,CPM_DROP_PHY,6,3,2185,262
veh3,2206,,2.20858,0,CAM_DROP_PHY,1,3,2206,298
veh3,2223,2.22371,,0,CAM,3,,2223,-1
veh3,2238,,2.24258,0,CAM_DROP_PHY,10,3,2238,335
veh3,2234,,2.24658,1,CAM,4,3,2234,-1
veh3,2241,,2.25383,1,CAM,2,3,2241,-1
veh3,2236,,2.25408,1,CAM,6,3,2236,-1
veh3,2285,,2.29408,0,CPM_DROP_PHY,6,3,2285,409
veh3,2306,,2.30858,0,CAM_DROP_PHY,1,3,2306,434
veh3,2306,,2.31383,0,CPM_DROP_PHY,2,3,2306,432
veh3,2323,2.32371,,0,CAM,3,,2323,-1
veh3,2323,,2.32733,1,CAM,12,3,2323,-1
veh3,2334,,2.34658,1,CAM,4,3,2334,-1
veh3,2336,,2.35408,0,CAM_DROP_PHY,6,3,2336,475
veh3,2371,,2.38233,0,CAM_DROP_PHY,5,3,2371,529
veh3,2391,,2.39358,0,CAM_DROP_PHY,9,3,2391,554
veh3,2385,,2.39858,0,CPM_DROP_PHY,6,3,2385,543
veh3,2406,,2.40858,0,CAM_DROP_PHY,1,3,2406,581
veh3,2406,,2.41383,0,CPM_DROP_PHY,2,3,2406,577
veh3,2423,2.42371,,0,CAM,3,,2423,-1
veh3,2434,,2.44658,1,CAM,4,3,2434,-1
veh3,2441,,2.45383,1,CAM,2,3,2441,-1
veh3,2436,,2.45408,0,CAM_DROP_PHY,6,3,2436,617
veh3,2506,,2.50858,0,CAM_DROP_PHY,1,3,2506,723
veh3,2506,,2.51383,0,CPM_DROP_PHY,2,3,2506,721
veh3,2512,,2.51583,1,CAM,8,3,2512,-1
veh3,2523,2.52371,,0,CAM,3,,2523,-1
veh3,2523,,2.52733,0,CAM_DROP_PHY,12,3,2523,746
veh3,2534,,2.54658,1,CAM,4,3,2534,-1
veh3,2536,,2.55408,0,CAM_DROP_PHY,6,3,2536,775
veh3,2557,,2.56658,0,CPM_DROP_PHY,4,3,2557,802
veh3,2571,,2.58233,1,CAM,5,3,2571,-1
veh3,2583,,2.58858,0,CPM_DROP_PHY,1,3,2583,836
veh3,2591,,2.59358,0,CAM_DROP_PHY,9,3,2591,847
veh3,2606,,2.60858,1,CAM,1,3,2606,-1
veh3,2623,2.62371,,0,CAM,3,,2623,-1
veh3,2641,,2.65383,0,CAM_DROP_PHY,2,3,2641,911
veh3,2636,,2.65408,1,CAM,6,3,2636,-1
veh3,2659,,2.66233,0,CPM_DROP_PHY,5,3,2659,939
veh3,2683,,2.68858,0,CPM_DROP_PHY,1,3,2683,971
veh3,2706,,2.70858,1,CAM,1,3,2706,-1
veh3,2706,,2.71383,0,CPM_DROP_PHY,2,3,2706,997
veh3,2723,,2.72733,1,CAM,12,3,2723,-1
veh3,2638,,2.74258,1,CAM,10,3,2638,-1
veh3,2736,,2.75408,0,CAM_DROP_PHY,6,3,2736,1039
veh3,2772,,2.77358,0,CPM_DROP_PHY,9,3,2772,1069
veh3,2783,,2.78858,0,CPM_DROP_PHY,1,3,2783,1088
veh3,2791,,2.79358,1,CAM,9,3,2791,-1
veh3,2785,,2.79408,0,CPM_DROP_PHY,6,3,2785,1089
veh3,2771,,2.79508,1,CAM,5,3,2771,-1
veh3,2806,,2.80858,1,CAM,1,3,2806,-1
veh3,2806,,2.81383,0,CPM_DROP_PHY,2,3,2806,1129
veh3,2812,,2.81583,1,CAM,8,3,2812,-1
veh3,2838,,2.84258,1,CAM,10,3,2838,-1
veh3,2841,,2.85383,1,CAM,2,3,2841,-1
veh3,2883,,2.88858,0,CPM_DROP_PHY,1,3,2883,1228
veh3,2923,,2.92733,1,CAM,12,3,2923,-1
veh3,2957,,2.96658,0,CPM_DROP_PHY,4,3,2957,1294
veh3,2959,,2.97508,0,CPM_DROP_PHY,5,3,2959,1296
veh3,2979,,2.98733,0,CPM_DROP_PHY,12,3,2979,1328
veh3,2991,,2.99358,0,CAM_DROP_PHY,9,3,2991,1347
veh3,2971,,2.99508,1,CAM,5,3,2971,-1
veh3,3038,,3.04258,1,CAM,10,3,3038,-1
veh3,3041,,3.05383,1,CAM,2,3,3041,-1
veh3,3059,,3.07508,0,CPM_DROP_PHY,5,3,3059,1430
veh3,3076,,3.09583,0,CPM_DROP_PHY,8,3,3076,1464
veh3,3112,,3.11583,1,CAM,8,3,3112,-1
veh3,3123,,3.12733,1,CAM,12,3,3123,-1
veh3,3158,,3.16258,0,CPM_DROP_PHY,10,3,3158,1555
veh3,3172,,3.17358,0,CPM_DROP_PHY,9,3,3172,1575
veh3,3159,,3.17508,0,CPM_DROP_PHY,5,3,3159,1559
veh3,3171,,3.19508,0,CAM_DROP_PHY,5,3,3171,1559
veh3,3191,,3.21108,1,CAM,9,3,3191,-1
veh3,3238,,3.24258,1,CAM,10,3,3238,-1
veh3,3241,,3.25833,1,CAM,2,3,3241,-1
veh3,3257,,3.25883,0,CPM_DROP_PHY,4,3,3257,1668
veh3,3259,,3.27508,0,CPM_DROP_PHY,5,3,3259,1676
veh3,3323,,3.32733,0,CAM_DROP_PHY,12,3,3323,1740
veh3,3357,,3.35883,0,CPM_DROP_PHY,4,3,3357,1764
veh3,3358,,3.36258,0,CPM_DROP_PHY,10,3,3358,1766
veh3,3359,,3.36758,0,CPM_DROP_PHY,5,3,3359,1771
veh3,3391,,3.41108,0,CAM_DROP_PHY,9,3,3391,1808
veh3,3412,,3.41583,0,CAM_DROP_PHY,8,3,3412,1827
veh3,3438,,3.44258,0,CAM_DROP_PHY,10,3,3438,1854
veh3,3441,,3.45833,0,CAM_DROP_PHY,2,3,3441,1857
veh3,3483,,3.49933,0,CPM_DROP_PHY,1,3,3483,1917
veh3,3534,,3.53883,1,CAM,4,3,3534,-1
veh3,3557,,3.55883,0,CPM_DROP_PHY,4,3,3557,1976
veh3,3558,,3.56258,0,CPM_DROP_PHY,10,3,3558,1978
veh3,3583,,3.59933,0,CPM_DROP_PHY,1,3,3583,2015
veh3,3591,,3.61108,1,CAM,9,3,3591,-1
veh3,3623,3.62371,,0,CAM,3,,3623,-1
veh3,3638,,3.64258,0,CAM_DROP_PHY,10,3,3638,2059
veh3,3641,,3.65833,0,CAM_DROP_PHY,2,3,3641,2064
veh3,3657,,3.65883,0,CPM_DROP_PHY,4,3,3657,2083
veh3,3658,,3.66258,0,CPM_DROP_PHY,10,3,3658,2087
veh3,3683,,3.69933,0,CPM_DROP_PHY,1,3,3683,2129
veh3,3712,,3.71583,0,CAM_DROP_PHY,8,3,3712,2149
veh3,3736,,3.74433,1,CAM,6,3,3736,-1
veh3,3758,,3.75958,0,CPM_DROP_PHY,10,3,3758,2189
