time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.00858,veh8,cam_drop_reaction,1,2006,95,-1,-1,0,0,8.33
2.05383,veh8,drop_decision_no_action,2,2041,123,-1,-1,-1,-1,-1
2.06658,veh8,drop_decision_no_action,4,2057,135,-1,-1,-1,-1,-1
2.08858,veh8,drop_decision_no_action,1,2083,164,-1,-1,-1,-1,-1
2.09408,veh8,drop_decision_no_action,6,2085,165,-1,-1,-1,-1,-1
2.12758,veh8,cam_drop_reaction,3,2123,196,-1,-1,0,0,8.33
2.14658,veh8,drop_decision_no_action,4,2134,208,-1,-1,-1,-1,-1
2.15408,veh8,drop_decision_no_action,6,2136,210,-1,-1,-1,-1,-1
2.16658,veh8,drop_decision_no_action,4,2157,237,-1,-1,-1,-1,-1
2.18233,veh8,drop_decision_no_action,5,2171,251,-1,-1,-1,-1,-1
2.19858,veh8,drop_decision_no_action,6,2185,262,-1,-1,-1,-1,-1
2.22758,veh8,cam_drop_reaction,3,2223,316,-1,-1,0,0,8.33
2.24658,veh8,drop_decision_no_action,4,2234,329,-1,-1,-1,-1,-1
2.25383,veh8,drop_decision_no_action,2,2241,337,-1,-1,-1,-1,-1
2.28858,veh8,drop_decision_no_action,1,2283,408,-1,-1,-1,-1,-1
2.29408,veh8,drop_decision_no_action,6,2285,409,-1,-1,-1,-1,-1
2.31383,veh8,drop_decision_no_action,2,2306,432,-1,-1,-1,-1,-1
2.32733,veh8,drop_decision_no_action,12,2323,452,-1,-1,-1,-1,-1
2.32758,veh8,cam_drop_reaction,3,2323,453,-1,-1,0,0,8.33
2.34658,veh8,drop_decision_no_action,4,2334,471,-1,-1,-1,-1,-1
2.34758,veh8,drop_decision_no_action,3,2341,481,-1,-1,-1,-1,-1
2.38233,veh8,drop_decision_no_action,5,2371,529,-1,-1,-1,-1,-1
2.38858,veh8,drop_decision_no_action,1,2383,542,-1,-1,-1,-1,-1
2.39358,veh8,drop_decision_no_action,9,2391,554,-1,-1,-1,-1,-1
2.40858,veh8,drop_decision_no_action,1,2406,581,-1,-1,-1,-1,-1
2.44258,veh8,cam_drop_reaction,10,2438,621,-1,-1,0,0,8.33
2.46233,veh8,drop_decision_no_action,5,2459,665,-1,-1,-1,-1,-1
2.48858,veh8,drop_decision_no_action,1,2483,696,-1,-1,-1,-1,-1
2.49408,veh8,drop_decision_no_action,6,2485,697,-1,-1,-1,-1,-1
2.53633,veh8,drop_decision_no_action,12,2523,746,-1,-1,-1,-1,-1
2.54658,veh8,cam_drop_reaction,4,2534,770,-1,-1,0,0,8.33
2.56658,veh8,drop_decision_no_action,4,2557,802,-1,-1,-1,-1,-1
2.58858,veh8,drop_decision_no_action,1,2583,836,-1,-1,-1,-1,-1
2.59358,veh8,drop_decision_no_action,9,2591,847,-1,-1,-1,-1,-1
2.62758,veh8,drop_decision_no_action,3,2623,889,-1,-1,-1,-1,-1
2.64258,veh8,drop_decision_no_action,10,2638,909,-1,-1,-1,-1,-1
2.65383,veh8,cam_drop_reaction,2,2641,911,-1,-1,0,0,8.33
2.66233,veh8,drop_decision_no_action,5,2659,939,-1,-1,-1,-1,-1
2.70858,veh8,drop_decision_no_action,1,2706,999,-1,-1,-1,-1,-1
2.75408,veh8,cam_drop_reaction,6,2736,1039,-1,-1,0,0,8.33
2.78858,veh8,drop_decision_no_action,1,2783,1088,-1,-1,-1,-1,-1
2.79358,veh8,drop_decision_no_action,9,2791,1099,-1,-1,-1,-1,-1
