time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0101,veh4,cpm_drop_reaction,10,699539166804,1375,-1,-1,0,1,45
10.0316,veh4,drop_decision_no_action,5,699539166838,1381,-1,-1,-1,-1,-1
10.0546,veh4,drop_decision_no_action,9,1677,1404,-1,-1,-1,-1,-1
10.0901,veh4,drop_decision_no_action,10,1763,1448,-1,-1,-1,-1,-1
10.1026,veh4,drop_decision_no_action,11,1804,1474,-1,-1,-1,-1,-1
10.1116,veh4,drop_decision_no_action,5,1899,1495,-1,-1,-1,-1,-1
10.1136,veh4,drop_decision_no_action,12,1888,1478,-1,-1,-1,-1,-1
10.1546,veh4,drop_decision_no_action,9,2001,1586,-1,-1,-1,-1,-1
10.1891,veh4,drop_decision_no_action,8,699539167384,1655,-1,-1,-1,-1,-1
10.2316,veh4,drop_decision_no_action,5,699539167521,1708,-1,-1,-1,-1,-1
10.2416,veh4,drop_decision_no_action,3,699539167541,1728,-1,-1,-1,-1,-1
10.2491,veh4,drop_decision_no_action,7,699539167544,1729,-1,-1,-1,-1,-1
10.2638,veh4,drop_decision_no_action,6,699539167588,1767,-1,-1,-1,-1,-1
10.2901,veh4,drop_decision_no_action,10,2303,1797,-1,-1,-1,-1,-1
10.3026,veh4,drop_decision_no_action,11,2328,1817,-1,-1,-1,-1,-1
10.3101,veh4,drop_decision_no_action,10,699539167747,1840,-1,-1,-1,-1,-1
10.3116,veh4,drop_decision_no_action,5,2423,1839,-1,-1,-1,-1,-1
10.3316,veh4,drop_decision_no_action,5,699539167776,1870,-1,-1,-1,-1,-1
10.3536,veh4,drop_decision_no_action,12,699539167823,1921,-1,-1,-1,-1,-1
10.3546,veh4,drop_decision_no_action,9,2499,1919,-1,-1,-1,-1,-1
10.3638,veh4,drop_decision_no_action,6,2506,1922,-1,-1,-1,-1,-1
10.3891,veh4,drop_decision_no_action,8,699539167979,1977,-1,-1,-1,-1,-1
10.3986,veh4,drop_decision_no_action,2,2672,1987,-1,-1,-1,-1,-1
10.4026,veh4,drop_decision_no_action,11,699539167988,1985,-1,-1,-1,-1,-1
10.4136,veh4,drop_decision_no_action,12,2766,1994,-1,-1,-1,-1,-1
10.4416,veh4,drop_decision_no_action,3,2823,2049,-1,-1,-1,-1,-1
10.4416,veh4,drop_decision_no_action,3,699539168147,2049,-1,-1,-1,-1,-1
10.4491,veh4,drop_decision_no_action,7,699539168150,2052,-1,-1,-1,-1,-1
10.4491,veh4,drop_decision_no_action,7,2842,2052,-1,-1,-1,-1,-1
10.4901,veh4,drop_decision_no_action,10,2898,2107,-1,-1,-1,-1,-1
10.5026,veh4,drop_decision_no_action,11,2922,2124,-1,-1,-1,-1,-1
10.5101,veh4,drop_decision_no_action,10,699539168340,2147,-1,-1,-1,-1,-1
10.5116,veh4,drop_decision_no_action,5,3017,2146,-1,-1,-1,-1,-1
10.5416,veh4,drop_decision_no_action,3,699539168384,2200,-1,-1,-1,-1,-1
10.5491,veh4,drop_decision_no_action,8,3054,2193,-1,-1,-1,-1,-1
10.5638,veh4,drop_decision_no_action,6,3103,2234,-1,-1,-1,-1,-1
10.5838,veh4,drop_decision_no_action,6,699539168437,2234,-1,-1,-1,-1,-1
10.5891,veh4,drop_decision_no_action,8,699539168482,2301,-1,-1,-1,-1,-1
10.5986,veh4,drop_decision_no_action,2,3176,2317,-1,-1,-1,-1,-1
10.6026,veh4,drop_decision_no_action,11,3182,2314,-1,-1,-1,-1,-1
10.6101,veh4,drop_decision_no_action,10,699539168602,2339,-1,-1,-1,-1,-1
10.6136,veh4,drop_decision_no_action,12,3268,2324,-1,-1,-1,-1,-1
10.6446,veh4,drop_decision_no_action,7,699539168643,2380,-1,-1,-1,-1,-1
10.6638,veh4,drop_decision_no_action,6,699539168671,2405,-1,-1,-1,-1,-1
10.6746,veh4,drop_decision_no_action,9,699539168674,2406,-1,-1,-1,-1,-1
10.6901,veh4,drop_decision_no_action,10,3390,2433,-1,-1,-1,-1,-1
10.6986,veh4,drop_decision_no_action,2,3408,2454,-1,-1,-1,-1,-1
10.7026,veh4,drop_decision_no_action,11,3415,2458,-1,-1,-1,-1,-1
10.7136,veh4,drop_decision_no_action,12,3504,2460,-1,-1,-1,-1,-1
10.7416,veh4,drop_decision_no_action,3,3565,2534,-1,-1,-1,-1,-1
10.7416,veh4,drop_decision_no_action,3,699539168889,2534,-1,-1,-1,-1,-1
10.7491,veh4,drop_decision_no_action,8,3556,2528,-1,-1,-1,-1,-1
10.7536,veh4,drop_decision_no_action,12,699539169021,2564,-1,-1,-1,-1,-1
10.7548,veh4,drop_decision_no_action,7,699539168892,2538,-1,-1,-1,-1,-1
10.7748,veh4,drop_decision_no_action,7,3686,2538,-1,-1,-1,-1,-1
10.7986,veh4,drop_decision_no_action,2,3772,2643,-1,-1,-1,-1,-1
10.8026,veh4,drop_decision_no_action,11,3777,2640,-1,-1,-1,-1,-1
10.8136,veh4,drop_decision_no_action,12,3863,2648,-1,-1,-1,-1,-1
10.8316,veh4,drop_decision_no_action,5,699539169212,2681,-1,-1,-1,-1,-1
10.8638,veh4,drop_decision_no_action,6,699539169263,2730,-1,-1,-1,-1,-1
10.8891,veh4,drop_decision_no_action,8,699539169309,2772,-1,-1,-1,-1,-1
10.8901,veh4,drop_decision_no_action,10,3980,2761,-1,-1,-1,-1,-1
10.8986,veh4,drop_decision_no_action,2,4003,2785,-1,-1,-1,-1,-1
10.9186,veh4,drop_decision_no_action,2,699539169435,2821,-1,-1,-1,-1,-1
10.9238,veh4,drop_decision_no_action,5,699539169453,2813,-1,-1,-1,-1,-1
10.9416,veh4,drop_decision_no_action,3,699539169474,2868,-1,-1,-1,-1,-1
10.9546,veh4,drop_decision_no_action,9,4177,2889,-1,-1,-1,-1,-1
10.9548,veh4,drop_decision_no_action,7,699539169477,2869,-1,-1,-1,-1,-1
10.9638,veh4,drop_decision_no_action,6,4183,2892,-1,-1,-1,-1,-1
10.9838,veh4,drop_decision_no_action,6,699539169521,2892,-1,-1,-1,-1,-1
10.9891,veh4,drop_decision_no_action,8,699539169567,2959,-1,-1,-1,-1,-1
10.9986,veh4,drop_decision_no_action,2,4260,2973,-1,-1,-1,-1,-1
10.9996,veh4,drop_decision_no_action,11,4265,2977,-1,-1,-1,-1,-1
11.0101,veh4,drop_decision_no_action,10,699539169686,2997,-1,-1,-1,-1,-1
11.0128,veh4,drop_decision_no_action,12,4358,2984,-1,-1,-1,-1,-1
11.0416,veh4,drop_decision_no_action,3,4412,3045,-1,-1,-1,-1,-1
11.0416,veh4,drop_decision_no_action,3,699539169736,3045,-1,-1,-1,-1,-1
11.0548,veh4,drop_decision_no_action,7,699539169739,3049,-1,-1,-1,-1,-1
11.0548,veh4,drop_decision_no_action,7,4432,3049,-1,-1,-1,-1,-1
11.0746,veh4,drop_decision_no_action,9,699539169777,3077,-1,-1,-1,-1,-1
11.0901,veh4,drop_decision_no_action,10,4482,3102,-1,-1,-1,-1,-1
11.1101,veh4,drop_decision_no_action,10,699539170025,3136,-1,-1,-1,-1,-1
11.1128,veh4,drop_decision_no_action,12,4694,3127,-1,-1,-1,-1,-1
11.1238,veh4,drop_decision_no_action,5,4701,3135,-1,-1,-1,-1,-1
11.1238,veh4,drop_decision_no_action,5,699539170051,3135,-1,-1,-1,-1,-1
11.1491,veh4,drop_decision_no_action,8,4748,3183,-1,-1,-1,-1,-1
11.1528,veh4,drop_decision_no_action,12,699539170107,3213,-1,-1,-1,-1,-1
11.1638,veh4,drop_decision_no_action,6,4790,3216,-1,-1,-1,-1,-1
11.1996,veh4,drop_decision_no_action,11,4862,3290,-1,-1,-1,-1,-1
11.2238,veh4,drop_decision_no_action,5,699539170306,3326,-1,-1,-1,-1,-1
11.2276,veh4,drop_decision_no_action,10,699539170284,3312,-1,-1,-1,-1,-1
11.2461,veh4,drop_decision_no_action,3,699539170332,3350,-1,-1,-1,-1,-1
11.2538,veh4,drop_decision_no_action,7,699539170334,3351,-1,-1,-1,-1,-1
11.2876,veh4,drop_decision_no_action,10,5094,3419,-1,-1,-1,-1,-1
11.3461,veh4,drop_decision_no_action,3,5255,3497,-1,-1,-1,-1,-1
11.3491,veh4,drop_decision_no_action,8,5250,3490,-1,-1,-1,-1,-1
11.3538,veh4,drop_decision_no_action,7,699539170584,3500,-1,-1,-1,-1,-1
11.3546,veh4,drop_decision_no_action,9,5292,3529,-1,-1,-1,-1,-1
11.3738,veh4,drop_decision_no_action,7,5272,3500,-1,-1,-1,-1,-1
11.3996,veh4,drop_decision_no_action,11,5375,3617,-1,-1,-1,-1,-1
11.4046,veh4,drop_decision_no_action,8,699539170680,3611,-1,-1,-1,-1,-1
11.4276,veh4,drop_decision_no_action,10,699539170797,3637,-1,-1,-1,-1,-1
11.4293,veh4,drop_decision_no_action,2,699539170802,3641,-1,-1,-1,-1,-1
11.5093,veh4,drop_decision_no_action,2,5593,3746,-1,-1,-1,-1,-1
11.5438,veh4,cpm_reaction,5,699539171133,18446744073709551615,7.65063,-1,1,1,15
11.5446,veh4,drop_decision_no_action,8,5840,3791,-1,-1,-1,-1,-1
11.5688,veh4,drop_decision_no_action,9,5880,3835,-1,-1,-1,-1,-1
11.6238,veh4,drop_decision_no_action,5,699539171380,3921,-1,-1,-1,-1,-1
11.6461,veh4,drop_decision_no_action,3,6084,3946,-1,-1,-1,-1,-1
11.6538,veh4,drop_decision_no_action,7,699539171411,3949,-1,-1,-1,-1,-1
11.7276,veh4,drop_decision_no_action,10,699539171613,4051,-1,-1,-1,-1,-1
11.7461,veh4,drop_decision_no_action,3,699539171663,4093,-1,-1,-1,-1,-1
11.7528,veh4,drop_decision_no_action,12,699539171693,4123,-1,-1,-1,-1,-1
11.7688,veh4,drop_decision_no_action,9,6369,4122,-1,-1,-1,-1,-1
11.7876,veh4,drop_decision_no_action,10,6427,4177,-1,-1,-1,-1,-1
11.8331,veh4,drop_decision_no_action,10,699539171870,4219,-1,-1,-1,-1,-1
11.8931,veh4,drop_decision_no_action,10,6661,4311,-1,-1,-1,-1,-1
11.9438,veh4,drop_decision_no_action,5,699539172237,4348,-1,-1,-1,-1,-1
11.9446,veh4,drop_decision_no_action,8,6933,4401,-1,-1,-1,-1,-1
11.9461,veh4,drop_decision_no_action,3,6938,4409,-1,-1,-1,-1,-1
11.9461,veh4,drop_decision_no_action,3,699539172262,4409,-1,-1,-1,-1,-1
11.9538,veh4,drop_decision_no_action,7,699539172265,4412,-1,-1,-1,-1,-1
11.9931,veh4,drop_decision_no_action,10,7029,4497,-1,-1,-1,-1,-1
12.0131,veh4,drop_decision_no_action,10,699539172478,4540,-1,-1,-1,-1,-1
12.0461,veh4,drop_decision_no_action,3,699539172506,4567,-1,-1,-1,-1,-1
12.0528,veh4,drop_decision_no_action,12,699539172540,4585,-1,-1,-1,-1,-1
12.0688,veh4,drop_decision_no_action,9,699539172559,4607,-1,-1,-1,-1,-1
12.0931,veh4,drop_decision_no_action,10,7261,4629,-1,-1,-1,-1,-1
12.1193,veh4,drop_decision_no_action,5,7374,4654,-1,-1,-1,-1,-1
12.1528,veh4,drop_decision_no_action,12,699539172780,4726,-1,-1,-1,-1,-1
12.1566,veh4,drop_decision_no_action,6,7463,4729,-1,-1,-1,-1,-1
12.1688,veh4,drop_decision_no_action,9,7456,4725,-1,-1,-1,-1,-1
12.1766,veh4,drop_decision_no_action,6,699539172802,4754,-1,-1,-1,-1,-1
12.2128,veh4,drop_decision_no_action,12,7630,4817,-1,-1,-1,-1,-1
12.2131,veh4,drop_decision_no_action,10,699539172960,4826,-1,-1,-1,-1,-1
12.2268,veh4,drop_decision_no_action,2,699539172965,4829,-1,-1,-1,-1,-1
12.2461,veh4,drop_decision_no_action,3,699539172997,4866,-1,-1,-1,-1,-1
12.2538,veh4,drop_decision_no_action,7,699539172999,4867,-1,-1,-1,-1,-1
12.2716,veh4,drop_decision_no_action,12,699539173031,4889,-1,-1,-1,-1,-1
12.2766,veh4,drop_decision_no_action,6,699539173043,4907,-1,-1,-1,-1,-1
12.2931,veh4,drop_decision_no_action,10,7755,4935,-1,-1,-1,-1,-1
12.3068,veh4,drop_decision_no_action,2,7772,4955,-1,-1,-1,-1,-1
12.3193,veh4,drop_decision_no_action,5,7980,4968,-1,-1,-1,-1,-1
12.3268,veh4,drop_decision_no_action,2,699539173308,4971,-1,-1,-1,-1,-1
12.3446,veh4,drop_decision_no_action,8,8021,5010,-1,-1,-1,-1,-1
12.3461,veh4,drop_decision_no_action,3,699539173350,5018,-1,-1,-1,-1,-1
12.3688,veh4,drop_decision_no_action,9,8063,5045,-1,-1,-1,-1,-1
12.3931,veh4,drop_decision_no_action,10,8110,5100,-1,-1,-1,-1,-1
12.4128,veh4,drop_decision_no_action,11,699539173443,5114,-1,-1,-1,-1,-1
12.4131,veh4,drop_decision_no_action,10,699539173549,5127,-1,-1,-1,-1,-1
12.5128,veh4,drop_decision_no_action,11,8358,5241,-1,-1,-1,-1,-1
12.5131,veh4,drop_decision_no_action,10,699539173785,5256,-1,-1,-1,-1,-1
12.5193,veh4,drop_decision_no_action,5,8462,5255,-1,-1,-1,-1,-1
12.5523,veh4,drop_decision_no_action,7,699539173834,5308,-1,-1,-1,-1,-1
12.5566,veh4,drop_decision_no_action,6,8562,5353,-1,-1,-1,-1,-1
12.5688,veh4,drop_decision_no_action,9,8555,5345,-1,-1,-1,-1,-1
12.5716,veh4,drop_decision_no_action,12,699539173878,5349,-1,-1,-1,-1,-1
12.6116,veh4,drop_decision_no_action,12,8751,5448,-1,-1,-1,-1,-1
12.6128,veh4,drop_decision_no_action,11,699539173959,5436,-1,-1,-1,-1,-1
12.6236,veh4,drop_decision_no_action,10,699539174077,5453,-1,-1,-1,-1,-1
12.7116,veh4,drop_decision_no_action,12,9098,5575,-1,-1,-1,-1,-1
12.7128,veh4,drop_decision_no_action,11,699539174303,5566,-1,-1,-1,-1,-1
12.7193,veh4,drop_decision_no_action,5,9106,5582,-1,-1,-1,-1,-1
12.7388,veh4,drop_decision_no_action,3,9155,5642,-1,-1,-1,-1,-1
12.7388,veh4,drop_decision_no_action,3,699539174478,5642,-1,-1,-1,-1,-1
12.7393,veh4,drop_decision_no_action,5,699539174454,5617,-1,-1,-1,-1,-1
12.7408,veh4,drop_decision_no_action,8,9149,5634,-1,-1,-1,-1,-1
12.7513,veh4,drop_decision_no_action,9,9189,5679,-1,-1,-1,-1,-1
12.7691,veh4,drop_decision_no_action,6,9194,5690,-1,-1,-1,-1,-1
12.7836,veh4,drop_decision_no_action,10,9229,5726,-1,-1,-1,-1,-1
12.8236,veh4,drop_decision_no_action,10,699539174675,5750,-1,-1,-1,-1,-1
12.8256,veh4,drop_decision_no_action,2,699539174680,5752,-1,-1,-1,-1,-1
12.8388,veh4,drop_decision_no_action,3,699539174721,5794,-1,-1,-1,-1,-1
12.8466,veh4,drop_decision_no_action,7,9430,5795,-1,-1,-1,-1,-1
12.8836,veh4,drop_decision_no_action,10,9473,5846,-1,-1,-1,-1,-1
12.9116,veh4,drop_decision_no_action,12,9594,5866,-1,-1,-1,-1,-1
12.9193,veh4,drop_decision_no_action,5,9599,5870,-1,-1,-1,-1,-1
12.9256,veh4,drop_decision_no_action,2,699539174928,5873,-1,-1,-1,-1,-1
12.9388,veh4,drop_decision_no_action,3,699539174968,5915,-1,-1,-1,-1,-1
12.9408,veh4,drop_decision_no_action,8,9641,5907,-1,-1,-1,-1,-1
12.9466,veh4,drop_decision_no_action,7,699539174971,5916,-1,-1,-1,-1,-1
12.9836,veh4,drop_decision_no_action,10,9742,6008,-1,-1,-1,-1,-1
13.0008,veh4,drop_decision_no_action,8,699539175071,6019,-1,-1,-1,-1,-1
13.0256,veh4,drop_decision_no_action,2,699539175198,6050,-1,-1,-1,-1,-1
13.0466,veh4,cpm_drop_reaction,7,699539176023,6091,-1,-1,1,1,15
13.0713,veh4,drop_decision_no_action,9,699539176073,6131,-1,-1,-1,-1,-1
13.1168,veh4,drop_decision_no_action,5,11014,6193,-1,-1,-1,-1,-1
13.1388,veh4,drop_decision_no_action,3,11062,6241,-1,-1,-1,-1,-1
13.1466,veh4,drop_decision_no_action,7,11089,6244,-1,-1,-1,-1,-1
13.1513,veh4,drop_decision_no_action,9,11108,6284,-1,-1,-1,-1,-1
13.1691,veh4,drop_decision_no_action,6,11115,6292,-1,-1,-1,-1,-1
13.2116,veh4,drop_decision_no_action,12,11292,6371,-1,-1,-1,-1,-1
13.2256,veh4,drop_decision_no_action,2,699539176625,6381,-1,-1,-1,-1,-1
13.2258,veh4,drop_decision_no_action,10,699539176338,6194,-1,-1,-1,-1,-1
13.2368,veh4,drop_decision_no_action,5,699539176638,6398,-1,-1,-1,-1,-1
13.2388,veh4,drop_decision_no_action,3,699539176656,6418,-1,-1,-1,-1,-1
13.2858,veh4,drop_decision_no_action,10,11399,6469,-1,-1,-1,-1,-1
13.3116,veh4,drop_decision_no_action,12,11525,6489,-1,-1,-1,-1,-1
13.3513,veh4,drop_decision_no_action,9,11605,6554,-1,-1,-1,-1,-1
13.3998,veh4,drop_decision_no_action,8,699539176981,6618,-1,-1,-1,-1,-1
13.4091,veh4,drop_decision_no_action,11,11674,6632,-1,-1,-1,-1,-1
13.4116,veh4,drop_decision_no_action,12,11792,6637,-1,-1,-1,-1,-1
13.4168,veh4,drop_decision_no_action,5,11797,6641,-1,-1,-1,-1,-1
13.4368,veh4,drop_decision_no_action,5,699539177140,6672,-1,-1,-1,-1,-1
13.4466,veh4,drop_decision_no_action,7,699539177154,6685,-1,-1,-1,-1,-1
13.4466,veh4,drop_decision_no_action,7,11848,6685,-1,-1,-1,-1,-1
13.4691,veh4,drop_decision_no_action,6,11876,6719,-1,-1,-1,-1,-1
13.4998,veh4,drop_decision_no_action,8,699539177357,6776,-1,-1,-1,-1,-1
13.5023,veh4,drop_decision_no_action,12,12167,6798,-1,-1,-1,-1,-1
13.5056,veh4,drop_decision_no_action,2,12048,6793,-1,-1,-1,-1,-1
13.5256,veh4,drop_decision_no_action,2,699539177503,6817,-1,-1,-1,-1,-1
13.5508,veh4,drop_decision_no_action,3,12214,6850,-1,-1,-1,-1,-1
13.5508,veh4,drop_decision_no_action,3,699539177538,6850,-1,-1,-1,-1,-1
13.5613,veh4,drop_decision_no_action,9,12250,6881,-1,-1,-1,-1,-1
13.5623,veh4,drop_decision_no_action,12,699539177578,6884,-1,-1,-1,-1,-1
13.5691,veh4,drop_decision_no_action,6,699539177590,6900,-1,-1,-1,-1,-1
13.5998,veh4,drop_decision_no_action,8,699539177634,6945,-1,-1,-1,-1,-1
13.6091,veh4,drop_decision_no_action,11,699539177640,6951,-1,-1,-1,-1,-1
13.6091,veh4,drop_decision_no_action,11,12326,6951,-1,-1,-1,-1,-1
13.6368,veh4,drop_decision_no_action,5,699539177794,6995,-1,-1,-1,-1,-1
13.6691,veh4,drop_decision_no_action,6,699539177857,7048,-1,-1,-1,-1,-1
13.6858,veh4,drop_decision_no_action,10,12560,7069,-1,-1,-1,-1,-1
13.7023,veh4,drop_decision_no_action,12,12694,7090,-1,-1,-1,-1,-1
13.7168,veh4,drop_decision_no_action,5,12701,7097,-1,-1,-1,-1,-1
13.7508,veh4,drop_decision_no_action,3,699539178062,7141,-1,-1,-1,-1,-1
13.7623,veh4,drop_decision_no_action,12,699539178105,7175,-1,-1,-1,-1,-1
13.7998,veh4,drop_decision_no_action,8,699539178156,7234,-1,-1,-1,-1,-1
13.8023,veh4,drop_decision_no_action,12,13073,7247,-1,-1,-1,-1,-1
13.8076,veh4,drop_decision_no_action,11,12846,7242,-1,-1,-1,-1,-1
13.8223,veh4,drop_decision_no_action,2,699539178406,7264,-1,-1,-1,-1,-1
13.8258,veh4,drop_decision_no_action,10,699539178402,7260,-1,-1,-1,-1,-1
13.8508,veh4,drop_decision_no_action,7,699539178445,7304,-1,-1,-1,-1,-1
13.8508,veh4,drop_decision_no_action,3,699539178442,7303,-1,-1,-1,-1,-1
13.8813,veh4,drop_decision_no_action,9,699539178489,7348,-1,-1,-1,-1,-1
13.9223,veh4,drop_decision_no_action,2,699539178667,7394,-1,-1,-1,-1,-1
13.9368,veh4,drop_decision_no_action,5,699539178680,7403,-1,-1,-1,-1,-1
13.9508,veh4,drop_decision_no_action,7,699539178703,7424,-1,-1,-1,-1,-1
13.9508,veh4,drop_decision_no_action,3,13375,7420,-1,-1,-1,-1,-1
13.9613,veh4,drop_decision_no_action,9,13402,7445,-1,-1,-1,-1,-1
13.9691,veh4,drop_decision_no_action,6,699539178739,7460,-1,-1,-1,-1,-1
13.9813,veh4,drop_decision_no_action,9,699539178743,7467,-1,-1,-1,-1,-1
14.0076,veh4,drop_decision_no_action,11,13484,7517,-1,-1,-1,-1,-1
14.0168,veh4,drop_decision_no_action,5,13633,7535,-1,-1,-1,-1,-1
14.0368,veh4,drop_decision_no_action,5,699539178984,7568,-1,-1,-1,-1,-1
14.0508,veh4,drop_decision_no_action,7,13700,7595,-1,-1,-1,-1,-1
14.0508,veh4,drop_decision_no_action,3,699539179003,7594,-1,-1,-1,-1,-1
14.0691,veh4,drop_decision_no_action,6,13724,7623,-1,-1,-1,-1,-1
14.1223,veh4,drop_decision_no_action,2,699539179240,7690,-1,-1,-1,-1,-1
14.1398,veh4,drop_decision_no_action,8,13947,7710,-1,-1,-1,-1,-1
14.1508,veh4,drop_decision_no_action,3,699539179274,7719,-1,-1,-1,-1,-1
14.1778,veh4,drop_decision_no_action,6,699539179429,7764,-1,-1,-1,-1,-1
14.1998,veh4,drop_decision_no_action,8,699539179465,7809,-1,-1,-1,-1,-1
14.2508,veh4,drop_decision_no_action,7,699539179668,7878,-1,-1,-1,-1,-1
14.2508,veh4,drop_decision_no_action,3,699539179665,7877,-1,-1,-1,-1,-1
14.2778,veh4,drop_decision_no_action,6,699539179703,7912,-1,-1,-1,-1,-1
14.2813,veh4,drop_decision_no_action,9,699539179711,7919,-1,-1,-1,-1,-1
14.3386,veh4,drop_decision_no_action,5,699539179932,7987,-1,-1,-1,-1,-1
14.3508,veh4,drop_decision_no_action,7,699539179951,8011,-1,-1,-1,-1,-1
