vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh9,52915,1.45074,,0,CAM,9,,52915,-1
veh9,53160,1.65074,,0,CAM,9,,53160,-1
veh9,53419,1.85074,,0,CAM,9,,53419,-1
veh9,53778,2.05074,,0,CAM,9,,53778,-1
veh9,54045,2.25074,,0,CAM,9,,54045,-1
veh9,54313,2.45074,,0,CAM,9,,54313,-1
veh9,54463,2.55074,,0,CAM,9,,54463,-1
veh9,54616,2.65074,,0,CAM,9,,54616,-1
veh9,54871,2.75074,,0,CAM,9,,54871,-1
veh9,55170,2.95074,,0,CAM,9,,55170,-1
veh9,55473,3.15074,,0,CAM,9,,55473,-1
veh9,55880,3.35074,,0,CAM,9,,55880,-1
veh9,56188,3.55074,,0,CAM,9,,56188,-1
veh9,56511,3.75074,,0,CAM,9,,56511,-1
veh9,56931,3.95074,,0,CAM,9,,56931,-1
veh9,57250,4.15074,,0,CAM,9,,57250,-1
veh9,57575,4.35074,,0,CAM,9,,57575,-1
veh9,57997,4.55074,,0,CAM,9,,57997,-1
veh9,58316,4.75074,,0,CAM,9,,58316,-1
veh9,58631,4.95074,,0,CAM,9,,58631,-1
veh9,59048,5.15074,,0,CAM,9,,59048,-1
veh9,59198,5.25074,,0,CAM,9,,59198,-1
veh9,59359,5.35074,,0,CAM,9,,59359,-1
veh9,59508,5.45074,,0,CAM,9,,59508,-1
veh9,59811,5.65074,,0,CAM,9,,59811,-1
veh9,60215,5.85074,,0,CAM,9,,60215,-1
veh9,60531,6.05074,,0,CAM,9,,60531,-1
veh9,60840,6.25074,,0,CAM,9,,60840,-1
veh9,61239,6.45074,,0,CAM,9,,61239,-1
veh9,61531,6.65074,,0,CAM,9,,61531,-1
veh9,61685,6.75074,,0,CAM,9,,61685,-1
veh9,62090,6.95074,,0,CAM,9,,62090,-1
veh9,62401,7.15074,,0,CAM,9,,62401,-1
veh9,62716,7.35074,,0,CAM,9,,62716,-1
veh9,63111,7.55074,,0,CAM,9,,63111,-1
veh9,63407,7.75074,,0,CAM,9,,63407,-1
veh9,63702,7.95074,,0,CAM,9,,63702,-1
veh9,63931,8.05074,,0,CAM,9,,63931,-1
veh9,64182,8.15074,,0,CAM,9,,64182,-1
veh9,64326,8.25074,,0,CAM,9,,64326,-1
veh9,64607,8.45074,,0,CAM,9,,64607,-1
veh9,64896,8.65074,,0,CAM,9,,64896,-1
veh9,65278,8.85074,,0,CAM,9,,65278,-1
veh9,17,9.05074,,0,CAM,9,,17,-1
veh9,300,9.25074,,0,CAM,9,,300,-1
veh9,676,9.45074,,0,CAM,9,,676,-1
veh9,1083,9.75074,,0,CAM,9,,1083,-1
veh9,1232,9.85074,,0,CAM,9,,1232,-1
veh9,1369,9.95074,,0,CAM,9,,1369,-1
veh9,699539166838,,10.0316,0,CPM_DROP_PHY,5,9,699539166838,1381
veh9,1654,,10.0446,1,CAM,7,9,1654,-1
veh9,1677,10.0507,,0,CAM,9,,1677,-1
veh9,1763,,10.0901,1,CAM,10,9,1763,-1
veh9,1804,,10.1026,1,CAM,11,9,1804,-1
veh9,1793,,10.1068,0,CAM_DROP_PHY,2,9,1793,1470
veh9,699539167223,,10.1101,0,CPM_DROP_PHY,10,9,699539167223,1496
veh9,1899,,10.1116,0,CAM_DROP_PHY,5,9,1899,1495
veh9,1888,,10.1283,0,CAM_DROP_PHY,12,9,1888,1478
veh9,1928,,10.1303,0,CAM_DROP_PHY,4,9,1928,1522
veh9,699539167256,,10.1316,0,CPM_DROP_PHY,5,9,699539167256,1529
veh9,1960,,10.1416,1,CAM,3,9,1960,-1
veh9,1946,,10.1491,0,CAM_DROP_PHY,8,9,1946,1548
veh9,2001,10.1507,,0,CAM,9,,2001,-1
veh9,699539167325,,10.1536,0,CPM_DROP_PHY,12,9,699539167325,1589
