vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh12,8621,3.00117,,0,CAM,12,,8621,-1
veh12,8913,3.20117,,0,CAM,12,,8913,-1
veh12,9217,3.40117,,0,CAM,12,,9217,-1
veh12,9525,3.60117,,0,CAM,12,,9525,-1
veh12,9830,3.80117,,0,CAM,12,,9830,-1
veh12,10298,4.10117,,0,CAM,12,,10298,-1
veh12,10771,4.40117,,0,CAM,12,,10771,-1
veh12,11244,4.70117,,0,CAM,12,,11244,-1
veh12,11551,4.90117,,0,CAM,12,,11551,-1
veh12,11700,5.00117,,0,CAM,12,,11700,-1
veh12,11859,5.10117,,0,CAM,12,,11859,-1
veh12,12158,5.30117,,0,CAM,12,,12158,-1
veh12,12590,5.60117,,0,CAM,12,,12590,-1
veh12,13032,5.90117,,0,CAM,12,,13032,-1
veh12,13474,6.20117,,0,CAM,12,,13474,-1
veh12,13902,6.50117,,0,CAM,12,,13902,-1
veh12,14042,6.60117,,0,CAM,12,,14042,-1
veh12,14186,6.70117,,0,CAM,12,,14186,-1
veh12,14337,6.80117,,0,CAM,12,,14337,-1
veh12,14631,7.00117,,0,CAM,12,,14631,-1
veh12,15078,7.30117,,0,CAM,12,,15078,-1
veh12,15513,7.60117,,0,CAM,12,,15513,-1
veh12,15934,7.90117,,0,CAM,12,,15934,-1
veh12,16414,8.20117,,0,CAM,12,,16414,-1
veh12,16688,8.40117,,0,CAM,12,,16688,-1
veh12,16826,8.50117,,0,CAM,12,,16826,-1
veh12,16965,8.60117,,0,CAM,12,,16965,-1
veh12,17098,8.70117,,0,CAM,12,,17098,-1
veh12,17243,8.80117,,0,CAM,12,,17243,-1
veh12,17503,9.00117,,0,CAM,12,,17503,-1
veh12,17779,9.20117,,0,CAM,12,,17779,-1
veh12,18176,9.50117,,0,CAM,12,,18176,-1
veh12,18577,9.80117,,0,CAM,12,,18577,-1
veh12,699538266676,,10.0101,0,CPM_DROP_PHY,10,12,699538266676,1373
veh12,699538266708,,10.0316,0,CPM_DROP_PHY,5,12,699538266708,1379
veh12,18915,,10.0416,0,CAM_DROP_PHY,3,12,18915,1388
veh12,18953,,10.0546,0,CAM_DROP_PHY,9,12,18953,1406
veh12,699538266804,,10.0638,0,CPM_DROP_PHY,6,12,699538266804,1425
veh12,19038,,10.0901,0,CAM_DROP_PHY,10,12,19038,1455
veh12,19067,,10.0986,1,CAM,2,12,19067,-1
veh12,19160,10.1012,,0,CAM,12,,19160,-1
veh12,19077,,10.1026,0,CAM_DROP_PHY,11,12,19077,1482
veh12,19172,,10.1116,1,CAM,5,12,19172,-1
veh12,19197,,10.1303,1,CAM,4,12,19197,-1
veh12,699538267019,,10.1316,0,CPM_DROP_PHY,5,12,699538267019,1536
veh12,19212,,10.1491,0,CAM_DROP_PHY,8,12,19212,1550
veh12,699538267048,,10.1491,0,CPM_DROP_PHY,7,12,699538267048,1558
veh12,19243,,10.1491,1,CAM,7,12,19243,-1
veh12,19261,,10.1546,0,CAM_DROP_PHY,9,12,19261,1588
veh12,19266,,10.1638,1,CAM,6,12,19266,-1
veh12,19322,,10.1986,0,CAM_DROP_PHY,2,12,19322,1656
veh12,19328,,10.2026,0,CAM_DROP_PHY,11,12,19328,1660
veh12,699538267232,,10.2101,0,CPM_DROP_PHY,10,12,699538267232,1672
veh12,699538267263,,10.2316,0,CPM_DROP_PHY,5,12,699538267263,1694
veh12,19466,,10.2416,0,CAM_DROP_PHY,3,12,19466,1713
veh12,699538267328,,10.2746,0,CPM_DROP_PHY,9,12,699538267328,1754
veh12,19545,,10.2901,0,CAM_DROP_PHY,10,12,19545,1783
veh12,19562,,10.2986,1,CAM,2,12,19562,-1
veh12,19568,,10.3026,0,CAM_DROP_PHY,11,12,19568,1803
veh12,19659,,10.3116,0,CAM_DROP_PHY,5,12,19659,1825
veh12,699538267489,,10.3186,0,CPM_DROP_PHY,2,12,699538267489,1833
veh12,19686,,10.3303,1,CAM,4,12,19686,-1
veh12,699538267509,,10.3316,0,CPM_DROP_PHY,5,12,699538267509,1856
