time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0416,veh5,cam_drop_reaction,3,18915,1388,-1,-1,0,1,45
10.0491,veh5,drop_decision_no_action,7,699538266737,1389,-1,-1,-1,-1,-1
10.0536,veh5,drop_decision_no_action,12,699538266775,1409,-1,-1,-1,-1,-1
10.0546,veh5,drop_decision_no_action,9,18953,1406,-1,-1,-1,-1,-1
10.0746,veh5,drop_decision_no_action,9,699538266808,1426,-1,-1,-1,-1,-1
10.0891,veh5,drop_decision_no_action,8,699538266863,1465,-1,-1,-1,-1,-1
10.0901,veh5,drop_decision_no_action,10,19038,1455,-1,-1,-1,-1,-1
10.1303,veh5,drop_decision_no_action,4,19197,1528,-1,-1,-1,-1,-1
10.1416,veh5,drop_decision_no_action,3,699538267045,1557,-1,-1,-1,-1,-1
10.1491,veh5,drop_decision_no_action,7,699538267048,1558,-1,-1,-1,-1,-1
10.1491,veh5,drop_decision_no_action,7,19243,1558,-1,-1,-1,-1,-1
10.1546,veh5,drop_decision_no_action,9,19261,1588,-1,-1,-1,-1,-1
10.1638,veh5,drop_decision_no_action,6,19266,1592,-1,-1,-1,-1,-1
10.1746,veh5,drop_decision_no_action,9,699538267100,1614,-1,-1,-1,-1,-1
10.1986,veh5,drop_decision_no_action,2,19322,1656,-1,-1,-1,-1,-1
10.2416,veh5,drop_decision_no_action,3,19466,1713,-1,-1,-1,-1,-1
10.2416,veh5,drop_decision_no_action,3,699538267286,1713,-1,-1,-1,-1,-1
10.2491,veh5,drop_decision_no_action,7,699538267289,1716,-1,-1,-1,-1,-1
10.2703,veh5,drop_decision_no_action,4,699538267336,1760,-1,-1,-1,-1,-1
10.2986,veh5,drop_decision_no_action,2,19562,1805,-1,-1,-1,-1,-1
10.3026,veh5,drop_decision_no_action,11,699538267374,1803,-1,-1,-1,-1,-1
10.3026,veh5,drop_decision_no_action,11,19568,1803,-1,-1,-1,-1,-1
10.3101,veh5,drop_decision_no_action,10,699538267479,1826,-1,-1,-1,-1,-1
10.3303,veh5,drop_decision_no_action,4,19686,1850,-1,-1,-1,-1,-1
10.3446,veh5,drop_decision_no_action,7,699538267530,1879,-1,-1,-1,-1,-1
10.3491,veh5,drop_decision_no_action,8,19702,1872,-1,-1,-1,-1,-1
10.3536,veh5,drop_decision_no_action,12,699538267556,1908,-1,-1,-1,-1,-1
10.3638,veh5,drop_decision_no_action,6,19743,1909,-1,-1,-1,-1,-1
10.3986,veh5,drop_decision_no_action,2,19806,1970,-1,-1,-1,-1,-1
10.4026,veh5,drop_decision_no_action,11,19812,1974,-1,-1,-1,-1,-1
10.4101,veh5,drop_decision_no_action,10,699538267721,1987,-1,-1,-1,-1,-1
10.4136,veh5,drop_decision_no_action,12,19897,1975,-1,-1,-1,-1,-1
10.4746,veh5,drop_decision_no_action,9,699538267815,2075,-1,-1,-1,-1,-1
10.4901,veh5,drop_decision_no_action,10,20031,2104,-1,-1,-1,-1,-1
10.4986,veh5,drop_decision_no_action,2,20047,2125,-1,-1,-1,-1,-1
10.5303,veh5,drop_decision_no_action,4,20163,2167,-1,-1,-1,-1,-1
10.5491,veh5,drop_decision_no_action,8,20178,2184,-1,-1,-1,-1,-1
10.5546,veh5,drop_decision_no_action,9,20222,2223,-1,-1,-1,-1,-1
10.5638,veh5,drop_decision_no_action,6,699538268059,2227,-1,-1,-1,-1,-1
10.5746,veh5,drop_decision_no_action,9,699538268062,2249,-1,-1,-1,-1,-1
10.5891,veh5,drop_decision_no_action,8,699538268096,2284,-1,-1,-1,-1,-1
10.5986,veh5,drop_decision_no_action,2,20293,2295,-1,-1,-1,-1,-1
10.6026,veh5,drop_decision_no_action,11,20299,2293,-1,-1,-1,-1,-1
10.6136,veh5,drop_decision_no_action,12,20383,2302,-1,-1,-1,-1,-1
10.6491,veh5,drop_decision_no_action,7,699538268251,2367,-1,-1,-1,-1,-1
10.6638,veh5,drop_decision_no_action,6,699538268291,2404,-1,-1,-1,-1,-1
10.6746,veh5,drop_decision_no_action,9,699538268294,2405,-1,-1,-1,-1,-1
10.6901,veh5,drop_decision_no_action,10,20513,2435,-1,-1,-1,-1,-1
10.7186,veh5,drop_decision_no_action,2,699538268458,2484,-1,-1,-1,-1,-1
10.7416,veh5,drop_decision_no_action,3,699538268495,2538,-1,-1,-1,-1,-1
10.7491,veh5,drop_decision_no_action,8,20670,2530,-1,-1,-1,-1,-1
10.7546,veh5,drop_decision_no_action,9,20701,2561,-1,-1,-1,-1,-1
10.7548,veh5,drop_decision_no_action,7,699538268498,2539,-1,-1,-1,-1,-1
10.7638,veh5,drop_decision_no_action,6,20708,2565,-1,-1,-1,-1,-1
10.7746,veh5,drop_decision_no_action,9,699538268545,2590,-1,-1,-1,-1,-1
10.8026,veh5,drop_decision_no_action,11,699538268589,2642,-1,-1,-1,-1,-1
10.8026,veh5,drop_decision_no_action,11,20783,2642,-1,-1,-1,-1,-1
10.8101,veh5,drop_decision_no_action,10,699538268692,2661,-1,-1,-1,-1,-1
10.8136,veh5,drop_decision_no_action,12,20866,2650,-1,-1,-1,-1,-1
10.8186,veh5,drop_decision_no_action,2,699538268700,2668,-1,-1,-1,-1,-1
10.8416,veh5,drop_decision_no_action,3,20914,2709,-1,-1,-1,-1,-1
10.8616,veh5,drop_decision_no_action,3,699538268734,2709,-1,-1,-1,-1,-1
10.8703,veh5,drop_decision_no_action,4,699538268784,2753,-1,-1,-1,-1,-1
10.8746,veh5,drop_decision_no_action,9,699538268776,2746,-1,-1,-1,-1,-1
10.8901,veh5,drop_decision_no_action,10,20990,2780,-1,-1,-1,-1,-1
10.8986,veh5,drop_decision_no_action,2,21005,2801,-1,-1,-1,-1,-1
10.8996,veh5,drop_decision_no_action,11,21011,2805,-1,-1,-1,-1,-1
10.9136,veh5,drop_decision_no_action,12,21098,2811,-1,-1,-1,-1,-1
10.9491,veh5,drop_decision_no_action,8,21148,2872,-1,-1,-1,-1,-1
10.9546,veh5,drop_decision_no_action,9,21178,2901,-1,-1,-1,-1,-1
10.9638,veh5,drop_decision_no_action,6,699538269020,2905,-1,-1,-1,-1,-1
10.9746,veh5,drop_decision_no_action,9,699538269023,2928,-1,-1,-1,-1,-1
10.9996,veh5,drop_decision_no_action,11,21261,2986,-1,-1,-1,-1,-1
11.0461,veh5,drop_decision_no_action,3,699538269211,3043,-1,-1,-1,-1,-1
11.0548,veh5,drop_decision_no_action,7,699538269214,3044,-1,-1,-1,-1,-1
11.0703,veh5,drop_decision_no_action,4,699538269260,3085,-1,-1,-1,-1,-1
11.0746,veh5,drop_decision_no_action,9,699538269251,3074,-1,-1,-1,-1,-1
11.0901,veh5,drop_decision_no_action,10,21468,3108,-1,-1,-1,-1,-1
11.1491,veh5,drop_decision_no_action,8,21628,3185,-1,-1,-1,-1,-1
11.1546,veh5,drop_decision_no_action,9,21671,3219,-1,-1,-1,-1,-1
11.1548,veh5,drop_decision_no_action,7,21647,3194,-1,-1,-1,-1,-1
11.1638,veh5,drop_decision_no_action,6,21677,3225,-1,-1,-1,-1,-1
11.1986,veh5,drop_decision_no_action,2,21729,3287,-1,-1,-1,-1,-1
11.2128,veh5,drop_decision_no_action,12,21827,3296,-1,-1,-1,-1,-1
11.2538,veh5,drop_decision_no_action,7,699538269682,3341,-1,-1,-1,-1,-1
11.2638,veh5,drop_decision_no_action,6,699538269712,3369,-1,-1,-1,-1,-1
11.2876,veh5,drop_decision_no_action,10,21927,3392,-1,-1,-1,-1,-1
11.2996,veh5,drop_decision_no_action,11,699538269756,3408,-1,-1,-1,-1,-1
11.3546,veh5,drop_decision_no_action,9,22099,3481,-1,-1,-1,-1,-1
11.3996,veh5,drop_decision_no_action,11,699538269976,3553,-1,-1,-1,-1,-1
11.3996,veh5,drop_decision_no_action,11,22166,3553,-1,-1,-1,-1,-1
11.4293,veh5,drop_decision_no_action,2,699538270085,3573,-1,-1,-1,-1,-1
11.4461,veh5,drop_decision_no_action,3,699538270120,3602,-1,-1,-1,-1,-1
11.4528,veh5,drop_decision_no_action,12,699538270146,3629,-1,-1,-1,-1,-1
11.4538,veh5,drop_decision_no_action,7,699538270123,3606,-1,-1,-1,-1,-1
11.4538,veh5,drop_decision_no_action,7,22314,3606,-1,-1,-1,-1,-1
11.4766,veh5,drop_decision_no_action,6,699538270162,3647,-1,-1,-1,-1,-1
11.5093,veh5,drop_decision_no_action,2,22397,3701,-1,-1,-1,-1,-1
11.5293,veh5,drop_decision_no_action,2,699538270315,3718,-1,-1,-1,-1,-1
11.5446,veh5,cam_drop_reaction,8,22537,3754,-1,-1,1,1,15
11.5566,veh5,drop_decision_no_action,6,22567,3790,-1,-1,-1,-1,-1
11.5688,veh5,drop_decision_no_action,9,22562,3789,-1,-1,-1,-1,-1
11.5766,veh5,drop_decision_no_action,6,699538270392,3800,-1,-1,-1,-1,-1
11.6388,veh5,drop_decision_no_action,3,699538270577,3900,-1,-1,-1,-1,-1
11.6538,veh5,drop_decision_no_action,7,699538270580,3902,-1,-1,-1,-1,-1
11.6876,veh5,drop_decision_no_action,10,22814,3950,-1,-1,-1,-1,-1
11.7233,veh5,drop_decision_no_action,4,22946,3992,-1,-1,-1,-1,-1
11.7276,veh5,drop_decision_no_action,10,699538270752,3979,-1,-1,-1,-1,-1
11.7388,veh5,drop_decision_no_action,3,22979,4021,-1,-1,-1,-1,-1
11.7446,veh5,drop_decision_no_action,8,22974,4013,-1,-1,-1,-1,-1
11.7538,veh5,drop_decision_no_action,7,23000,4035,-1,-1,-1,-1,-1
11.7688,veh5,drop_decision_no_action,9,23012,4054,-1,-1,-1,-1,-1
11.7833,veh5,drop_decision_no_action,4,699538270848,4078,-1,-1,-1,-1,-1
11.8331,veh5,drop_decision_no_action,10,699538270989,4141,-1,-1,-1,-1,-1
11.8538,veh5,drop_decision_no_action,7,699538271032,4181,-1,-1,-1,-1,-1
11.8766,veh5,drop_decision_no_action,6,699538271067,4219,-1,-1,-1,-1,-1
11.9233,veh5,drop_decision_no_action,4,23417,4283,-1,-1,-1,-1,-1
11.9538,veh5,drop_decision_no_action,7,699538271261,4314,-1,-1,-1,-1,-1
11.9566,veh5,drop_decision_no_action,6,23475,4340,-1,-1,-1,-1,-1
11.9688,veh5,drop_decision_no_action,9,23469,4335,-1,-1,-1,-1,-1
11.9766,veh5,drop_decision_no_action,6,699538271307,4362,-1,-1,-1,-1,-1
11.9931,veh5,drop_decision_no_action,10,23521,4393,-1,-1,-1,-1,-1
12.0131,veh5,drop_decision_no_action,10,699538271465,4433,-1,-1,-1,-1,-1
12.0268,veh5,drop_decision_no_action,2,699538271469,4435,-1,-1,-1,-1,-1
12.0388,veh5,drop_decision_no_action,3,23684,4466,-1,-1,-1,-1,-1
12.0538,veh5,drop_decision_no_action,7,23705,4468,-1,-1,-1,-1,-1
12.0931,veh5,drop_decision_no_action,10,23753,4527,-1,-1,-1,-1,-1
12.0996,veh5,drop_decision_no_action,11,23770,4542,-1,-1,-1,-1,-1
12.1131,veh5,drop_decision_no_action,10,699538271694,4561,-1,-1,-1,-1,-1
12.1233,veh5,drop_decision_no_action,4,23894,4585,-1,-1,-1,-1,-1
12.1268,veh5,drop_decision_no_action,2,699538271699,4564,-1,-1,-1,-1,-1
12.1538,veh5,drop_decision_no_action,7,699538271740,4619,-1,-1,-1,-1,-1
12.1688,veh5,drop_decision_no_action,9,23952,4648,-1,-1,-1,-1,-1
12.1833,veh5,drop_decision_no_action,4,699538271791,4676,-1,-1,-1,-1,-1
12.1931,veh5,drop_decision_no_action,10,23997,4697,-1,-1,-1,-1,-1
12.2131,veh5,drop_decision_no_action,10,699538271933,4733,-1,-1,-1,-1,-1
12.2538,veh5,drop_decision_no_action,7,699538271963,4759,-1,-1,-1,-1,-1
12.2931,veh5,drop_decision_no_action,10,24208,4807,-1,-1,-1,-1,-1
12.3128,veh5,drop_decision_no_action,11,699538272040,4825,-1,-1,-1,-1,-1
12.3566,veh5,drop_decision_no_action,6,24409,4916,-1,-1,-1,-1,-1
12.3688,veh5,drop_decision_no_action,9,24404,4911,-1,-1,-1,-1,-1
12.4116,veh5,drop_decision_no_action,12,24561,4991,-1,-1,-1,-1,-1
12.4131,veh5,drop_decision_no_action,10,699538272384,4996,-1,-1,-1,-1,-1
12.4268,veh5,drop_decision_no_action,2,699538272388,4998,-1,-1,-1,-1,-1
12.4388,veh5,drop_decision_no_action,3,24599,5032,-1,-1,-1,-1,-1
12.4388,veh5,drop_decision_no_action,3,699538272420,5032,-1,-1,-1,-1,-1
12.4688,veh5,drop_decision_no_action,9,699538272470,5074,-1,-1,-1,-1,-1
12.4766,veh5,drop_decision_no_action,6,699538272467,5073,-1,-1,-1,-1,-1
12.4931,veh5,drop_decision_no_action,10,24681,5103,-1,-1,-1,-1,-1
12.5068,veh5,drop_decision_no_action,2,24700,5129,-1,-1,-1,-1,-1
12.5116,veh5,drop_decision_no_action,12,24798,5137,-1,-1,-1,-1,-1
12.5131,veh5,drop_decision_no_action,10,699538272625,5144,-1,-1,-1,-1,-1
12.5268,veh5,drop_decision_no_action,2,699538272629,5146,-1,-1,-1,-1,-1
12.5371,veh5,drop_decision_no_action,4,24825,5171,-1,-1,-1,-1,-1
12.5523,veh5,drop_decision_no_action,7,699538272670,5194,-1,-1,-1,-1,-1
12.5566,veh5,drop_decision_no_action,6,24890,5237,-1,-1,-1,-1,-1
12.5836,veh5,drop_decision_no_action,10,24923,5276,-1,-1,-1,-1,-1
12.6116,veh5,drop_decision_no_action,12,25045,5301,-1,-1,-1,-1,-1
12.6128,veh5,drop_decision_no_action,11,24941,5296,-1,-1,-1,-1,-1
12.6236,veh5,drop_decision_no_action,10,699538272867,5306,-1,-1,-1,-1,-1
12.6388,veh5,drop_decision_no_action,3,699538272905,5352,-1,-1,-1,-1,-1
12.6523,veh5,drop_decision_no_action,7,699538272908,5353,-1,-1,-1,-1,-1
12.6523,veh5,drop_decision_no_action,7,25112,5353,-1,-1,-1,-1,-1
12.6688,veh5,drop_decision_no_action,9,699538272955,5392,-1,-1,-1,-1,-1
12.6836,veh5,drop_decision_no_action,10,25166,5419,-1,-1,-1,-1,-1
12.7008,veh5,drop_decision_no_action,8,699538272746,5282,-1,-1,-1,-1,-1
12.7116,veh5,drop_decision_no_action,12,25282,5440,-1,-1,-1,-1,-1
12.7513,veh5,drop_decision_no_action,9,25369,5524,-1,-1,-1,-1,-1
12.7691,veh5,drop_decision_no_action,6,25375,5535,-1,-1,-1,-1,-1
12.7771,veh5,drop_decision_no_action,4,699538273213,5557,-1,-1,-1,-1,-1
12.7836,veh5,drop_decision_no_action,10,25420,5575,-1,-1,-1,-1,-1
12.8128,veh5,drop_decision_no_action,11,699538273249,5595,-1,-1,-1,-1,-1
12.8388,veh5,drop_decision_no_action,3,25576,5647,-1,-1,-1,-1,-1
12.8466,veh5,drop_decision_no_action,7,699538273399,5650,-1,-1,-1,-1,-1
12.8588,veh5,drop_decision_no_action,3,699538273397,5647,-1,-1,-1,-1,-1
12.9116,veh5,drop_decision_no_action,12,25767,5727,-1,-1,-1,-1,-1
12.9371,veh5,drop_decision_no_action,4,25790,5750,-1,-1,-1,-1,-1
12.9466,veh5,drop_decision_no_action,7,699538273641,5778,-1,-1,-1,-1,-1
12.9666,veh5,drop_decision_no_action,7,25843,5778,-1,-1,-1,-1,-1
12.9691,veh5,drop_decision_no_action,6,25870,5822,-1,-1,-1,-1,-1
12.9691,veh5,drop_decision_no_action,6,699538273696,5822,-1,-1,-1,-1,-1
12.9771,veh5,drop_decision_no_action,4,699538273705,5850,-1,-1,-1,-1,-1
12.9836,veh5,drop_decision_no_action,10,25918,5884,-1,-1,-1,-1,-1
13.0116,veh5,drop_decision_no_action,12,26045,5912,-1,-1,-1,-1,-1
13.0466,veh5,cpm_reaction,7,699538273911,18446744073709551615,8.50207,-1,1,1,15
13.0691,veh5,drop_decision_no_action,6,699538273951,5996,-1,-1,-1,-1,-1
13.0771,veh5,drop_decision_no_action,4,699538273962,6004,-1,-1,-1,-1,-1
13.1091,veh5,drop_decision_no_action,11,26189,6046,-1,-1,-1,-1,-1
13.1116,veh5,drop_decision_no_action,12,26292,6050,-1,-1,-1,-1,-1
13.1371,veh5,drop_decision_no_action,4,26315,6084,-1,-1,-1,-1,-1
13.1508,veh5,drop_decision_no_action,3,699538274155,6107,-1,-1,-1,-1,-1
13.1513,veh5,drop_decision_no_action,9,26364,6139,-1,-1,-1,-1,-1
13.1691,veh5,drop_decision_no_action,6,26372,6147,-1,-1,-1,-1,-1
13.1691,veh5,drop_decision_no_action,6,699538274198,6147,-1,-1,-1,-1,-1
13.1858,veh5,drop_decision_no_action,10,26413,6189,-1,-1,-1,-1,-1
13.1998,veh5,drop_decision_no_action,8,699538274237,6200,-1,-1,-1,-1,-1
13.2466,veh5,drop_decision_no_action,7,699538274400,6265,-1,-1,-1,-1,-1
13.2508,veh5,drop_decision_no_action,3,26577,6262,-1,-1,-1,-1,-1
13.2713,veh5,drop_decision_no_action,9,699538274440,6304,-1,-1,-1,-1,-1
13.2941,veh5,drop_decision_no_action,10,26657,6335,-1,-1,-1,-1,-1
13.3116,veh5,drop_decision_no_action,12,26781,6359,-1,-1,-1,-1,-1
13.3256,veh5,drop_decision_no_action,2,699538274614,6370,-1,-1,-1,-1,-1
13.3258,veh5,drop_decision_no_action,10,699538274606,6363,-1,-1,-1,-1,-1
13.3398,veh5,drop_decision_no_action,8,26833,6402,-1,-1,-1,-1,-1
13.3466,veh5,drop_decision_no_action,7,699538274658,6409,-1,-1,-1,-1,-1
13.3691,veh5,drop_decision_no_action,6,699538274704,6444,-1,-1,-1,-1,-1
13.4091,veh5,drop_decision_no_action,11,26947,6526,-1,-1,-1,-1,-1
13.4256,veh5,drop_decision_no_action,2,699538274890,6545,-1,-1,-1,-1,-1
13.4371,veh5,drop_decision_no_action,4,27083,6565,-1,-1,-1,-1,-1
13.4691,veh5,drop_decision_no_action,6,699538274965,6636,-1,-1,-1,-1,-1
13.4998,veh5,drop_decision_no_action,8,699538274994,6662,-1,-1,-1,-1,-1
13.5023,veh5,drop_decision_no_action,12,27298,6673,-1,-1,-1,-1,-1
13.5258,veh5,drop_decision_no_action,10,699538275123,6684,-1,-1,-1,-1,-1
13.5398,veh5,drop_decision_no_action,8,27339,6714,-1,-1,-1,-1,-1
13.5466,veh5,drop_decision_no_action,7,27363,6720,-1,-1,-1,-1,-1
13.5613,veh5,drop_decision_no_action,9,27380,6749,-1,-1,-1,-1,-1
13.5858,veh5,drop_decision_no_action,10,27415,6785,-1,-1,-1,-1,-1
13.6023,veh5,drop_decision_no_action,12,27542,6807,-1,-1,-1,-1,-1
13.6258,veh5,drop_decision_no_action,10,699538275367,6817,-1,-1,-1,-1,-1
13.6491,veh5,drop_decision_no_action,7,699538275403,6851,-1,-1,-1,-1,-1
13.6533,veh5,drop_decision_no_action,3,27581,6848,-1,-1,-1,-1,-1
13.6691,veh5,drop_decision_no_action,6,27617,6871,-1,-1,-1,-1,-1
13.7023,veh5,drop_decision_no_action,12,27800,6928,-1,-1,-1,-1,-1
13.7076,veh5,drop_decision_no_action,11,699538275489,6923,-1,-1,-1,-1,-1
13.7223,veh5,drop_decision_no_action,2,699538275636,6945,-1,-1,-1,-1,-1
13.7371,veh5,drop_decision_no_action,4,27828,6957,-1,-1,-1,-1,-1
13.7398,veh5,drop_decision_no_action,8,27857,6978,-1,-1,-1,-1,-1
13.7613,veh5,drop_decision_no_action,9,27891,7017,-1,-1,-1,-1,-1
13.7691,veh5,drop_decision_no_action,6,699538275724,7037,-1,-1,-1,-1,-1
13.7771,veh5,drop_decision_no_action,4,699538275734,7051,-1,-1,-1,-1,-1
13.8023,veh5,drop_decision_no_action,2,27963,7108,-1,-1,-1,-1,-1
13.8076,veh5,drop_decision_no_action,11,27968,7109,-1,-1,-1,-1,-1
13.8491,veh5,drop_decision_no_action,7,699538275959,7170,-1,-1,-1,-1,-1
13.8533,veh5,drop_decision_no_action,3,699538275956,7169,-1,-1,-1,-1,-1
13.8623,veh5,drop_decision_no_action,12,699538275990,7191,-1,-1,-1,-1,-1
13.9398,veh5,drop_decision_no_action,8,28415,7280,-1,-1,-1,-1,-1
14.0023,veh5,drop_decision_no_action,12,28631,7358,-1,-1,-1,-1,-1
14.0223,veh5,drop_decision_no_action,2,699538276463,7373,-1,-1,-1,-1,-1
14.0258,veh5,drop_decision_no_action,10,699538276458,7370,-1,-1,-1,-1,-1
14.0331,veh5,drop_decision_no_action,4,28654,7381,-1,-1,-1,-1,-1
14.1076,veh5,drop_decision_no_action,11,699538276570,7475,-1,-1,-1,-1,-1
14.1223,veh5,drop_decision_no_action,2,699538276729,7489,-1,-1,-1,-1,-1
14.1533,veh5,drop_decision_no_action,3,699538276762,7523,-1,-1,-1,-1,-1
14.1731,veh5,drop_decision_no_action,4,699538276813,7569,-1,-1,-1,-1,-1
14.2023,veh5,drop_decision_no_action,2,29039,7620,-1,-1,-1,-1,-1
14.2223,veh5,drop_decision_no_action,2,699538277012,7641,-1,-1,-1,-1,-1
