time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.01008,veh11,cpm_reaction,10,699537963720,18446744073709551615,0.96755,-1,1,1,8
2.02333,veh11,drop_decision_no_action,4,43627,145,-1,-1,-1,-1,-1
2.04283,veh11,drop_decision_no_action,3,699537963791,167,-1,-1,-1,-1,-1
2.04458,veh11,drop_decision_no_action,7,699537963795,168,-1,-1,-1,-1,-1
2.06358,veh11,drop_decision_no_action,9,43704,190,-1,-1,-1,-1,-1
2.07458,veh11,drop_decision_no_action,6,699537963864,211,-1,-1,-1,-1,-1
2.09008,veh11,drop_decision_no_action,10,43752,229,-1,-1,-1,-1,-1
2.11233,veh11,drop_decision_no_action,2,43779,255,-1,-1,-1,-1,-1
2.11608,veh11,drop_decision_no_action,5,43854,268,-1,-1,-1,-1,-1
2.13608,veh11,drop_decision_no_action,5,699537964018,293,-1,-1,-1,-1,-1
2.14283,veh11,drop_decision_no_action,3,43895,306,-1,-1,-1,-1,-1
2.14458,veh11,drop_decision_no_action,7,699537964037,310,-1,-1,-1,-1,-1
2.15458,veh11,drop_decision_no_action,6,43941,337,-1,-1,-1,-1,-1
2.16458,veh11,drop_decision_no_action,7,43917,310,-1,-1,-1,-1,-1
2.24283,veh11,drop_decision_no_action,3,699537964228,425,-1,-1,-1,-1,-1
2.25458,veh11,drop_decision_no_action,9,44120,449,-1,-1,-1,-1,-1
2.31233,veh11,drop_decision_no_action,2,44174,504,-1,-1,-1,-1,-1
2.32458,veh11,drop_decision_no_action,5,44249,512,-1,-1,-1,-1,-1
2.34283,veh11,drop_decision_no_action,3,44286,549,-1,-1,-1,-1,-1
2.34458,veh11,drop_decision_no_action,7,44302,552,-1,-1,-1,-1,-1
2.34908,veh11,drop_decision_no_action,8,44282,547,-1,-1,-1,-1,-1
2.35458,veh11,drop_decision_no_action,6,44318,579,-1,-1,-1,-1,-1
2.37458,veh11,drop_decision_no_action,6,699537964464,596,-1,-1,-1,-1,-1
2.42333,veh11,drop_decision_no_action,4,44455,657,-1,-1,-1,-1,-1
2.51008,veh11,drop_decision_no_action,10,699537964795,776,-1,-1,-1,-1,-1
2.51608,veh11,drop_decision_no_action,5,44656,775,-1,-1,-1,-1,-1
2.54458,veh11,drop_decision_no_action,7,699537964837,822,-1,-1,-1,-1,-1
2.54908,veh11,drop_decision_no_action,8,44691,816,-1,-1,-1,-1,-1
2.55458,veh11,drop_decision_no_action,6,44741,852,-1,-1,-1,-1,-1
2.56358,veh11,drop_decision_no_action,9,44736,850,-1,-1,-1,-1,-1
2.57458,veh11,drop_decision_no_action,6,699537964889,874,-1,-1,-1,-1,-1
2.58908,veh11,drop_decision_no_action,8,699537964923,906,-1,-1,-1,-1,-1
2.62333,veh11,drop_decision_no_action,4,44901,954,-1,-1,-1,-1,-1
2.63608,veh11,drop_decision_no_action,5,699537965042,956,-1,-1,-1,-1,-1
2.64458,veh11,drop_decision_no_action,7,699537965062,982,-1,-1,-1,-1,-1
2.64733,veh11,drop_decision_no_action,3,44918,977,-1,-1,-1,-1,-1
2.64733,veh11,drop_decision_no_action,3,699537965059,977,-1,-1,-1,-1,-1
2.66733,veh11,drop_decision_no_action,6,699537965098,1018,-1,-1,-1,-1,-1
2.67633,veh11,drop_decision_no_action,4,699537965102,1021,-1,-1,-1,-1,-1
2.69008,veh11,drop_decision_no_action,10,44991,1038,-1,-1,-1,-1,-1
2.74908,veh11,drop_decision_no_action,8,45131,1113,-1,-1,-1,-1,-1
2.75458,veh11,drop_decision_no_action,9,45174,1142,-1,-1,-1,-1,-1
2.77633,veh11,drop_decision_no_action,4,699537965334,1172,-1,-1,-1,-1,-1
2.81608,veh11,drop_decision_no_action,5,45332,1243,-1,-1,-1,-1,-1
2.84733,veh11,drop_decision_no_action,3,45365,1284,-1,-1,-1,-1,-1
2.85483,veh11,drop_decision_no_action,7,699537965508,1288,-1,-1,-1,-1,-1
2.88908,veh11,drop_decision_no_action,8,699537965584,1352,-1,-1,-1,-1,-1
2.89008,veh11,drop_decision_no_action,10,45442,1347,-1,-1,-1,-1,-1
2.94733,veh11,drop_decision_no_action,3,45572,1412,-1,-1,-1,-1,-1
2.94908,veh11,drop_decision_no_action,8,45568,1411,-1,-1,-1,-1,-1
2.95458,veh11,drop_decision_no_action,9,45611,1439,-1,-1,-1,-1,-1
2.95483,veh11,drop_decision_no_action,7,699537965714,1416,-1,-1,-1,-1,-1
2.95483,veh11,drop_decision_no_action,7,45595,1416,-1,-1,-1,-1,-1
2.96733,veh11,drop_decision_no_action,6,45615,1441,-1,-1,-1,-1,-1
2.96733,veh11,drop_decision_no_action,6,699537965765,1441,-1,-1,-1,-1,-1
2.97633,veh11,drop_decision_no_action,4,699537965771,1468,-1,-1,-1,-1,-1
3.02308,veh11,drop_decision_no_action,2,699537965905,1531,-1,-1,-1,-1,-1
3.03633,veh11,drop_decision_no_action,4,45777,1547,-1,-1,-1,-1,-1
3.04733,veh11,drop_decision_no_action,3,45798,1571,-1,-1,-1,-1,-1
3.07633,veh11,drop_decision_no_action,4,699537965989,1622,-1,-1,-1,-1,-1
3.09008,veh11,drop_decision_no_action,10,45876,1645,-1,-1,-1,-1,-1
3.10308,veh11,drop_decision_no_action,2,45899,1673,-1,-1,-1,-1,-1
3.15458,veh11,drop_decision_no_action,9,46059,1752,-1,-1,-1,-1,-1
3.15483,veh11,drop_decision_no_action,7,699537966162,1729,-1,-1,-1,-1,-1
3.16733,veh11,drop_decision_no_action,6,46063,1754,-1,-1,-1,-1,-1
3.17483,veh11,drop_decision_no_action,7,46041,1729,-1,-1,-1,-1,-1
3.19008,veh11,drop_decision_no_action,10,46100,1800,-1,-1,-1,-1,-1
3.22758,veh11,drop_decision_no_action,10,699537966342,1837,-1,-1,-1,-1,-1
3.23633,veh11,drop_decision_no_action,4,46216,1850,-1,-1,-1,-1,-1
3.24733,veh11,drop_decision_no_action,3,699537966382,1870,-1,-1,-1,-1,-1
3.30308,veh11,drop_decision_no_action,2,46327,1959,-1,-1,-1,-1,-1
3.32833,veh11,drop_decision_no_action,5,699537966568,1993,-1,-1,-1,-1,-1
3.34908,veh11,drop_decision_no_action,8,46446,2004,-1,-1,-1,-1,-1
3.35383,veh11,drop_decision_no_action,7,46459,2017,-1,-1,-1,-1,-1
3.36733,veh11,drop_decision_no_action,6,46479,2035,-1,-1,-1,-1,-1
3.37008,veh11,drop_decision_no_action,4,699537966634,2064,-1,-1,-1,-1,-1
3.38758,veh11,drop_decision_no_action,10,46527,2090,-1,-1,-1,-1,-1
3.43008,veh11,drop_decision_no_action,4,46636,2135,-1,-1,-1,-1,-1
3.44733,veh11,drop_decision_no_action,3,46656,2151,-1,-1,-1,-1,-1
3.45383,veh11,drop_decision_no_action,7,46671,2157,-1,-1,-1,-1,-1
3.47883,veh11,drop_decision_no_action,4,699537966847,2197,-1,-1,-1,-1,-1
3.50308,veh11,drop_decision_no_action,2,46752,2241,-1,-1,-1,-1,-1
3.50833,veh11,drop_decision_no_action,5,46839,2253,-1,-1,-1,-1,-1
