vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh11,43580,,2.01608,1,CAM,5,11,43580,-1
veh11,43627,,2.02333,0,CAM_DROP_PHY,4,11,43627,145
veh11,699537963791,,2.04283,0,CPM_DROP_PHY,3,11,699537963791,167
veh11,699537963795,,2.04458,0,CPM_DROP_PHY,7,11,699537963795,168
veh11,43710,,2.05458,1,CAM,6,11,43710,-1
veh11,43704,,2.06358,0,CAM_DROP_PHY,9,11,43704,190
veh11,699537963864,,2.07458,0,CPM_DROP_PHY,6,11,699537963864,211
veh11,43752,,2.09008,0,CAM_DROP_PHY,10,11,43752,229
veh11,43779,,2.11233,0,CAM_DROP_PHY,2,11,43779,255
veh11,43854,,2.11608,0,CAM_DROP_PHY,5,11,43854,268
veh11,699537964018,,2.13608,0,CPM_DROP_PHY,5,11,699537964018,293
veh11,43895,,2.14283,0,CAM_DROP_PHY,3,11,43895,306
veh11,699537964037,,2.14458,0,CPM_DROP_PHY,7,11,699537964037,310
veh11,43891,,2.14908,1,CAM,8,11,43891,-1
veh11,43941,,2.15458,0,CAM_DROP_PHY,6,11,43941,337
veh11,43917,,2.16458,0,CAM_DROP_PHY,7,11,43917,310
veh11,44075,,2.22333,1,CAM,4,11,44075,-1
veh11,699537964228,,2.24283,0,CPM_DROP_PHY,3,11,699537964228,425
veh11,44120,,2.25458,0,CAM_DROP_PHY,9,11,44120,449
veh11,44153,,2.29008,1,CAM,10,11,44153,-1
veh11,44174,,2.31233,0,CAM_DROP_PHY,2,11,44174,504
veh11,44249,,2.32458,0,CAM_DROP_PHY,5,11,44249,512
veh11,44286,,2.34283,0,CAM_DROP_PHY,3,11,44286,549
veh11,44302,,2.34458,0,CAM_DROP_PHY,7,11,44302,552
veh11,44282,,2.34908,0,CAM_DROP_PHY,8,11,44282,547
veh11,44318,,2.35458,0,CAM_DROP_PHY,6,11,44318,579
veh11,699537964464,,2.37458,0,CPM_DROP_PHY,6,11,699537964464,596
veh11,44455,,2.42333,0,CAM_DROP_PHY,4,11,44455,657
veh11,44509,,2.45458,1,CAM,9,11,44509,-1
