time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.06658,veh5,cpm_reaction,4,2057,18446744073709551615,7.01947,-1,0,0,5.555
2.56658,veh5,cpm_reaction,4,2557,18446744073709551615,10.0729,-1,0,0,5.555
8.95908,veh5,cam_reaction,2,8941,18446744073709551615,73.6636,33.6,0,0,5.555
9.55458,veh5,cam_reaction,2,9541,18446744073709551615,62.2649,11.7,0,0,5.555
10.0546,veh5,cam_reaction,2,10041,18446744073709551615,56.9214,0,0,0,5.555
10.7501,veh5,cam_reaction,2,10741,18446744073709551615,49.7302,0,0,0,5.555
11.3498,veh5,cam_reaction,2,11341,18446744073709551615,42.3473,0,0,0,5.555
11.9498,veh5,cam_reaction,2,11941,18446744073709551615,34.3999,0,0,0,5.555
12.5446,veh5,cam_reaction,2,12541,18446744073709551615,27.2477,0,0,0,5.555
13.1446,veh5,cam_reaction,2,13141,18446744073709551615,20.9127,0,0,0,5.555
13.7521,veh5,cam_reaction,2,13741,18446744073709551615,15.344,0,0,0,5.555
14.3521,veh5,cam_reaction,2,14341,18446744073709551615,10.3872,0,0,0,5.555
14.9493,veh5,cam_reaction,2,14941,18446744073709551615,6.08783,0,0,0,5.555
15.5493,veh5,cam_reaction,2,15541,18446744073709551615,3.20174,0,0,0,5.555
16.1446,veh5,cam_reaction,2,16141,18446744073709551615,4.58694,0,0,0,5.555
16.7446,veh5,cam_reaction,2,16741,18446744073709551615,9.63353,0,0,0,5.555
17.3608,veh5,cam_reaction,2,17341,18446744073709551615,16.0596,0,0,0,5.555
17.9608,veh5,cam_reaction,2,17941,18446744073709551615,23.7124,0,0,0,5.555
18.5596,veh5,cam_reaction,2,18541,18446744073709551615,32.4582,0,0,0,5.555
19.1526,veh5,cam_reaction,2,19141,18446744073709551615,41.4298,0,0,0,5.555
19.7526,veh5,cam_reaction,2,19741,18446744073709551615,50.4203,0,0,0,5.555
20.3506,veh5,cam_reaction,2,20341,18446744073709551615,59.4162,0,0,0,5.555
20.9598,veh5,cam_reaction,2,20941,18446744073709551615,68.4162,0,0,0,5.555
