vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh8,2006,,2.00858,1,CAM,1,8,2006,-1
veh8,2023,,2.02758,1,CAM,3,8,2023,-1
veh8,2041,,2.05383,1,CAM,2,8,2041,-1
veh8,2134,,2.14658,1,CAM,4,8,2134,-1
veh8,2136,,2.15408,1,CAM,6,8,2136,-1
veh8,2171,,2.18233,1,CAM,5,8,2171,-1
veh8,2191,,2.19358,1,CAM,9,8,2191,-1
veh8,2206,,2.20858,1,CAM,1,8,2206,-1
veh8,2223,,2.22758,1,CAM,3,8,2223,-1
veh8,2238,,2.24258,1,CAM,10,8,2238,-1
veh8,2234,,2.24658,1,CAM,4,8,2234,-1
veh8,2241,,2.25383,1,CAM,2,8,2241,-1
veh8,2236,,2.25408,1,CAM,6,8,2236,-1
veh8,2323,,2.33633,1,CAM,12,8,2323,-1
veh8,2334,,2.34658,1,CAM,4,8,2334,-1
veh8,2336,,2.35408,1,CAM,6,8,2336,-1
veh8,2371,,2.38233,1,CAM,5,8,2371,-1
veh8,2391,,2.39358,1,CAM,9,8,2391,-1
veh8,2406,,2.40858,1,CAM,1,8,2406,-1
veh8,2423,,2.42758,1,CAM,3,8,2423,-1
veh8,2438,,2.44258,1,CAM,10,8,2438,-1
veh8,2434,,2.44658,1,CAM,4,8,2434,-1
veh8,2441,,2.45383,1,CAM,2,8,2441,-1
veh8,2436,,2.45858,1,CAM,6,8,2436,-1
veh8,2512,2.51286,,0,CAM,8,,2512,-1
veh8,2523,,2.53633,1,CAM,12,8,2523,-1
veh8,2534,,2.54658,1,CAM,4,8,2534,-1
veh8,2536,,2.55408,1,CAM,6,8,2536,-1
veh8,2571,,2.58233,1,CAM,5,8,2571,-1
veh8,2591,,2.59358,1,CAM,9,8,2591,-1
veh8,2606,,2.60858,1,CAM,1,8,2606,-1
veh8,2623,,2.62758,1,CAM,3,8,2623,-1
veh8,2638,,2.64258,1,CAM,10,8,2638,-1
veh8,2634,,2.64658,1,CAM,4,8,2634,-1
veh8,2641,,2.65383,1,CAM,2,8,2641,-1
veh8,2712,2.71286,,0,CAM,8,,2712,-1
veh8,2771,,2.77508,1,CAM,5,8,2771,-1
