time_s,min_gap_m,min_ttc_s,vehicles
0.0,,,0
0.01,,,0
0.02,,,0
0.03,,,0
0.04,,,0
0.05,,,0
0.06,,,0
0.07,,,0
0.08,,,0
0.09,,,0
0.1,,,0
0.11,,,0
0.12,,,0
0.13,,,0
0.14,,,0
0.15,,,0
0.16,,,0
0.17,,,0
0.18,,,0
0.19,,,0
0.2,14.0,,7
0.21,14.0,,7
0.22,14.0,,7
0.23,14.0,,7
0.24,14.0,,7
0.25,14.000000000000002,,7
0.26,14.000000000000002,,7
0.27,14.000000000000002,,7
0.28,14.000000000000002,,7
0.29,14.0,,7
0.3,14.0,,7
0.31,14.0,,7
0.32,14.0,,7
0.33,14.0,,7
0.34,14.0,,7
0.35,14.0,,7
0.36,14.0,,7
0.37,14.0,,7
0.38,14.0,,7
0.39,13.999999999999998,,7
0.4,13.999999999999998,,7
0.41,14.0,,7
0.42,14.000000000000002,,7
0.43,14.0,,7
0.44,14.0,,7
0.45,14.0,,7
0.46,14.0,,7
0.47,13.999999999999998,,7
0.48,14.0,,7
0.49,14.000000000000002,,7
0.5,14.0,,7
0.51,14.0,,7
0.52,14.0,,7
0.53,14.0,,7
0.54,13.999999999999998,,7
0.55,14.0,,7
0.56,14.0,,7
0.57,14.0,,7
0.58,14.0,,7
0.59,14.0,,7
0.6,13.999999999999998,,7
0.61,14.0,,7
0.62,14.0,,7
0.63,14.0,,7
0.64,13.999999999999998,,7
0.65,14.0,,7
0.66,14.0,,7
0.67,14.0,,7
0.68,14.0,,7
0.69,13.999999999999998,,7
0.7,14.000000000000002,,7
0.71,14.0,,7
0.72,14.0,,7
0.73,14.0,,7
0.74,14.0,,7
0.75,14.0,,7
0.76,14.0,,7
0.77,14.0,,7
0.78,14.0,,7
0.79,14.0,,7
0.8,14.0,,8
0.81,14.000000000000002,,8
0.82,14.0,,8
0.83,14.0,,8
0.84,13.999999999999998,,8
0.85,14.0,,8
0.86,14.0,,8
0.87,14.0,,8
0.88,14.0,,8
0.89,14.0,,8
0.9,13.999999999999998,,8
0.91,14.0,,8
0.92,14.0,,8
0.93,13.999999999999998,,8
0.94,14.0,,8
0.95,14.0,,8
0.96,14.000000000000002,,8
0.97,5.2,,9
0.98,5.23,,9
0.99,5.26,,9
1.0,5.3,,9
1.01,5.33,,9
1.02,5.3500000000000005,,9
1.03,5.38,,9
1.04,5.42,,9
1.05,5.45,,9
1.06,5.48,,9
1.07,5.510000000000001,,9
1.08,5.54,,9
1.09,5.569999999999999,,9
1.1,5.6,,9
1.11,5.63,,9
1.12,5.66,,9
1.13,5.7,,9
1.14,5.73,,9
1.15,5.75,,9
1.16,5.78,,9
1.17,5.82,,9
1.18,5.8500000000000005,,9
1.19,5.880000000000001,,9
1.2,5.909999999999999,,9
1.21,5.9399999999999995,,9
1.22,5.97,,9
1.23,6.0,,9
1.24,6.029999999999999,,9
1.25,6.05,,9
1.26,6.08,,9
1.27,6.1,,9
1.28,6.13,,9
1.29,6.16,,9
1.3,6.180000000000001,,9
1.31,6.2,,9
1.32,6.23,,9
1.33,6.25,,9
1.34,6.27,,9
1.35,6.29,,9
1.36,6.32,,9
1.37,6.33,,9
1.38,6.36,,9
1.39,6.37,,9
1.4,6.39,,9
1.41,6.409999999999999,,9
1.42,6.43,,9
1.43,6.45,,9
1.44,6.46,,9
1.45,6.48,,9
1.46,6.49,,9
1.47,6.51,,9
1.48,6.52,,9
1.49,6.53,,9
1.5,6.55,,9
1.51,6.5600000000000005,,9
1.52,6.57,,9
1.53,6.58,,9
1.54,6.59,,9
1.55,6.61,,9
1.56,6.61,,9
1.57,6.619999999999999,,9
1.58,6.63,,9
1.59,6.64,,9
1.6,6.640000000000001,,9
1.61,6.65,,9
1.62,6.659999999999999,,9
1.63,6.67,,9
1.64,6.67,,9
1.65,6.67,,9
1.66,6.67,,9
1.67,6.68,,9
1.68,6.6899999999999995,,9
1.69,6.69,,9
1.7,6.6899999999999995,,9
1.71,6.6899999999999995,,9
1.72,6.69,,9
1.73,6.69,,9
1.74,6.6899999999999995,167.24999999999983,9
1.75,6.6899999999999995,66.89999999999993,9
1.76,6.69,44.599999999999895,9
1.77,6.680000000000001,31.809523809523817,9
1.78,6.68,24.740740740740737,9
1.79,6.679999999999999,20.875000000000007,9
1.8,6.680000000000001,20.87500000000001,9
1.81,6.67,20.843749999999982,9
1.82,6.670000000000001,20.21212121212121,9
1.83,6.67,20.212121212121207,9
1.84,6.67,19.61764705882351,9
1.85,6.660000000000001,19.588235294117634,9
1.86,6.65,19.558823529411775,9
1.87,6.6499999999999995,18.999999999999993,9
1.88,6.65,18.999999999999996,9
1.89,6.65,18.47222222222223,9
1.9,6.64,18.44444444444445,9
1.91,6.640000000000001,18.444444444444454,9
1.92,6.640000000000001,17.945945945945965,9
1.93,6.64,17.94594594594596,9
1.94,6.630000000000001,17.447368421052637,9
1.95,6.62,17.421052631578952,9
1.96,6.609999999999999,17.394736842105267,9
1.97,6.609999999999999,16.948717948717942,9
1.98,6.61,16.948717948717945,9
1.99,6.6,16.499999999999986,9
2.0,6.6,16.499999999999986,9
2.01,6.6000000000000005,16.500000000000004,9
2.02,6.6,16.09756097560975,9
2.03,6.6,16.499999999999986,9
2.04,6.590000000000001,16.073170731707314,9
2.05,6.59,16.475000000000005,9
2.06,6.58,16.450000000000003,9
2.07,6.5699999999999985,16.02439024390245,9
2.08,6.57,16.425000000000004,9
2.09,6.5600000000000005,15.999999999999996,9
2.1,6.569999999999999,16.425,9
2.11,6.5600000000000005,16.400000000000006,9
2.12,6.5600000000000005,15.999999999999996,9
2.13,6.549999999999999,16.375,9
2.14,6.540000000000001,15.951219512195136,9
2.15,6.550000000000001,16.375000000000007,9
2.16,6.539999999999999,16.35,9
2.17,6.529999999999999,15.926829268292677,9
2.18,6.530000000000001,16.32499999999999,9
2.19,6.53,15.926829268292678,9
2.2,6.52,16.300000000000004,9
2.21,6.520000000000001,15.902439024390242,9
2.22,6.5200000000000005,15.523809523809527,9
2.23,6.51,15.500000000000002,9
2.24,6.5,15.116279069767437,9
2.25,6.510000000000001,15.500000000000004,9
2.26,6.5,15.116279069767453,9
2.27,6.49,14.750000000000002,9
2.28,6.489999999999999,14.75,9
2.29,6.48,14.40000000000001,9
2.3,6.48,14.72727272727273,9
2.31,6.47,14.377777777777771,9
2.32,6.469999999999999,14.065217391304346,9
2.33,6.460000000000001,14.043478260869568,9
2.34,6.460000000000001,13.744680851063826,9
2.35,6.449999999999999,14.021739130434781,9
2.36,6.449999999999999,13.723404255319142,9
2.37,6.440000000000001,13.41666666666667,9
2.38,6.44,13.416666666666668,9
2.39,6.43,13.12244897959183,9
2.4,6.43,13.395833333333327,10
2.41,6.43,13.122448979591836,10
2.42,6.42,12.839999999999995,10
2.43,6.42,12.84,10
2.44,6.41,12.568627450980397,10
2.45,6.409999999999999,12.820000000000004,10
2.46,6.4,12.549019607843137,10
2.47,6.390000000000001,12.288461538461544,10
2.48,6.390000000000001,12.288461538461544,10
2.49,6.39,12.056603773584904,10
2.5,6.390000000000001,12.288461538461538,10
2.51,6.370000000000001,12.018867924528308,10
2.52,6.37,11.796296296296296,10
2.53,6.369999999999999,12.0188679245283,10
2.54,6.359999999999999,11.777777777777771,10
2.55,6.35,11.981132075471692,10
2.56,6.3500000000000005,11.75925925925926,10
2.57,6.34,11.740740740740735,10
2.58,6.34,11.96226415094339,10
2.59,6.34,11.740740740740744,10
2.6,6.329999999999999,11.943396226415096,10
2.61,6.33,11.722222222222221,10
2.62,6.3100000000000005,11.68518518518519,10
2.63,6.3100000000000005,11.905660377358496,10
2.64,6.3,11.666666666666666,10
2.65,6.299999999999999,11.886792452830186,10
2.66,6.290000000000001,11.648148148148154,10
2.67,6.290000000000001,11.648148148148149,10
2.68,6.28,11.849056603773585,10
2.69,6.279999999999999,11.629629629629633,10
2.7,6.27,11.611111111111109,10
2.71,6.27,11.611111111111109,10
2.72,6.260000000000001,11.381818181818183,10
2.73,6.26,11.381818181818181,10
2.74,6.25,11.160714285714285,10
2.75,6.24,11.142857142857146,10
2.76,6.239999999999999,11.142857142857144,10
2.77,6.239999999999999,10.947368421052634,10
2.78,6.23,10.929824561403512,10
2.79,6.23,10.741379310344827,10
2.8,6.220000000000001,10.724137931034482,10
2.81,6.21,10.706896551724137,10
2.82,6.199999999999999,10.508474576271183,10
