vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh8,26915,0.331005,,0,CAM,8,,26915,-1
veh8,27116,0.531005,,0,CAM,8,,27116,-1
veh8,27321,0.731005,,0,CAM,8,,27321,-1
veh8,27520,0.931005,,0,CAM,8,,27520,-1
veh8,699721841789,,1.01233,0,CPM_DROP_PHY,2,8,699721841789,26
veh8,27630,,1.01608,0,CAM_DROP_PHY,5,8,27630,25
veh8,27660,,1.02333,0,CAM_DROP_PHY,4,8,27660,36
veh8,27719,,1.08083,0,CAM_DROP_PHY,10,8,27719,60
veh8,27848,1.131,,0,CAM,8,,27848,-1
veh8,699721841992,,1.13608,0,CPM_DROP_PHY,5,8,699721841992,77
veh8,27859,,1.14158,0,CAM_DROP_PHY,3,8,27859,84
veh8,27874,,1.15133,0,CAM_DROP_PHY,7,8,27874,94
veh8,27889,,1.15458,0,CAM_DROP_PHY,6,8,27889,110
veh8,699721842056,,1.17458,0,CPM_DROP_PHY,6,8,699721842056,130
veh8,27923,,1.18083,0,CAM_DROP_PHY,10,8,27923,143
veh8,699721842061,,1.18333,0,CPM_DROP_PHY,4,8,699721842061,133
veh8,27944,,1.21233,0,CAM_DROP_PHY,2,8,27944,171
veh8,699721842178,,1.21233,0,CPM_DROP_PHY,2,8,699721842178,171
veh8,28021,,1.21608,0,CAM_DROP_PHY,5,8,28021,180
veh8,28035,,1.22333,0,CAM_DROP_PHY,4,8,28035,195
veh8,699721842194,,1.23608,0,CPM_DROP_PHY,5,8,699721842194,202
veh8,699721842207,,1.24158,0,CPM_DROP_PHY,3,8,699721842207,218
veh8,699721842230,,1.27458,0,CPM_DROP_PHY,6,8,699721842230,244
veh8,699721842236,,1.28333,0,CPM_DROP_PHY,4,8,699721842236,246
veh8,699721842343,,1.31233,0,CPM_DROP_PHY,2,8,699721842343,285
veh8,28210,1.331,,0,CAM,8,,28210,-1
veh8,699721842355,,1.33608,0,CPM_DROP_PHY,5,8,699721842355,300
veh8,28215,,1.34158,0,CAM_DROP_PHY,3,8,28215,308
veh8,28226,,1.35133,0,CAM_DROP_PHY,7,8,28226,319
veh8,28236,,1.35458,0,CAM_DROP_PHY,6,8,28236,335
veh8,699721842400,,1.37458,0,CPM_DROP_PHY,6,8,699721842400,355
veh8,699721842405,,1.38333,0,CPM_DROP_PHY,4,8,699721842405,358
veh8,28283,,1.41233,0,CAM_DROP_PHY,2,8,28283,389
veh8,699721842515,,1.41233,0,CPM_DROP_PHY,2,8,699721842515,389
veh8,28357,,1.41608,0,CAM_DROP_PHY,5,8,28357,397
veh8,28371,,1.42333,0,CAM_DROP_PHY,4,8,28371,412
veh8,699721842530,,1.43608,0,CPM_DROP_PHY,5,8,699721842530,419
veh8,699721842542,,1.44158,0,CPM_DROP_PHY,3,8,699721842542,435
veh8,28405,,1.45458,0,CAM_DROP_PHY,9,8,28405,450
veh8,699721842581,,1.48333,0,CPM_DROP_PHY,4,8,699721842581,479
