vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh4,47197,0.219323,,0,CAM,4,,47197,-1
veh4,47439,0.419323,,0,CAM,4,,47439,-1
veh4,47641,0.619323,,0,CAM,4,,47641,-1
veh4,47843,0.819323,,0,CAM,4,,47843,-1
veh4,699721993281,,1.01233,0,CPM_DROP_PHY,2,4,699721993281,26
veh4,48051,,1.01608,0,CAM_DROP_PHY,5,4,48051,25
veh4,48080,1.01932,,0,CAM,4,,48080,-1
veh4,48135,,1.08083,0,CAM_DROP_PHY,10,4,48135,60
veh4,48254,,1.13408,0,CAM_DROP_PHY,8,4,48254,79
veh4,699721993470,,1.13608,0,CPM_DROP_PHY,5,4,699721993470,77
veh4,48265,,1.14158,0,CAM_DROP_PHY,3,4,48265,84
veh4,48279,,1.15133,0,CAM_DROP_PHY,7,4,48279,94
veh4,48293,,1.15458,0,CAM_DROP_PHY,6,4,48293,110
veh4,699721993530,,1.17458,0,CPM_DROP_PHY,6,4,699721993530,130
veh4,48328,,1.18083,0,CAM_DROP_PHY,10,4,48328,143
veh4,699721993561,,1.20708,0,CPM_DROP_PHY,8,4,699721993561,155
veh4,48347,,1.21233,0,CAM_DROP_PHY,2,4,48347,171
veh4,699721993643,,1.21233,0,CPM_DROP_PHY,2,4,699721993643,171
veh4,48414,,1.21608,0,CAM_DROP_PHY,5,4,48414,180
veh4,48427,1.21932,,0,CAM,4,,48427,-1
veh4,699721993657,,1.23608,0,CPM_DROP_PHY,5,4,699721993657,202
veh4,699721993669,,1.24158,0,CPM_DROP_PHY,3,4,699721993669,218
veh4,699721993690,,1.27458,0,CPM_DROP_PHY,6,4,699721993690,244
veh4,48486,,1.28083,0,CAM_DROP_PHY,10,4,48486,256
veh4,699721993797,,1.31233,0,CPM_DROP_PHY,2,4,699721993797,293
veh4,699721993809,,1.33608,0,CPM_DROP_PHY,5,4,699721993809,308
veh4,48598,,1.34158,0,CAM_DROP_PHY,3,4,48598,316
veh4,48609,,1.35133,0,CAM_DROP_PHY,7,4,48609,327
veh4,48619,,1.35458,0,CAM_DROP_PHY,6,4,48619,343
veh4,699721993856,,1.37458,0,CPM_DROP_PHY,6,4,699721993856,363
veh4,48655,,1.38083,0,CAM_DROP_PHY,10,4,48655,376
veh4,48674,,1.41233,0,CAM_DROP_PHY,2,4,48674,404
veh4,699721993976,,1.41233,0,CPM_DROP_PHY,2,4,699721993976,404
veh4,48747,,1.41608,0,CAM_DROP_PHY,5,4,48747,413
veh4,48760,1.41932,,0,CAM,4,,48760,-1
veh4,48593,,1.43408,0,CAM_DROP_PHY,8,4,48593,311
veh4,699721993888,,1.43408,0,CPM_DROP_PHY,8,4,699721993888,388
veh4,699721993992,,1.43608,0,CPM_DROP_PHY,5,4,699721993992,435
veh4,699721994005,,1.44158,0,CPM_DROP_PHY,3,4,699721994005,451
veh4,48800,,1.45958,0,CAM_DROP_PHY,6,4,48800,470
veh4,48796,,1.46358,0,CAM_DROP_PHY,9,4,48796,466
veh4,699721994038,,1.47458,0,CPM_DROP_PHY,6,4,699721994038,490
veh4,48837,,1.48083,0,CAM_DROP_PHY,10,4,48837,507
veh4,48856,,1.51233,0,CAM_DROP_PHY,2,4,48856,536
veh4,699721994157,,1.51233,0,CPM_DROP_PHY,2,4,699721994157,536
veh4,699721994171,,1.53608,0,CPM_DROP_PHY,5,4,699721994171,562
veh4,48959,,1.54158,0,CAM_DROP_PHY,3,4,48959,570
veh4,48971,,1.55133,0,CAM_DROP_PHY,7,4,48971,583
veh4,699721994187,,1.56158,0,CPM_DROP_PHY,3,4,699721994187,570
veh4,48981,,1.56358,0,CAM_DROP_PHY,9,4,48981,594
veh4,49026,,1.58083,0,CAM_DROP_PHY,10,4,49026,649
