time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
1.01233,veh5,cpm_drop_reaction,2,699721993281,26,-1,-1,0,1,45
1.02333,veh5,drop_decision_no_action,4,48080,36,-1,-1,-1,-1,-1
1.08083,veh5,drop_decision_no_action,10,48135,60,-1,-1,-1,-1,-1
1.13408,veh5,drop_decision_no_action,8,48254,79,-1,-1,-1,-1,-1
1.14158,veh5,drop_decision_no_action,3,48265,84,-1,-1,-1,-1,-1
1.15133,veh5,drop_decision_no_action,7,48279,94,-1,-1,-1,-1,-1
1.15458,veh5,drop_decision_no_action,6,48293,110,-1,-1,-1,-1,-1
1.17458,veh5,drop_decision_no_action,6,699721993530,130,-1,-1,-1,-1,-1
1.18083,veh5,drop_decision_no_action,10,48328,143,-1,-1,-1,-1,-1
1.18333,veh5,drop_decision_no_action,4,699721993535,133,-1,-1,-1,-1,-1
1.19408,veh5,drop_decision_no_action,8,699721993561,155,-1,-1,-1,-1,-1
1.21233,veh5,drop_decision_no_action,2,48347,171,-1,-1,-1,-1,-1
1.21233,veh5,drop_decision_no_action,2,699721993643,171,-1,-1,-1,-1,-1
1.22333,veh5,drop_decision_no_action,4,48427,195,-1,-1,-1,-1,-1
1.24158,veh5,drop_decision_no_action,3,699721993669,218,-1,-1,-1,-1,-1
1.27458,veh5,drop_decision_no_action,6,699721993690,244,-1,-1,-1,-1,-1
1.28083,veh5,drop_decision_no_action,10,48486,256,-1,-1,-1,-1,-1
1.28333,veh5,drop_decision_no_action,4,699721993695,246,-1,-1,-1,-1,-1
1.29408,veh5,drop_decision_no_action,8,699721993719,268,-1,-1,-1,-1,-1
1.31233,veh5,drop_decision_no_action,2,699721993797,293,-1,-1,-1,-1,-1
1.33408,veh5,drop_decision_no_action,8,48593,311,-1,-1,-1,-1,-1
1.34158,veh5,drop_decision_no_action,3,48598,316,-1,-1,-1,-1,-1
1.35133,veh5,drop_decision_no_action,7,48609,327,-1,-1,-1,-1,-1
1.35458,veh5,drop_decision_no_action,6,48619,343,-1,-1,-1,-1,-1
1.37458,veh5,drop_decision_no_action,6,699721993856,363,-1,-1,-1,-1,-1
1.38083,veh5,drop_decision_no_action,10,48655,376,-1,-1,-1,-1,-1
1.38333,veh5,drop_decision_no_action,4,699721993861,366,-1,-1,-1,-1,-1
1.39408,veh5,drop_decision_no_action,8,699721993888,388,-1,-1,-1,-1,-1
1.41233,veh5,drop_decision_no_action,2,48674,404,-1,-1,-1,-1,-1
1.41233,veh5,drop_decision_no_action,2,699721993976,404,-1,-1,-1,-1,-1
1.42333,veh5,drop_decision_no_action,4,48760,428,-1,-1,-1,-1,-1
1.44158,veh5,drop_decision_no_action,3,699721994005,451,-1,-1,-1,-1,-1
