vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh6,41683,1.15201,,0,CAM,6,,41683,-1
veh6,41909,1.35201,,0,CAM,6,,41909,-1
veh6,42023,1.45201,,0,CAM,6,,42023,-1
veh6,42139,1.55201,,0,CAM,6,,42139,-1
veh6,42255,1.65201,,0,CAM,6,,42255,-1
veh6,42378,1.75201,,0,CAM,6,,42378,-1
veh6,42498,1.85201,,0,CAM,6,,42498,-1
veh6,42623,1.95201,,0,CAM,6,,42623,-1
veh6,42876,2.15201,,0,CAM,6,,42876,-1
veh6,43138,2.35201,,0,CAM,6,,43138,-1
veh6,43412,2.55201,,0,CAM,6,,43412,-1
veh6,43711,2.75201,,0,CAM,6,,43711,-1
veh6,43999,2.95201,,0,CAM,6,,43999,-1
veh6,44280,3.15201,,0,CAM,6,,44280,-1
veh6,44578,3.35201,,0,CAM,6,,44578,-1
veh6,44881,3.55201,,0,CAM,6,,44881,-1
veh6,45197,3.75201,,0,CAM,6,,45197,-1
veh6,45504,3.95201,,0,CAM,6,,45504,-1
veh6,45656,4.05201,,0,CAM,6,,45656,-1
veh6,45816,4.15201,,0,CAM,6,,45816,-1
veh6,45979,4.25201,,0,CAM,6,,45979,-1
veh6,46283,4.45201,,0,CAM,6,,46283,-1
veh6,46590,4.65201,,0,CAM,6,,46590,-1
veh6,46911,4.85201,,0,CAM,6,,46911,-1
veh6,47212,5.05201,,0,CAM,6,,47212,-1
veh6,47663,5.35201,,0,CAM,6,,47663,-1
veh6,48105,5.65201,,0,CAM,6,,48105,-1
veh6,48242,5.75201,,0,CAM,6,,48242,-1
veh6,48388,5.85201,,0,CAM,6,,48388,-1
veh6,48536,5.95201,,0,CAM,6,,48536,-1
veh6,48825,6.15201,,0,CAM,6,,48825,-1
veh6,49258,6.45201,,0,CAM,6,,49258,-1
veh6,49716,6.75201,,0,CAM,6,,49716,-1
veh6,50171,7.05201,,0,CAM,6,,50171,-1
veh6,50460,7.25201,,0,CAM,6,,50460,-1
