vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh7,31288,,31.3003,1,CAM,2,7,31288,-1
veh7,31284,,31.3033,1,CAM,6,7,31284,-1
veh7,31388,,31.4003,1,CAM,2,7,31388,-1
veh7,31423,,31.4426,1,CAM,9,7,31423,-1
veh7,31488,,31.5003,1,CAM,2,7,31488,-1
veh7,31484,,31.5033,1,CAM,6,7,31484,-1
veh7,31554,,31.5698,1,CAM,5,7,31554,-1
veh7,31588,,31.6003,1,CAM,2,7,31588,-1
veh7,31623,,31.6426,1,CAM,9,7,31623,-1
veh7,31688,,31.6926,1,CAM,2,7,31688,-1
veh7,31684,,31.7033,1,CAM,6,7,31684,-1
veh7,31754,,31.7648,1,CAM,10,7,31754,-1
veh7,31754,,31.7698,1,CAM,5,7,31754,-1
veh7,31805,,31.8248,1,CAM,4,7,31805,-1
veh7,31827,,31.8286,1,CAM,3,7,31827,-1
veh7,31823,,31.8426,1,CAM,9,7,31823,-1
veh7,31888,,31.8926,1,CAM,2,7,31888,-1
veh7,31884,,31.9033,1,CAM,6,7,31884,-1
veh7,31954,,31.9648,1,CAM,10,7,31954,-1
veh7,31954,,31.9698,1,CAM,5,7,31954,-1
veh7,32005,,32.0248,1,CAM,4,7,32005,-1
veh7,32027,,32.0286,1,CAM,3,7,32027,-1
veh7,32023,,32.0426,1,CAM,9,7,32023,-1
veh7,32079,32.0798,,0,CAM,7,,32079,-1
veh7,32088,,32.0926,1,CAM,2,7,32088,-1
veh7,32084,,32.1033,1,CAM,6,7,32084,-1
veh7,32131,,32.1438,1,CAM,8,7,32131,-1
veh7,32154,,32.1648,1,CAM,10,7,32154,-1
veh7,32154,,32.1698,1,CAM,5,7,32154,-1
veh7,32205,,32.2248,1,CAM,4,7,32205,-1
veh7,32227,,32.2286,1,CAM,3,7,32227,-1
veh7,32223,,32.2426,1,CAM,9,7,32223,-1
veh7,32279,32.2798,,0,CAM,7,,32279,-1
veh7,32288,,32.2926,1,CAM,2,7,32288,-1
veh7,32284,,32.3033,1,CAM,6,7,32284,-1
veh7,32331,,32.3393,1,CAM,8,7,32331,-1
veh7,32354,,32.3621,1,CAM,5,7,32354,-1
veh7,32354,,32.3648,1,CAM,10,7,32354,-1
veh7,32405,,32.4248,1,CAM,4,7,32405,-1
veh7,32427,,32.4331,1,CAM,3,7,32427,-1
veh7,32423,,32.4426,1,CAM,9,7,32423,-1
veh7,32479,32.4798,,0,CAM,7,,32479,-1
veh7,32488,,32.4926,1,CAM,2,7,32488,-1
veh7,32484,,32.4961,1,CAM,6,7,32484,-1
veh7,32531,,32.5393,1,CAM,8,7,32531,-1
veh7,32554,,32.5621,1,CAM,5,7,32554,-1
veh7,32554,,32.5648,1,CAM,10,7,32554,-1
veh7,32605,,32.6178,1,CAM,4,7,32605,-1
veh7,32627,,32.6331,1,CAM,3,7,32627,-1
veh7,32623,,32.6401,1,CAM,9,7,32623,-1
veh7,32679,32.6798,,0,CAM,7,,32679,-1
veh7,32688,,32.6926,1,CAM,2,7,32688,-1
veh7,32684,,32.6961,1,CAM,6,7,32684,-1
veh7,32731,,32.7393,1,CAM,8,7,32731,-1
veh7,32754,,32.7591,1,CAM,10,7,32754,-1
veh7,32754,,32.7621,1,CAM,5,7,32754,-1
veh7,32805,,32.8178,1,CAM,4,7,32805,-1
veh7,32827,,32.8331,1,CAM,3,7,32827,-1
veh7,32823,,32.8401,1,CAM,9,7,32823,-1
