time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
1.01233,veh8,cpm_drop_reaction,2,699722411827,26,-1,-1,0,0,15
1.01608,veh8,drop_decision_no_action,5,7844,25,-1,-1,-1,-1,-1
1.02333,veh8,drop_decision_no_action,4,7877,36,-1,-1,-1,-1,-1
1.08083,veh8,drop_decision_no_action,10,7943,60,-1,-1,-1,-1,-1
1.11233,veh8,drop_decision_no_action,2,699722412020,74,-1,-1,-1,-1,-1
1.13608,veh8,drop_decision_no_action,5,699722412033,85,-1,-1,-1,-1,-1
1.14158,veh8,drop_decision_no_action,3,8076,92,-1,-1,-1,-1,-1
1.15133,veh8,drop_decision_no_action,7,8092,102,-1,-1,-1,-1,-1
1.15458,veh8,drop_decision_no_action,6,8109,118,-1,-1,-1,-1,-1
1.17458,veh8,drop_decision_no_action,6,699722412101,138,-1,-1,-1,-1,-1
1.18333,veh8,drop_decision_no_action,4,699722412106,141,-1,-1,-1,-1,-1
1.21233,veh8,drop_decision_no_action,2,8171,179,-1,-1,-1,-1,-1
1.21233,veh8,drop_decision_no_action,2,699722412232,179,-1,-1,-1,-1,-1
1.21608,veh8,drop_decision_no_action,5,8250,188,-1,-1,-1,-1,-1
1.22333,veh8,drop_decision_no_action,4,8264,203,-1,-1,-1,-1,-1
1.23608,veh8,drop_decision_no_action,5,699722412249,210,-1,-1,-1,-1,-1
1.24158,veh8,drop_decision_no_action,3,699722412262,226,-1,-1,-1,-1,-1
1.27458,veh8,drop_decision_no_action,6,699722412287,252,-1,-1,-1,-1,-1
1.28333,veh8,drop_decision_no_action,4,699722412293,254,-1,-1,-1,-1,-1
1.31233,veh8,drop_decision_no_action,2,699722412408,301,-1,-1,-1,-1,-1
1.33608,veh8,drop_decision_no_action,5,699722412420,316,-1,-1,-1,-1,-1
1.34158,veh8,drop_decision_no_action,3,8457,324,-1,-1,-1,-1,-1
1.35133,veh8,drop_decision_no_action,7,8469,335,-1,-1,-1,-1,-1
1.35458,veh8,drop_decision_no_action,6,8480,351,-1,-1,-1,-1,-1
1.37458,veh8,drop_decision_no_action,6,699722412468,371,-1,-1,-1,-1,-1
1.38333,veh8,drop_decision_no_action,4,699722412474,374,-1,-1,-1,-1,-1
1.41233,veh8,drop_decision_no_action,2,8536,412,-1,-1,-1,-1,-1
1.41233,veh8,drop_decision_no_action,2,699722412598,412,-1,-1,-1,-1,-1
1.41608,veh8,drop_decision_no_action,5,8616,421,-1,-1,-1,-1,-1
1.42333,veh8,drop_decision_no_action,4,8630,436,-1,-1,-1,-1,-1
1.43608,veh8,drop_decision_no_action,5,699722412714,443,-1,-1,-1,-1,-1
1.44158,veh8,drop_decision_no_action,3,699722412728,459,-1,-1,-1,-1,-1
1.45458,veh8,drop_decision_no_action,9,8768,474,-1,-1,-1,-1,-1
1.48083,veh8,drop_decision_no_action,10,8515,384,-1,-1,-1,-1,-1
1.48083,veh8,drop_decision_no_action,10,8813,515,-1,-1,-1,-1,-1
1.48333,veh8,drop_decision_no_action,4,699722412770,503,-1,-1,-1,-1,-1
1.51233,veh8,cam_drop_reaction,2,8835,544,-1,-1,0,0,15
1.51233,veh8,drop_decision_no_action,2,699722412891,544,-1,-1,-1,-1,-1
1.53608,veh8,drop_decision_no_action,5,699722412907,570,-1,-1,-1,-1,-1
1.54158,veh8,drop_decision_no_action,3,8944,578,-1,-1,-1,-1,-1
1.55133,veh8,drop_decision_no_action,7,8957,591,-1,-1,-1,-1,-1
1.55458,veh8,drop_decision_no_action,9,8967,602,-1,-1,-1,-1,-1
1.56158,veh8,drop_decision_no_action,3,699722412923,578,-1,-1,-1,-1,-1
