time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0101,veh12,cpm_drop_reaction,10,699720506112,1372,-1,-1,0,1,24
10.0316,veh12,drop_decision_no_action,5,699720506147,1378,-1,-1,-1,-1,-1
10.0341,veh12,drop_decision_no_action,8,2727,1383,-1,-1,-1,-1,-1
10.0416,veh12,drop_decision_no_action,3,2751,1391,-1,-1,-1,-1,-1
10.0491,veh12,drop_decision_no_action,7,699720506189,1392,-1,-1,-1,-1,-1
10.0546,veh12,drop_decision_no_action,9,2792,1414,-1,-1,-1,-1,-1
10.0986,veh12,drop_decision_no_action,2,2896,1479,-1,-1,-1,-1,-1
10.1186,veh12,drop_decision_no_action,2,699720506468,1515,-1,-1,-1,-1,-1
10.1233,veh12,drop_decision_no_action,4,3051,1534,-1,-1,-1,-1,-1
10.1316,veh12,drop_decision_no_action,5,699720506491,1541,-1,-1,-1,-1,-1
10.1416,veh12,drop_decision_no_action,3,699720506525,1576,-1,-1,-1,-1,-1
10.1491,veh12,drop_decision_no_action,7,3107,1577,-1,-1,-1,-1,-1
10.1638,veh12,drop_decision_no_action,6,3134,1603,-1,-1,-1,-1,-1
10.1941,veh12,drop_decision_no_action,8,699720506611,1653,-1,-1,-1,-1,-1
10.1986,veh12,drop_decision_no_action,2,3192,1666,-1,-1,-1,-1,-1
10.2173,veh12,drop_decision_no_action,11,3199,1671,-1,-1,-1,-1,-1
10.2416,veh12,drop_decision_no_action,3,3352,1731,-1,-1,-1,-1,-1
10.2491,veh12,drop_decision_no_action,7,699720506791,1734,-1,-1,-1,-1,-1
10.2638,veh12,drop_decision_no_action,6,699720506829,1772,-1,-1,-1,-1,-1
10.2941,veh12,drop_decision_no_action,8,699720506867,1802,-1,-1,-1,-1,-1
10.2986,veh12,drop_decision_no_action,2,3450,1815,-1,-1,-1,-1,-1
10.3101,veh12,drop_decision_no_action,10,699720506999,1844,-1,-1,-1,-1,-1
10.3173,veh12,drop_decision_no_action,11,3463,1822,-1,-1,-1,-1,-1
10.3186,veh12,drop_decision_no_action,2,699720507009,1851,-1,-1,-1,-1,-1
10.3233,veh12,drop_decision_no_action,4,3594,1868,-1,-1,-1,-1,-1
10.3316,veh12,drop_decision_no_action,5,699720507033,1873,-1,-1,-1,-1,-1
10.3638,veh12,drop_decision_no_action,6,3661,1931,-1,-1,-1,-1,-1
10.3638,veh12,drop_decision_no_action,6,699720507104,1931,-1,-1,-1,-1,-1
10.3833,veh12,drop_decision_no_action,4,699720507117,1954,-1,-1,-1,-1,-1
10.4101,veh12,drop_decision_no_action,10,699720507266,2005,-1,-1,-1,-1,-1
10.4638,veh12,drop_decision_no_action,6,699720507364,2100,-1,-1,-1,-1,-1
10.4833,veh12,drop_decision_no_action,4,699720507373,2106,-1,-1,-1,-1,-1
10.4901,veh12,drop_decision_no_action,10,3959,2119,-1,-1,-1,-1,-1
10.4986,veh12,drop_decision_no_action,2,3979,2139,-1,-1,-1,-1,-1
10.5101,veh12,drop_decision_no_action,10,699720507520,2159,-1,-1,-1,-1,-1
10.5116,veh12,drop_decision_no_action,5,4084,2158,-1,-1,-1,-1,-1
10.5173,veh12,drop_decision_no_action,11,3985,2144,-1,-1,-1,-1,-1
10.5186,veh12,drop_decision_no_action,2,699720507530,2164,-1,-1,-1,-1,-1
10.5233,veh12,drop_decision_no_action,4,4109,2180,-1,-1,-1,-1,-1
10.5416,veh12,drop_decision_no_action,3,4137,2215,-1,-1,-1,-1,-1
10.5416,veh12,drop_decision_no_action,3,699720507573,2215,-1,-1,-1,-1,-1
10.5638,veh12,drop_decision_no_action,6,4174,2244,-1,-1,-1,-1,-1
10.5638,veh12,drop_decision_no_action,6,699720507620,2244,-1,-1,-1,-1,-1
10.5746,veh12,drop_decision_no_action,9,699720507623,2264,-1,-1,-1,-1,-1
10.5833,veh12,drop_decision_no_action,4,699720507634,2272,-1,-1,-1,-1,-1
10.5941,veh12,drop_decision_no_action,8,699720507661,2301,-1,-1,-1,-1,-1
10.5973,veh12,drop_decision_no_action,11,699720507668,2308,-1,-1,-1,-1,-1
10.6341,veh12,drop_decision_no_action,8,4405,2386,-1,-1,-1,-1,-1
10.6638,veh12,drop_decision_no_action,6,699720507896,2437,-1,-1,-1,-1,-1
10.6833,veh12,drop_decision_no_action,4,699720507911,2444,-1,-1,-1,-1,-1
10.6901,veh12,drop_decision_no_action,10,4500,2462,-1,-1,-1,-1,-1
10.6986,veh12,drop_decision_no_action,2,4522,2486,-1,-1,-1,-1,-1
10.7101,veh12,drop_decision_no_action,10,699720508067,2505,-1,-1,-1,-1,-1
10.7116,veh12,drop_decision_no_action,5,4631,2504,-1,-1,-1,-1,-1
10.7173,veh12,drop_decision_no_action,11,4528,2491,-1,-1,-1,-1,-1
10.7186,veh12,drop_decision_no_action,2,699720508074,2510,-1,-1,-1,-1,-1
10.7363,veh12,drop_decision_no_action,4,4654,2530,-1,-1,-1,-1,-1
10.7546,veh12,drop_decision_no_action,9,4707,2582,-1,-1,-1,-1,-1
10.7548,veh12,drop_decision_no_action,7,699720508121,2564,-1,-1,-1,-1,-1
10.7638,veh12,drop_decision_no_action,6,4714,2585,-1,-1,-1,-1,-1
10.7763,veh12,drop_decision_no_action,4,699720508169,2611,-1,-1,-1,-1,-1
10.7973,veh12,drop_decision_no_action,11,699720508199,2645,-1,-1,-1,-1,-1
10.7986,veh12,drop_decision_no_action,2,4772,2650,-1,-1,-1,-1,-1
10.8173,veh12,drop_decision_no_action,11,4781,2657,-1,-1,-1,-1,-1
10.8341,veh12,drop_decision_no_action,8,4913,2705,-1,-1,-1,-1,-1
10.8746,veh12,drop_decision_no_action,9,699720508401,2754,-1,-1,-1,-1,-1
10.8986,veh12,drop_decision_no_action,2,5011,2790,-1,-1,-1,-1,-1
10.9173,veh12,drop_decision_no_action,11,5022,2797,-1,-1,-1,-1,-1
10.9238,veh12,drop_decision_no_action,5,5127,2813,-1,-1,-1,-1,-1
10.9363,veh12,drop_decision_no_action,4,5153,2837,-1,-1,-1,-1,-1
10.9438,veh12,drop_decision_no_action,5,699720508592,2813,-1,-1,-1,-1,-1
10.9461,veh12,drop_decision_no_action,3,699720508607,2871,-1,-1,-1,-1,-1
10.9546,veh12,drop_decision_no_action,9,5210,2896,-1,-1,-1,-1,-1
10.9548,veh12,drop_decision_no_action,7,699720508610,2872,-1,-1,-1,-1,-1
10.9548,veh12,drop_decision_no_action,7,5186,2872,-1,-1,-1,-1,-1
10.9638,veh12,drop_decision_no_action,6,5217,2903,-1,-1,-1,-1,-1
10.9638,veh12,drop_decision_no_action,6,699720508667,2903,-1,-1,-1,-1,-1
10.9941,veh12,drop_decision_no_action,8,699720508702,2964,-1,-1,-1,-1,-1
10.9986,veh12,drop_decision_no_action,2,5283,2973,-1,-1,-1,-1,-1
11.0101,veh12,drop_decision_no_action,10,699720508829,2993,-1,-1,-1,-1,-1
11.0173,veh12,drop_decision_no_action,11,5287,2978,-1,-1,-1,-1,-1
11.0341,veh12,drop_decision_no_action,8,5442,3038,-1,-1,-1,-1,-1
11.0746,veh12,drop_decision_no_action,9,699720508926,3085,-1,-1,-1,-1,-1
11.0973,veh12,drop_decision_no_action,11,699720508969,3129,-1,-1,-1,-1,-1
11.1173,veh12,drop_decision_no_action,11,5546,3138,-1,-1,-1,-1,-1
11.1238,veh12,drop_decision_no_action,5,5651,3148,-1,-1,-1,-1,-1
