vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh6,53307,1.15201,,0,CAM,6,,53307,-1
veh6,53553,1.35201,,0,CAM,6,,53553,-1
veh6,53682,1.45201,,0,CAM,6,,53682,-1
veh6,53813,1.55201,,0,CAM,6,,53813,-1
veh6,53942,1.65201,,0,CAM,6,,53942,-1
veh6,54077,1.75201,,0,CAM,6,,54077,-1
veh6,54208,1.85201,,0,CAM,6,,54208,-1
veh6,54353,1.95201,,0,CAM,6,,54353,-1
veh6,54630,2.15201,,0,CAM,6,,54630,-1
veh6,54921,2.35201,,0,CAM,6,,54921,-1
veh6,55219,2.55201,,0,CAM,6,,55219,-1
veh6,55553,2.75201,,0,CAM,6,,55553,-1
veh6,55874,2.95201,,0,CAM,6,,55874,-1
veh6,56193,3.15201,,0,CAM,6,,56193,-1
veh6,56524,3.35201,,0,CAM,6,,56524,-1
veh6,56843,3.55201,,0,CAM,6,,56843,-1
veh6,57183,3.75201,,0,CAM,6,,57183,-1
veh6,57522,3.95201,,0,CAM,6,,57522,-1
veh6,57696,4.05201,,0,CAM,6,,57696,-1
veh6,57864,4.15201,,0,CAM,6,,57864,-1
veh6,58044,4.25201,,0,CAM,6,,58044,-1
veh6,58378,4.45201,,0,CAM,6,,58378,-1
veh6,58720,4.65201,,0,CAM,6,,58720,-1
veh6,59051,4.85201,,0,CAM,6,,59051,-1
veh6,59381,5.05201,,0,CAM,6,,59381,-1
veh6,59722,5.25201,,0,CAM,6,,59722,-1
veh6,60194,5.55201,,0,CAM,6,,60194,-1
veh6,60492,5.75201,,0,CAM,6,,60492,-1
veh6,60649,5.85201,,0,CAM,6,,60649,-1
veh6,60806,5.95201,,0,CAM,6,,60806,-1
veh6,60968,6.05201,,0,CAM,6,,60968,-1
veh6,61273,6.25201,,0,CAM,6,,61273,-1
veh6,61587,6.45201,,0,CAM,6,,61587,-1
veh6,62052,6.75201,,0,CAM,6,,62052,-1
veh6,62516,7.05201,,0,CAM,6,,62516,-1
veh6,62847,7.25201,,0,CAM,6,,62847,-1
veh6,63165,7.45201,,0,CAM,6,,63165,-1
veh6,63319,7.55201,,0,CAM,6,,63319,-1
veh6,63472,7.65201,,0,CAM,6,,63472,-1
veh6,63625,7.75201,,0,CAM,6,,63625,-1
veh6,63780,7.85201,,0,CAM,6,,63780,-1
veh6,63938,7.95201,,0,CAM,6,,63938,-1
veh6,64245,8.15201,,0,CAM,6,,64245,-1
veh6,64698,8.45201,,0,CAM,6,,64698,-1
veh6,65143,8.75201,,0,CAM,6,,65143,-1
veh6,1240,9.05201,,0,CAM,6,,1240,-1
veh6,1677,9.35201,,0,CAM,6,,1677,-1
veh6,2134,9.65201,,0,CAM,6,,2134,-1
veh6,2566,9.95201,,0,CAM,6,,2566,-1
veh6,699720506147,,10.0316,0,CPM_DROP_PHY,5,6,699720506147,1378
veh6,2727,,10.0341,0,CAM_DROP_PHY,8,6,2727,1383
veh6,2751,,10.0416,1,CAM,3,6,2751,-1
veh6,699720506189,,10.0446,0,CPM_DROP_PHY,7,6,699720506189,1392
veh6,2792,,10.0546,1,CAM,9,6,2792,-1
veh6,2867,,10.0901,1,CAM,10,6,2867,-1
veh6,699720506316,,10.0973,0,CPM_DROP_PHY,11,6,699720506316,1474
veh6,2896,,10.0986,0,CAM_DROP_PHY,2,6,2896,1479
veh6,3016,,10.1116,0,CAM_DROP_PHY,5,6,3016,1506
veh6,2915,,10.1173,0,CAM_DROP_PHY,11,6,2915,1486
veh6,3051,,10.1233,1,CAM,4,6,3051,-1
veh6,3007,,10.1283,0,CAM_DROP_PHY,12,6,3007,1488
veh6,3107,,10.1446,1,CAM,7,6,3107,-1
veh6,3134,10.152,,0,CAM,6,,3134,-1
veh6,699720506563,,10.1536,0,CPM_DROP_PHY,12,6,699720506563,1602
veh6,3128,,10.1546,1,CAM,9,6,3128,-1
veh6,699720506589,,10.1833,0,CPM_DROP_PHY,4,6,699720506589,1630
veh6,3192,,10.1986,1,CAM,2,6,3192,-1
veh6,3199,,10.2173,0,CAM_DROP_PHY,11,6,3199,1671
veh6,3340,,10.2341,0,CAM_DROP_PHY,8,6,3340,1721
veh6,3352,,10.2416,0,CAM_DROP_PHY,3,6,3352,1731
veh6,699720506788,,10.2416,0,CPM_DROP_PHY,3,6,699720506788,1731
veh6,699720506791,,10.2446,0,CPM_DROP_PHY,7,6,699720506791,1734
veh6,699720506832,,10.2746,0,CPM_DROP_PHY,9,6,699720506832,1773
veh6,3428,,10.2901,0,CAM_DROP_PHY,10,6,3428,1795
veh6,699720506867,,10.2941,0,CPM_DROP_PHY,8,6,699720506867,1802
veh6,3450,,10.2986,0,CAM_DROP_PHY,2,6,3450,1815
veh6,699720506999,,10.3101,0,CPM_DROP_PHY,10,6,699720506999,1844
veh6,3562,,10.3116,0,CAM_DROP_PHY,5,6,3562,1842
veh6,3463,,10.3173,0,CAM_DROP_PHY,11,6,3463,1822
veh6,699720507033,,10.3316,0,CPM_DROP_PHY,5,6,699720507033,1873
veh6,3594,,10.3341,0,CAM_DROP_PHY,4,6,3594,1868
veh6,699720507054,,10.3416,0,CPM_DROP_PHY,3,6,699720507054,1905
veh6,699720507058,,10.3446,0,CPM_DROP_PHY,7,6,699720507058,1906
veh6,3638,,10.3446,1,CAM,7,6,3638,-1
veh6,3661,10.352,,0,CAM,6,,3661,-1
veh6,3656,,10.3546,0,CAM_DROP_PHY,9,6,3656,1928
veh6,699720507117,,10.3833,0,CPM_DROP_PHY,4,6,699720507117,1954
veh6,699720507148,,10.3973,0,CPM_DROP_PHY,11,6,699720507148,1979
veh6,3722,,10.3986,0,CAM_DROP_PHY,2,6,3722,1985
veh6,3825,,10.4136,0,CAM_DROP_PHY,12,6,3825,1993
veh6,3732,,10.4173,0,CAM_DROP_PHY,11,6,3732,1992
veh6,3873,,10.4341,0,CAM_DROP_PHY,8,6,3873,2050
veh6,699720507322,,10.4446,0,CPM_DROP_PHY,7,6,699720507322,2062
veh6,3959,,10.4901,0,CAM_DROP_PHY,10,6,3959,2119
veh6,3979,,10.4986,0,CAM_DROP_PHY,2,6,3979,2139
veh6,699720507520,,10.5101,0,CPM_DROP_PHY,10,6,699720507520,2159
veh6,4084,,10.5116,0,CAM_DROP_PHY,5,6,4084,2158
veh6,3985,,10.5173,0,CAM_DROP_PHY,11,6,3985,2144
veh6,699720507530,,10.5186,0,CPM_DROP_PHY,2,6,699720507530,2164
veh6,4109,,10.5233,1,CAM,4,6,4109,-1
veh6,4137,,10.5416,0,CAM_DROP_PHY,3,6,4137,2215
veh6,699720507573,,10.5416,0,CPM_DROP_PHY,3,6,699720507573,2215
veh6,699720507577,,10.5446,0,CPM_DROP_PHY,7,6,699720507577,2219
veh6,4174,10.552,,0,CAM,6,,4174,-1
