vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh6,14606,1.15201,,0,CAM,6,,14606,-1
veh6,14849,1.35201,,0,CAM,6,,14849,-1
veh6,14970,1.45201,,0,CAM,6,,14970,-1
veh6,15098,1.55201,,0,CAM,6,,15098,-1
veh6,15228,1.65201,,0,CAM,6,,15228,-1
veh6,15459,1.75201,,0,CAM,6,,15459,-1
veh6,15595,1.85201,,0,CAM,6,,15595,-1
veh6,15868,2.05201,,0,CAM,6,,15868,-1
veh6,16150,2.25201,,0,CAM,6,,16150,-1
veh6,16531,2.45201,,0,CAM,6,,16531,-1
veh6,16843,2.65201,,0,CAM,6,,16843,-1
veh6,17171,2.85201,,0,CAM,6,,17171,-1
veh6,17591,3.05201,,0,CAM,6,,17591,-1
veh6,17910,3.25201,,0,CAM,6,,17910,-1
veh6,18230,3.45201,,0,CAM,6,,18230,-1
veh6,18647,3.65201,,0,CAM,6,,18647,-1
veh6,18969,3.85201,,0,CAM,6,,18969,-1
veh6,19288,4.05201,,0,CAM,6,,19288,-1
veh6,19452,4.15201,,0,CAM,6,,19452,-1
veh6,19726,4.25201,,0,CAM,6,,19726,-1
veh6,20053,4.45201,,0,CAM,6,,20053,-1
veh6,20376,4.65201,,0,CAM,6,,20376,-1
veh6,20798,4.85201,,0,CAM,6,,20798,-1
veh6,21114,5.05201,,0,CAM,6,,21114,-1
veh6,21436,5.25201,,0,CAM,6,,21436,-1
veh6,21857,5.45201,,0,CAM,6,,21857,-1
veh6,22298,5.75201,,0,CAM,6,,22298,-1
veh6,22470,5.85201,,0,CAM,6,,22470,-1
veh6,22615,5.95201,,0,CAM,6,,22615,-1
veh6,22867,6.05201,,0,CAM,6,,22867,-1
veh6,23176,6.25201,,0,CAM,6,,23176,-1
veh6,23496,6.45201,,0,CAM,6,,23496,-1
veh6,24042,6.75201,,0,CAM,6,,24042,-1
veh6,24507,7.05201,,0,CAM,6,,24507,-1
veh6,24910,7.25201,,0,CAM,6,,24910,-1
veh6,25222,7.45201,,0,CAM,6,,25222,-1
