messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,9,29377,45.0522,7.65492,90,18.59,3.7
2,9,29685,45.0522,7.65494,90,18.97,3.7
2,10,29740,45.0523,7.65773,270,16.36,2.5
2,2,29765,45.0522,7.65725,90,6.27,-7
2,4,29889,45.0522,7.65586,90,17.25,3.9
2,3,30015,45.0522,7.65604,90,15.79,-1.5
2,11,30130,45.0523,7.65787,270,14.03,-7
2,6,30320,45.0522,7.65554,90,18.39,3.6
2,10,30369,45.0523,7.65769,270,16.9,2.7
2,5,30493,45.0522,7.65573,90,18.29,3.8
2,3,30784,45.0522,7.6561,90,15.34,-1.3
2,12,31081,45.0523,7.65797,240.4,15.54,2.5
2,11,30896,45.0523,7.65783,270,11.93,-7
2,11,31249,45.0523,7.65781,270,11.23,-7
2,8,31371,45.0522,7.6553,90,20.77,3.9
2,10,31460,45.0523,7.65761,270,17.96,2.6
2,5,31582,45.0522,7.65583,90,19.83,3.8
2,11,31488,45.0523,7.6578,270,10.53,-7
2,6,31916,45.0522,7.65569,90,20.61,3.7
2,2,32089,45.0522,7.65728,90,0.1,0
2,12,32189,45.0523,7.65789,270,16.61,2.4
2,4,32221,45.0522,7.65605,90,20.45,3.9
2,10,32567,45.0523,7.65751,270,19.04,2.9
2,12,32686,45.0523,7.65785,270,16.69,2.9
2,12,33295,45.0523,7.65781,270,16.61,-5
2,5,33304,45.0522,7.65598,90,22.16,3.8
2,8,33581,45.0522,7.65553,90,23.59,-1.8
2,6,33620,45.0522,7.65585,90,22.77,-1.8
2,8,34147,45.0522,7.65559,90,23.23,-1.8
2,6,34184,45.0522,7.65591,90,22.41,-1.8
2,2,34252,45.0522,7.65728,90,0.1,0
2,9,34440,45.0522,7.65541,90,23.31,-1.8
2,6,34684,45.0522,7.65597,90,22.05,-1.8
2,12,34850,45.0523,7.65768,270,16.62,-5
2,5,34856,45.0523,7.65615,90,21.76,-1.8
2,9,34938,45.0522,7.65547,90,22.95,-1.8
2,8,35247,45.0522,7.6557,90,22.51,-1.8
2,10,35330,45.0523,7.65728,270,15.75,-7
2,4,35484,45.0523,7.65638,90,21.19,-1.8
2,8,35760,45.0522,7.65576,90,22.15,-1.8
2,12,35953,45.0523,7.6576,270,16.22,-5
2,5,35958,45.0523,7.65626,90,21.04,-1.8
2,4,35980,45.0523,7.65643,90,20.83,-1.8
2,12,36295,45.0523,7.65758,270,15.72,-5
2,12,37771,45.0523,7.65756,270,15.22,-5
2,5,37779,45.0523,7.65631,90,20.68,-1.8
2,3,37819,45.0522,7.65646,90,12.48,-1.3
2,9,37856,45.0522,7.65564,90,21.87,-1.8
2,9,38353,45.0522,7.65569,90,21.51,-1.8
2,12,38616,45.0523,7.6575,270,13.72,-5
2,8,38660,45.0522,7.65592,90,21.07,-1.8
2,2,38763,45.0522,7.65728,90,0.1,0
2,4,38897,45.0523,7.65658,90,19.75,-1.8
2,9,38966,45.0522,7.65574,90,21.15,-1.8
2,12,39129,45.0523,7.65747,270,12.67,-7
2,8,39173,45.0522,7.65597,90,20.71,-1.8
2,6,39217,45.0523,7.65628,90,19.89,-1.8
2,10,39248,45.0523,7.65713,270,8.75,-7
2,10,39854,45.0523,7.65711,270,7.99,0.3
2,11,39881,45.0523,7.65753,270,7.47,-4.5
2,9,40070,45.0522,7.65585,90,20.43,-1.8
2,8,40278,45.0523,7.65607,90,19.99,-1.8
2,3,40045,45.0522,7.65658,90,11.4,-1.3
2,4,40514,45.0523,7.65673,90,18.67,-1.8
2,6,40580,45.0523,7.6564,90,18.99,-1.8
2,12,40853,45.0523,7.65739,270,8.47,-7
2,8,40903,45.0523,7.65612,90,19.63,-1.8
2,11,41004,45.0523,7.6575,270,5.76,1.3
2,9,41211,45.0522,7.65595,90,19.71,-1.8
2,12,41424,45.0523,7.65737,270,7.99,0.4
2,5,41431,45.0523,7.65663,90,18.34,-1.8
2,8,41845,45.0523,7.65619,90,19.09,-1.8
2,9,41874,45.0522,7.656,90,19.35,-1.8
2,10,42207,45.0523,7.65703,270,7.99,0
2,2,42230,45.0522,7.65728,90,0,-0.5
2,5,42374,45.0523,7.6567,90,17.8,-1.8
2,3,42420,45.0522,7.65669,90,10.32,-1.3
2,9,42832,45.0523,7.65607,90,18.81,-1.8
2,11,42881,45.0523,7.65745,270,6.29,0.9
2,11,43893,45.0523,7.65743,270,6.5,0.7
2,12,44060,45.0523,7.65729,270,7.99,0.2
2,4,44396,45.0523,7.65699,90,16.51,-1.8
2,3,45172,45.0522,7.65679,90,9.24,-1.3
2,5,45446,45.0523,7.65689,90,16.18,-1.8
2,9,45960,45.0523,7.65627,90,17.19,-1.8
2,12,46217,45.0523,7.65723,270,7.99,-0.3
2,5,46559,45.0523,7.65695,90,15.64,-1.8
2,3,46616,45.0522,7.65684,90,8.71,-1.3
2,6,46655,45.0523,7.65679,90,15.75,-1.8
2,2,46711,45.0522,7.65728,90,0.1,0
2,8,47046,45.0523,7.65653,90,16.39,-1.8
2,12,47368,45.0523,7.6572,270,7.99,-0.3
2,6,47820,45.0523,7.65685,90,15.21,-1.8
2,9,48305,45.0523,7.6564,90,16.11,-1.8
2,10,48363,45.0523,7.65686,270,7.99,0.1
2,6,49079,45.0523,7.65691,90,15,0
2,9,49576,45.0523,7.65646,90,15.57,-1.8
2,5,50445,45.0523,7.65712,90,15,0
2,10,50996,45.0523,7.6568,270,7.99,0
2,4,51806,45.0523,7.65734,90,15,0
2,3,51825,45.0522,7.65695,90,7.11,-1.3
2,9,52243,45.0523,7.65657,90,15,0
2,2,52322,45.0522,7.65728,90,0.1,0
2,5,53093,45.0523,7.65723,90,15,0
2,4,53133,45.0523,7.65739,90,15,0
2,6,53190,45.0523,7.65708,90,15,0
2,9,53702,45.0523,7.65663,90,15,0
2,2,53778,45.0522,7.65729,90,0.05,-0.5
2,4,54456,45.0523,7.65745,90,15,0
2,6,54510,45.0523,7.65713,90,15,0
2,8,54963,45.0523,7.65687,90,15,0
2,3,55377,45.0522,7.65702,90,6.06,-1.3
2,2,55504,45.0522,7.65729,90,0.1,0
2,4,55859,45.0523,7.65751,90,15,0
2,8,56293,45.0523,7.65693,90,15,0
2,5,57169,45.0523,7.6574,90,15,0
2,4,57199,45.0523,7.65756,90,15,0
2,3,57217,45.0522,7.65705,90,5.54,-1.2
2,6,57271,45.0523,7.65725,90,15,0
2,12,58123,45.0523,7.65696,270,7.99,0
2,2,58685,45.0522,7.65729,90,0,-0.5
2,3,59052,45.0522,7.65707,90,5.02,-1.2
2,11,59182,45.0523,7.6571,270,7.65,-0.3
2,5,59771,45.0523,7.65751,90,15,0
2,8,60303,45.0523,7.6571,90,15,0
2,9,60339,45.0523,7.65691,90,15,0
2,12,60640,45.0523,7.6569,270,7.99,-0.4
2,11,60439,45.0523,7.65708,270,7.69,0.7
2,5,61102,45.0523,7.65757,90,15,0
2,6,61196,45.0523,7.65742,90,15,0
2,10,61260,45.0523,7.65657,270,7.99,-0.2
2,8,61511,45.0523,7.65715,90,15,0
2,11,61994,45.0523,7.65704,270,7.74,0.2
2,4,62305,45.0523,7.65779,90,15,0
2,3,62349,45.0522,7.65712,90,3.99,-1.2
2,8,62711,45.0523,7.65721,90,15,0
2,9,62741,45.0523,7.65702,90,15,0
2,12,63007,45.0523,7.65684,270,7.99,0
2,5,63456,45.0523,7.65768,90,15,0
2,4,63475,45.0523,7.65784,90,15,0
2,10,63975,45.0523,7.6565,270,7.99,-0.4
2,5,64579,45.0523,7.65774,90,15,0
2,11,64760,45.0523,7.65697,270,7.8,0.5
2,9,65000,45.0523,7.65713,90,15,0
2,12,65229,45.0523,7.65678,270,7.99,0
2,3,144,45.0522,7.65716,90,2.87,-1.2
2,11,619,45.0523,7.65693,270,7.83,0.1
2,4,786,45.0523,7.65804,76.8,15,0
2,4,1175,45.0523,7.65806,71.4,15,0
2,4,1480,45.0523,7.65807,66,15,0
2,12,1745,45.0523,7.65672,270,7.99,0
2,4,1767,45.0523,7.65809,56.3,15,0
2,6,2239,45.0523,7.65775,90,15,0
2,11,2321,45.0523,7.65688,270,7.85,0.2
2,4,2783,45.0523,7.65814,56.3,15,0
2,6,3189,45.0523,7.65781,90,15,0
2,5,3381,45.0523,7.65803,80.6,15,0
2,4,3399,45.0524,7.65817,56.3,15,0
2,12,3650,45.0523,7.65666,270,7.99,-0.1
2,5,3655,45.0523,7.65805,75.2,15,0
2,6,3960,45.0523,7.65787,90,15,0
2,10,4004,45.0523,7.65633,270,7.99,-0.2
2,5,5692,45.0523,7.65809,56.3,15,0
2,3,5989,45.0523,7.6572,90,3.39,4
2,9,6272,45.0523,7.65747,90,15,0
2,10,6316,45.0523,7.65629,270,7.99,0.4
2,6,6811,45.0523,7.65803,81.3,15,0
2,4,6986,45.0524,7.65831,56.3,15,0
2,6,7054,45.0523,7.65805,75.9,15,0
2,3,7539,45.0523,7.65724,90,5.79,4
2,4,7731,45.0524,7.65836,56.3,15,0
2,9,7780,45.0523,7.65758,90,15,0
2,12,7934,45.0523,7.65654,270,7.99,-0.1
2,9,8553,45.0523,7.65764,90,15,0
2,4,8958,45.0525,7.6584,18.8,15,0
2,10,9060,45.0523,7.65618,270,7.99,0
2,8,9213,45.0523,7.65788,90,15,0
2,6,9259,45.0524,7.65819,56.3,15,0
2,3,9546,45.0523,7.65731,90,8.99,3.9
2,11,9858,45.0523,7.65664,270,7.94,-0.2
2,9,9994,45.0523,7.65775,90,15,0
2,10,10446,45.0523,7.65612,270,7.99,0
2,3,10881,45.0523,7.65739,90,11.39,3.9
2,8,10875,45.0523,7.65806,70.2,15,0
2,4,11775,45.0527,7.65843,9.4,15,0
2,5,11956,45.0526,7.65841,9.4,15,0
2,6,12022,45.0525,7.65837,56.3,15,0
2,3,12196,45.0523,7.65748,90,13.79,3.9
2,4,12368,45.0527,7.65844,9.4,15,0
2,6,12427,45.0525,7.65839,45.5,15,0
2,6,12928,45.0525,7.6584,16.4,15,0
2,8,13101,45.0524,7.65822,56.3,15,0
2,9,13136,45.0523,7.65806,70.4,15,0
2,10,13179,45.0523,7.656,270,7.99,0
2,2,13693,45.0522,7.65729,90,0,-0.5
2,4,13787,45.0528,7.65844,352.8,15,0
2,4,13974,45.0528,7.65844,348.7,15,0
2,3,13999,45.0523,7.65763,90,15,0
2,9,14023,45.0523,7.65812,56.3,15,0
2,4,14170,45.0528,7.65843,348.7,15,0
2,4,14660,45.0528,7.65842,348.7,15,0
2,8,15065,45.0524,7.65836,56.3,15,0
2,11,15146,45.0523,7.6564,270,7.97,0.1
2,5,15420,45.0528,7.65844,357.2,15,0
2,10,15837,45.0523,7.65588,270,7.99,0
2,8,15968,45.0525,7.6584,30.2,15,0
2,2,16068,45.0522,7.65729,90,0.1,0
2,5,16150,45.0528,7.65843,348.7,15,0
2,6,16222,45.0527,7.65844,9.4,15,0
2,3,16699,45.0523,7.65786,90,15,0
2,6,16933,45.0527,7.65845,9.4,15,0
2,5,17282,45.0529,7.65841,348.7,15,0
2,8,17836,45.0526,7.65842,9.4,15,0
2,3,18065,45.0523,7.65797,90,15,0
2,9,18101,45.0525,7.65839,45.3,15,0
2,5,18026,45.0529,7.6584,348.7,15,0
2,9,18315,45.0525,7.6584,30.6,15,0
2,10,18541,45.0523,7.65576,270,7.99,0
2,2,18557,45.0522,7.65729,90,0.1,0
2,5,18741,45.053,7.65839,348.7,15,0
2,3,18769,45.0523,7.65807,68,15,0
2,3,18962,45.0523,7.65808,56.3,15,0
2,9,19184,45.0525,7.65841,9.4,15,0
2,3,19371,45.0523,7.65812,56.3,15,0
2,3,19846,45.0523,7.65815,56.3,15,0
2,8,19842,45.0527,7.65845,9.4,15,0
2,10,19920,45.0523,7.6557,270,7.99,0
2,12,20202,45.0523,7.656,270,7.99,0.2
2,5,20208,45.053,7.65829,303,15,0
2,8,20434,45.0528,7.65845,4,15,0
2,6,20747,45.053,7.65838,348.7,15,0
2,4,20882,45.0531,7.65811,303,15,0
2,9,21285,45.0527,7.65844,9.4,15,0
2,6,21290,45.053,7.65835,318.7,15,0
2,8,21757,45.0528,7.65842,348.7,15,0
2,6,21793,45.053,7.65831,303,15,0
2,9,21974,45.0527,7.65845,9.4,15,0
2,6,22164,45.053,7.65828,303,15,0
2,3,22340,45.0524,7.65833,56.3,15,0
2,8,22336,45.0529,7.65841,348.7,15,0
2,9,22577,45.0528,7.65845,4.2,15,0
2,6,22582,45.053,7.65825,303,15,0
2,12,22811,45.0523,7.65588,270,7.99,0.3
2,5,22823,45.0531,7.6581,303,15,0
2,8,23027,45.0529,7.6584,348.7,15,0
2,5,23410,45.0531,7.65805,303,15,0
2,3,23435,45.0525,7.6584,38.9,15,0
2,9,23463,45.0528,7.65843,348.7,15,0
2,3,23661,45.0525,7.6584,24.1,15,0
2,9,23696,45.0528,7.65843,348.7,15,0
2,10,23848,45.0523,7.65552,270,7.99,0.3
2,3,23967,45.0525,7.6584,10.4,15,0
2,2,24053,45.0522,7.65736,90,7.09,4.9
2,12,24121,45.0523,7.65582,270,7.99,-0.5
2,5,24130,45.0532,7.65795,294.9,15,0
2,8,24339,45.053,7.65836,332.5,15,0
2,9,24376,45.0529,7.65842,348.7,15,0
2,11,24445,45.0523,7.65598,270,7.99,0.1
2,5,24526,45.0531,7.65792,284.2,15,0
2,6,24594,45.0531,7.6581,303,15,0
2,5,24748,45.0531,7.6579,278.9,15,0
2,3,24896,45.0526,7.65841,9.4,15,0
2,8,24890,45.053,7.65833,304.7,15,0
2,5,25067,45.0531,7.65788,270,15,0
2,12,25464,45.0523,7.65576,270,7.99,0
2,11,25929,45.0523,7.65592,270,7.99,-0.1
2,2,26119,45.0522,7.65746,90,11.6,5
2,4,26209,45.0531,7.65762,270,15,0
2,3,26226,45.0526,7.65843,9.4,15,0
2,6,26262,45.0532,7.65794,290.3,15,0
2,2,26727,45.0522,7.65751,90,13.1,5
2,4,26916,45.0531,7.65756,270,15,0
2,8,26933,45.0531,7.65818,303,15,0
2,9,26974,45.053,7.65834,318.5,15,0
2,6,26978,45.0531,7.65788,270,15,0
2,6,27380,45.0531,7.65784,270,15,0
2,4,27507,45.0531,7.65751,270,15,0
2,3,27528,45.0527,7.65845,9.4,15,0
2,8,27523,45.0531,7.65814,303,15,0
2,6,28033,45.0531,7.65779,270,15,0
2,2,28309,45.0522,7.65764,90,16.6,5
2,3,28400,45.0528,7.65844,355.1,15,0
2,5,29230,45.0531,7.65752,270,15,0
2,6,29307,45.0531,7.65767,270,15,0
2,2,29367,45.0522,7.65775,90,19.1,5
2,12,29435,45.0523,7.65558,270,7.99,0.4
2,8,29466,45.0532,7.65794,290.1,15,0
2,2,29547,45.0522,7.65778,90,19.6,5
2,2,29729,45.0522,7.6578,90,20.1,5
2,8,29930,45.0531,7.6579,279.4,15,0
2,6,29969,45.0531,7.65762,270,15,0
2,2,30034,45.0522,7.65783,90,20.6,5
2,4,30112,45.0531,7.65728,270,15,0
2,8,30130,45.0531,7.65788,270,15,0
2,3,30134,45.0529,7.65841,348.7,15,0
2,2,30592,45.0522,7.65791,90,22.1,5
2,2,30771,45.0522,7.65794,90,22.6,5
2,8,30962,45.0531,7.6578,270,15,0
2,2,31233,45.0523,7.65807,77.8,23.6,5
2,4,31324,45.0531,7.65717,270,15,0
2,9,31554,45.0532,7.65794,290.2,15,0
2,2,31603,45.0523,7.65812,64.9,24,0
2,3,31699,45.053,7.65837,340.7,15,0
2,4,31967,45.0531,7.65711,270,15,0
2,3,32379,45.053,7.65832,303,15,0
2,6,32415,45.0531,7.65739,270,15,0
2,2,32461,45.0523,7.65822,56.3,24,0
2,4,32540,45.0531,7.65706,270,15,0
2,3,32705,45.053,7.65829,303,15,0
2,10,32775,45.0523,7.6551,270,7.99,0
2,5,32962,45.0531,7.65718,270,15,0
2,12,33125,45.0523,7.6554,270,7.99,0
2,4,33139,45.0531,7.657,270,15,0
2,8,33329,45.0531,7.65758,270,15,0
2,11,33420,45.0523,7.65556,270,7.99,0.2
2,6,33550,45.0531,7.65728,270,15,0
2,4,33680,45.0531,7.65695,270,15,0
2,2,34031,45.0525,7.65843,53.6,24,0
2,10,34013,45.0523,7.65504,270,7.99,-0.2
2,9,34312,45.0531,7.65767,270,15,0
2,2,34375,45.0525,7.65844,18.3,24,0
2,2,34543,45.0525,7.65844,9.4,23.99,-0.2
2,2,34727,45.0525,7.65845,9.4,23.29,-7
2,4,34797,45.0531,7.65683,270,15,0
2,10,35120,45.0523,7.65498,270,7.99,-0.2
2,5,35205,45.0531,7.65696,270,15,0
2,6,35250,45.0531,7.65711,270,15,0
2,2,35304,45.0526,7.65846,9.4,21.19,-7
2,12,35363,45.0523,7.65528,270,7.99,0
2,4,35379,45.0531,7.65678,270,15,0
2,3,35397,45.0531,7.65806,303,15,0
2,6,35768,45.0531,7.65705,270,15,0
2,4,35994,45.0531,7.65672,270,15,0
2,10,36217,45.0523,7.65492,270,7.99,-0.3
2,5,36300,45.0531,7.65685,270,15,0
2,6,36350,45.0531,7.657,270,15,0
2,9,36507,45.0531,7.65745,270,15,0
2,2,36567,45.0527,7.65849,9.4,16.29,-7
2,11,36738,45.0523,7.65538,270,7.99,0
2,5,36798,45.0531,7.65679,270,15,0
2,2,37015,45.0528,7.65849,6,14.89,-6.9
2,4,37087,45.0531,7.65661,270,15,0
2,6,37439,45.0531,7.65689,270,15,0
2,2,38962,45.0528,7.65847,348.8,12.09,-6.9
2,3,39236,45.0531,7.65776,270,15,0
2,6,39255,45.0531,7.65683,270,15,0
2,4,39386,45.0531,7.65649,270,15,0
2,9,39414,45.0531,7.65728,270,15,0
2,8,39552,45.0531,7.65707,270,15,0
2,5,39692,45.0531,7.65662,270,15,0
2,10,40058,45.0523,7.65476,303.6,7.99,-0.2
2,8,40177,45.0531,7.65702,270,15,0
2,5,40323,45.0531,7.65656,270,15,0
2,11,40260,45.0523,7.65526,270,7.99,-0.3
2,6,40370,45.0531,7.65672,270,15,0
2,2,40421,45.0529,7.65845,348.6,6.49,-7
2,4,40493,45.0531,7.65638,270,15,0
2,10,40558,45.0523,7.65473,303.6,7.99,0.5
2,2,40574,45.0529,7.65845,348.6,5.79,-6.9
2,8,40662,45.0531,7.65696,270,15,0
2,2,40743,45.0529,7.65845,348.6,5.09,-7
2,3,40936,45.0531,7.65759,270,15,0
2,9,41129,45.0531,7.65711,270,15,0
2,8,41293,45.0531,7.6569,270,15,0
2,5,41443,45.0531,7.65645,270,15,0
2,2,41688,45.0529,7.65844,348.6,1.59,-7
2,10,41930,45.0523,7.65468,303.6,7.99,-0.2
2,5,42024,45.0531,7.6564,270,15,0
2,12,42191,45.0523,7.65498,270,7.99,0
2,4,42210,45.0531,7.65621,270,15,0
2,8,42413,45.0531,7.65679,270,15,0
2,11,42495,45.0523,7.65514,270,7.99,0.5
2,2,42653,45.0529,7.65844,348.6,0,0
2,4,42730,45.0531,7.65616,270,15,0
2,2,43077,45.0529,7.65844,348.6,0,0
2,5,43144,45.0531,7.65628,270,15,0
2,6,43672,45.0531,7.65638,270,15,0
2,9,43812,45.0531,7.65683,270,15,0
2,2,44106,45.0529,7.65844,348.6,0,0
2,3,44199,45.0531,7.65725,270,15,0
2,9,44370,45.0531,7.65677,270,15,0
2,12,44700,45.0523,7.65481,277.4,7.99,0
2,4,44863,45.0531,7.65593,270,15,0
2,3,45270,45.0531,7.65714,270,15,0
2,6,45290,45.0531,7.65621,270,15,0
2,12,45708,45.0523,7.65476,303.6,7.99,-0.2
2,5,45716,45.0531,7.656,270,15,0
2,6,45757,45.0531,7.65615,270,15,0
2,9,45884,45.0531,7.6566,270,15,0
2,3,46245,45.0531,7.65703,270,15,0
2,9,46406,45.0531,7.65655,270,15,0
2,11,46613,45.0523,7.6549,270,7.99,0.1
2,9,46872,45.0531,7.65649,270,15,0
2,10,47284,45.0525,7.65445,331.8,7.99,-0.3
2,9,47393,45.0531,7.65643,270,15,0
2,10,47420,45.0525,7.65445,339.6,7.99,-0.2
2,8,47519,45.0531,7.65623,270,15,0
2,10,47570,45.0525,7.65445,346.9,7.99,0
2,4,47841,45.0531,7.65559,270,15,0
2,11,47936,45.0523,7.6548,283.5,7.99,-0.2
2,11,48343,45.0523,7.65478,290.5,7.99,0
2,6,48605,45.0531,7.65583,270,15,0
2,10,48647,45.0525,7.65444,350.5,7.99,0.2
2,11,48840,45.0523,7.65476,303.6,7.99,0.5
2,5,49187,45.0531,7.65563,270,15,0
2,8,49214,45.0531,7.65606,270,15,0
2,11,49454,45.0523,7.65473,303.6,7.99,-0.1
2,3,49696,45.0531,7.65665,270,15,0
2,11,49947,45.0523,7.65471,303.6,7.99,0
2,4,50127,45.0531,7.65537,270,15,0
2,12,50276,45.0524,7.65455,303.6,7.99,0
2,3,50310,45.0531,7.6566,270,15,0
2,10,50812,45.0526,7.65441,350.5,7.99,0.1
2,4,51184,45.0531,7.65526,270,15,0
2,6,51238,45.0531,7.65557,270,15,0
2,2,51282,45.0529,7.65844,348.6,0,0
2,5,51348,45.0531,7.6554,270,15,0
2,4,51614,45.0531,7.6552,270,15,0
2,6,51658,45.0531,7.65552,270,15,0
2,8,52061,45.0531,7.65574,270,15,0
2,9,52187,45.0531,7.65593,270,15,0
2,5,52315,45.0531,7.65529,270,15,0
2,2,52412,45.0529,7.65844,348.6,0,0
2,5,52770,45.0531,7.65523,270,15,0
2,8,52942,45.0531,7.65565,270,15,0
2,12,53330,45.0525,7.65445,349.8,7.99,0.1
2,12,53625,45.0525,7.65444,350.5,7.99,-0.2
2,8,53933,45.0531,7.65553,270,15,0
2,10,53983,45.0527,7.6544,3.2,7.99,0.4
2,11,54001,45.0524,7.65451,303.6,7.99,0
2,12,54063,45.0525,7.65444,350.5,7.99,-0.4
2,10,54394,45.0527,7.6544,9.8,7.99,-0.1
2,4,54492,45.0531,7.65488,270,15,0
2,8,54509,45.0531,7.65548,270,15,0
2,12,54635,45.0525,7.65443,350.5,7.99,0
2,9,54676,45.0531,7.65565,270,15,0
2,10,54851,45.0528,7.6544,11.3,7.99,-0.1
2,11,55018,45.0524,7.65446,303.6,7.99,0.4
2,8,55401,45.0531,7.65538,270,15,0
2,10,55454,45.0528,7.65441,11.3,7.99,0.1
2,11,55470,45.0524,7.65445,309.9,7.99,-0.2
2,11,55644,45.0524,7.65445,317.4,7.99,0.2
2,6,55764,45.0531,7.65506,270,15,0
2,12,55708,45.0526,7.65442,350.5,7.99,0
2,4,55895,45.0531,7.65469,236.9,15,0
2,3,55914,45.0531,7.65598,270,15,0
2,2,55980,45.0529,7.65844,348.6,0,0
2,11,55984,45.0525,7.65445,333.2,7.99,0
2,10,56230,45.0528,7.65442,11.3,7.99,0
2,9,56376,45.0531,7.65548,270,15,0
2,5,56527,45.0531,7.65484,270,15,0
2,8,56553,45.0531,7.65527,270,15,0
2,11,56814,45.0525,7.65444,350.5,7.99,0.1
2,4,56921,45.053,7.65462,236.9,15,0
2,6,56961,45.0531,7.65495,270,15,0
2,3,57226,45.0531,7.65586,270,15,0
2,10,57275,45.0528,7.65442,11.3,7.99,-0.4
2,5,57381,45.0531,7.65472,236.9,15,0
2,11,57296,45.0525,7.65444,350.5,7.99,0.3
2,5,57573,45.0531,7.6547,236.9,15,0
2,6,57633,45.0531,7.6549,270,15,0
2,9,57627,45.0531,7.65536,270,15,0
2,3,57821,45.0531,7.65581,270,15,0
2,5,57998,45.0531,7.65467,236.9,15,0
2,11,57913,45.0525,7.65443,350.5,7.99,0
2,4,58319,45.053,7.65452,236.9,15,0
2,2,58627,45.0529,7.65844,348.6,0,0
2,9,58978,45.0531,7.65525,270,15,0
2,8,59272,45.0531,7.65505,270,15,0
2,6,59483,45.0531,7.65471,236.9,15,0
2,5,59635,45.053,7.65456,236.9,15,0
2,9,59688,45.0531,7.6552,270,15,0
2,6,59695,45.0531,7.65469,236.9,15,0
2,3,59882,45.0531,7.65564,270,15,0
2,6,60120,45.053,7.65466,236.9,15,0
2,10,60485,45.0529,7.65446,28.2,7.99,-0.4
2,4,60622,45.0529,7.6544,196.3,15,0
2,10,60907,45.0529,7.65448,43.5,7.99,-0.4
2,9,61101,45.0531,7.65508,270,15,0
2,8,61399,45.0531,7.65488,270,15,0
2,12,61622,45.0527,7.6544,11.3,7.99,0
2,4,61863,45.0528,7.65438,191.2,15,0
2,9,61909,45.0531,7.65503,270,15,0
2,8,62122,45.0531,7.65477,260.4,15,0
2,12,62435,45.0528,7.65441,11.3,7.99,0
2,8,62481,45.0531,7.65475,255.1,15,0
2,10,62563,45.053,7.65453,56.9,7.99,-0.4
2,9,62767,45.0531,7.65497,270,15,0
2,6,62996,45.053,7.65449,236.9,15,0
2,5,63174,45.0529,7.6544,191.2,15,0
2,12,63507,45.0528,7.65441,11.3,7.99,0.3
2,11,63284,45.0527,7.6544,350.5,7.99,-0.2
2,4,63539,45.0527,7.65436,191.2,15,0
2,6,64777,45.0529,7.65441,222.1,15,0
2,11,64840,45.0527,7.65439,353.7,7.99,0
2,5,64970,45.0528,7.65438,191.2,15,0
2,9,65029,45.0531,7.65477,260.6,15,0
2,4,65266,45.0527,7.65436,177.1,15,0
2,4,135,45.0527,7.65436,170.9,15,0
2,6,191,45.0529,7.6544,191.2,15,0
2,9,186,45.0531,7.65474,249.8,15,0
2,6,743,45.0528,7.65439,191.2,15,0
2,11,1184,45.0527,7.6544,11.3,7.99,-0.2
2,5,1331,45.0527,7.65435,191.2,15,0
2,6,1406,45.0528,7.65438,191.2,15,0
2,9,1401,45.0531,7.65468,236.9,15,0
2,11,2009,45.0528,7.65441,11.3,7.99,-0.1
2,4,2262,45.0526,7.65439,170.5,15,0
2,2,2395,45.0529,7.65844,348.6,0,0
2,5,3071,45.0526,7.65437,170.5,15,0
2,9,3248,45.053,7.65458,236.9,15,0
2,4,4018,45.0525,7.65441,170.5,15,0
2,8,4037,45.0529,7.6544,207.1,15,0
2,12,4399,45.0529,7.65447,31.4,7.99,-0.1
2,12,4667,45.0529,7.65447,39.1,7.99,-0.4
2,3,4705,45.0531,7.65496,270,15,0
2,6,4749,45.0527,7.65435,182.3,15,0
2,2,4813,45.0529,7.65844,348.6,0,0
2,12,4953,45.0529,7.65448,46.6,7.99,0.1
2,8,5000,45.0529,7.65439,191.2,15,0
2,6,5046,45.0527,7.65436,176,15,0
