time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0101,veh8,cpm_drop_reaction,10,699720729303,1371,-1,-1,0,1,45
10.0233,veh8,drop_decision_no_action,4,29293,1377,-1,-1,-1,-1,-1
10.0416,veh8,drop_decision_no_action,3,29335,1394,-1,-1,-1,-1,-1
10.0536,veh8,drop_decision_no_action,12,699720729423,1418,-1,-1,-1,-1,-1
10.0546,veh8,drop_decision_no_action,9,29377,1415,-1,-1,-1,-1,-1
10.0638,veh8,drop_decision_no_action,6,699720729451,1434,-1,-1,-1,-1,-1
10.0833,veh8,drop_decision_no_action,4,699720729467,1443,-1,-1,-1,-1,-1
10.1101,veh8,drop_decision_no_action,10,699720729632,1509,-1,-1,-1,-1,-1
10.1136,veh8,drop_decision_no_action,12,29583,1494,-1,-1,-1,-1,-1
10.1173,veh8,drop_decision_no_action,11,29499,1491,-1,-1,-1,-1,-1
10.1416,veh8,drop_decision_no_action,3,699720729693,1563,-1,-1,-1,-1,-1
10.1446,veh8,drop_decision_no_action,7,29667,1564,-1,-1,-1,-1,-1
10.1536,veh8,drop_decision_no_action,12,699720729728,1592,-1,-1,-1,-1,-1
10.1638,veh8,drop_decision_no_action,6,29691,1593,-1,-1,-1,-1,-1
10.2116,veh8,drop_decision_no_action,5,29864,1696,-1,-1,-1,-1,-1
10.2186,veh8,drop_decision_no_action,2,699720729917,1703,-1,-1,-1,-1,-1
10.2233,veh8,drop_decision_no_action,4,29889,1718,-1,-1,-1,-1,-1
10.2316,veh8,drop_decision_no_action,5,699720730036,1723,-1,-1,-1,-1,-1
10.2416,veh8,drop_decision_no_action,3,30015,1753,-1,-1,-1,-1,-1
10.2746,veh8,drop_decision_no_action,9,699720730102,1800,-1,-1,-1,-1,-1
10.2833,veh8,drop_decision_no_action,4,699720730113,1808,-1,-1,-1,-1,-1
10.3101,veh8,drop_decision_no_action,10,699720730265,1877,-1,-1,-1,-1,-1
10.3186,veh8,drop_decision_no_action,2,699720730274,1885,-1,-1,-1,-1,-1
10.3638,veh8,drop_decision_no_action,6,30320,1960,-1,-1,-1,-1,-1
10.3646,veh8,drop_decision_no_action,7,30296,1932,-1,-1,-1,-1,-1
10.3901,veh8,drop_decision_no_action,10,30369,2013,-1,-1,-1,-1,-1
10.3986,veh8,drop_decision_no_action,2,30393,2037,-1,-1,-1,-1,-1
10.4186,veh8,drop_decision_no_action,2,699720730547,2069,-1,-1,-1,-1,-1
10.4316,veh8,drop_decision_no_action,5,699720730568,2090,-1,-1,-1,-1,-1
10.4446,veh8,drop_decision_no_action,7,699720730588,2122,-1,-1,-1,-1,-1
10.4746,veh8,drop_decision_no_action,9,699720730624,2154,-1,-1,-1,-1,-1
10.4973,veh8,drop_decision_no_action,11,699720730667,2193,-1,-1,-1,-1,-1
10.4986,veh8,drop_decision_no_action,2,30632,2195,-1,-1,-1,-1,-1
10.5173,veh8,drop_decision_no_action,11,30642,2202,-1,-1,-1,-1,-1
10.5638,veh8,drop_decision_no_action,6,30816,2295,-1,-1,-1,-1,-1
10.5901,veh8,drop_decision_no_action,10,30858,2336,-1,-1,-1,-1,-1
10.5973,veh8,drop_decision_no_action,11,699720730920,2355,-1,-1,-1,-1,-1
10.5986,veh8,drop_decision_no_action,2,30885,2360,-1,-1,-1,-1,-1
10.6116,veh8,drop_decision_no_action,5,31090,2389,-1,-1,-1,-1,-1
10.6173,veh8,drop_decision_no_action,11,30896,2367,-1,-1,-1,-1,-1
10.6186,veh8,drop_decision_no_action,2,699720731143,2398,-1,-1,-1,-1,-1
10.6233,veh8,drop_decision_no_action,4,31116,2416,-1,-1,-1,-1,-1
10.6416,veh8,drop_decision_no_action,3,699720731188,2458,-1,-1,-1,-1,-1
10.6446,veh8,drop_decision_no_action,7,31165,2459,-1,-1,-1,-1,-1
10.6546,veh8,drop_decision_no_action,9,31182,2482,-1,-1,-1,-1,-1
10.7136,veh8,drop_decision_no_action,12,31334,2552,-1,-1,-1,-1,-1
10.7173,veh8,drop_decision_no_action,11,31249,2551,-1,-1,-1,-1,-1
10.7638,veh8,drop_decision_no_action,6,31410,2625,-1,-1,-1,-1,-1
10.7746,veh8,drop_decision_no_action,9,699720731469,2648,-1,-1,-1,-1,-1
10.7986,veh8,drop_decision_no_action,2,31479,2703,-1,-1,-1,-1,-1
10.8101,veh8,drop_decision_no_action,10,699720731625,2726,-1,-1,-1,-1,-1
10.8116,veh8,drop_decision_no_action,5,31582,2725,-1,-1,-1,-1,-1
10.8136,veh8,drop_decision_no_action,12,31574,2712,-1,-1,-1,-1,-1
10.8363,veh8,drop_decision_no_action,4,31607,2754,-1,-1,-1,-1,-1
10.8416,veh8,drop_decision_no_action,3,31633,2786,-1,-1,-1,-1,-1
10.8536,veh8,drop_decision_no_action,12,699720731699,2814,-1,-1,-1,-1,-1
10.8546,veh8,drop_decision_no_action,9,31655,2811,-1,-1,-1,-1,-1
10.8638,veh8,drop_decision_no_action,6,699720731719,2835,-1,-1,-1,-1,-1
10.8973,veh8,drop_decision_no_action,11,699720731767,2878,-1,-1,-1,-1,-1
10.9136,veh8,drop_decision_no_action,12,31825,2890,-1,-1,-1,-1,-1
10.9238,veh8,drop_decision_no_action,5,699720731900,2926,-1,-1,-1,-1,-1
10.9548,veh8,drop_decision_no_action,7,31895,2959,-1,-1,-1,-1,-1
10.9763,veh8,drop_decision_no_action,4,699720731981,3006,-1,-1,-1,-1,-1
10.9901,veh8,drop_decision_no_action,10,31965,3028,-1,-1,-1,-1,-1
10.9986,veh8,drop_decision_no_action,2,32089,3049,-1,-1,-1,-1,-1
11.0128,veh8,drop_decision_no_action,12,32189,3058,-1,-1,-1,-1,-1
11.0173,veh8,drop_decision_no_action,11,32095,3054,-1,-1,-1,-1,-1
11.0546,veh8,drop_decision_no_action,9,32275,3153,-1,-1,-1,-1,-1
11.0746,veh8,drop_decision_no_action,9,699720732340,3179,-1,-1,-1,-1,-1
11.0973,veh8,drop_decision_no_action,11,699720732378,3222,-1,-1,-1,-1,-1
11.1173,veh8,drop_decision_no_action,11,32348,3230,-1,-1,-1,-1,-1
11.1461,veh8,drop_decision_no_action,3,32490,3284,-1,-1,-1,-1,-1
11.1461,veh8,drop_decision_no_action,3,699720732533,3284,-1,-1,-1,-1,-1
11.1638,veh8,drop_decision_no_action,6,32522,3307,-1,-1,-1,-1,-1
11.1746,veh8,drop_decision_no_action,9,699720732582,3325,-1,-1,-1,-1,-1
11.1986,veh8,drop_decision_no_action,2,32584,3374,-1,-1,-1,-1,-1
11.2128,veh8,drop_decision_no_action,12,32686,3379,-1,-1,-1,-1,-1
11.2276,veh8,drop_decision_no_action,10,699720732738,3393,-1,-1,-1,-1,-1
11.2363,veh8,drop_decision_no_action,4,32715,3406,-1,-1,-1,-1,-1
11.2528,veh8,drop_decision_no_action,12,699720732819,3463,-1,-1,-1,-1,-1
11.2538,veh8,drop_decision_no_action,7,32758,3437,-1,-1,-1,-1,-1
11.2638,veh8,drop_decision_no_action,6,699720732840,3486,-1,-1,-1,-1,-1
11.3143,veh8,drop_decision_no_action,11,32844,3529,-1,-1,-1,-1,-1
11.3461,veh8,drop_decision_no_action,3,699720733029,3580,-1,-1,-1,-1,-1
11.3538,veh8,drop_decision_no_action,7,699720733032,3581,-1,-1,-1,-1,-1
11.3701,veh8,drop_decision_no_action,4,699720733187,3638,-1,-1,-1,-1,-1
11.3943,veh8,drop_decision_no_action,11,699720733234,3682,-1,-1,-1,-1,-1
11.4093,veh8,drop_decision_no_action,2,33203,3693,-1,-1,-1,-1,-1
11.4238,veh8,drop_decision_no_action,5,33304,3709,-1,-1,-1,-1,-1
11.4238,veh8,drop_decision_no_action,5,699720733366,3709,-1,-1,-1,-1,-1
11.4301,veh8,drop_decision_no_action,4,33320,3729,-1,-1,-1,-1,-1
11.4461,veh8,drop_decision_no_action,3,699720733394,3758,-1,-1,-1,-1,-1
11.4528,veh8,drop_decision_no_action,12,699720733420,3784,-1,-1,-1,-1,-1
11.4943,veh8,drop_decision_no_action,11,699720733474,3839,-1,-1,-1,-1,-1
11.5276,veh8,cpm_drop_reaction,10,699720733583,3862,-1,-1,1,1,15
11.5293,veh8,drop_decision_no_action,2,699720733590,3866,-1,-1,-1,-1,-1
11.5528,veh8,drop_decision_no_action,12,699720733657,3926,-1,-1,-1,-1,-1
11.5538,veh8,drop_decision_no_action,7,699720733629,3900,-1,-1,-1,-1,-1
11.5538,veh8,drop_decision_no_action,7,33597,3900,-1,-1,-1,-1,-1
11.5566,veh8,drop_decision_no_action,6,33620,3929,-1,-1,-1,-1,-1
11.6238,veh8,drop_decision_no_action,5,33769,3988,-1,-1,-1,-1,-1
11.6276,veh8,drop_decision_no_action,10,699720733812,3990,-1,-1,-1,-1,-1
11.6766,veh8,drop_decision_no_action,6,699720733893,4071,-1,-1,-1,-1,-1
11.6876,veh8,drop_decision_no_action,10,33876,4092,-1,-1,-1,-1,-1
11.7128,veh8,drop_decision_no_action,12,33994,4120,-1,-1,-1,-1,-1
11.7238,veh8,drop_decision_no_action,5,699720734163,4150,-1,-1,-1,-1,-1
11.7276,veh8,drop_decision_no_action,10,699720734046,4133,-1,-1,-1,-1,-1
11.7566,veh8,drop_decision_no_action,6,34184,4208,-1,-1,-1,-1,-1
11.7876,veh8,drop_decision_no_action,10,34233,4259,-1,-1,-1,-1,-1
11.8093,veh8,drop_decision_no_action,2,34252,4281,-1,-1,-1,-1,-1
11.8238,veh8,drop_decision_no_action,5,34357,4293,-1,-1,-1,-1,-1
11.8331,veh8,drop_decision_no_action,10,699720734401,4295,-1,-1,-1,-1,-1
11.8688,veh8,drop_decision_no_action,9,34440,4379,-1,-1,-1,-1,-1
11.8688,veh8,drop_decision_no_action,9,699720734505,4379,-1,-1,-1,-1,-1
11.8701,veh8,drop_decision_no_action,4,699720734509,4403,-1,-1,-1,-1,-1
11.8931,veh8,drop_decision_no_action,10,34491,4426,-1,-1,-1,-1,-1
11.8943,veh8,drop_decision_no_action,11,699720734545,4438,-1,-1,-1,-1,-1
11.9238,veh8,drop_decision_no_action,5,699720734674,4475,-1,-1,-1,-1,-1
11.9566,veh8,drop_decision_no_action,6,34684,4521,-1,-1,-1,-1,-1
11.9931,veh8,drop_decision_no_action,10,34737,4573,-1,-1,-1,-1,-1
12.0128,veh8,drop_decision_no_action,12,34850,4597,-1,-1,-1,-1,-1
12.0193,veh8,drop_decision_no_action,5,34856,4602,-1,-1,-1,-1,-1
12.0301,veh8,drop_decision_no_action,4,34877,4621,-1,-1,-1,-1,-1
12.0393,veh8,drop_decision_no_action,5,699720734924,4628,-1,-1,-1,-1,-1
12.0528,veh8,drop_decision_no_action,12,699720734981,4681,-1,-1,-1,-1,-1
12.0538,veh8,drop_decision_no_action,7,699720734947,4653,-1,-1,-1,-1,-1
12.0688,veh8,drop_decision_no_action,9,34938,4680,-1,-1,-1,-1,-1
12.0701,veh8,drop_decision_no_action,4,699720735005,4707,-1,-1,-1,-1,-1
12.0766,veh8,drop_decision_no_action,6,699720734999,4701,-1,-1,-1,-1,-1
12.1268,veh8,drop_decision_no_action,2,699720735257,4772,-1,-1,-1,-1,-1
12.1538,veh8,drop_decision_no_action,7,699720735295,4801,-1,-1,-1,-1,-1
12.1566,veh8,drop_decision_no_action,6,35285,4829,-1,-1,-1,-1,-1
12.1931,veh8,drop_decision_no_action,10,35330,4881,-1,-1,-1,-1,-1
12.2268,veh8,drop_decision_no_action,2,699720735513,4925,-1,-1,-1,-1,-1
12.2301,veh8,drop_decision_no_action,4,35484,4949,-1,-1,-1,-1,-1
12.2388,veh8,drop_decision_no_action,3,699720735292,4800,-1,-1,-1,-1,-1
12.2861,veh8,drop_decision_no_action,4,699720735609,5027,-1,-1,-1,-1,-1
12.2943,veh8,drop_decision_no_action,11,699720735655,5068,-1,-1,-1,-1,-1
12.3393,veh8,drop_decision_no_action,5,699720735788,5114,-1,-1,-1,-1,-1
12.3566,veh8,drop_decision_no_action,6,35799,5160,-1,-1,-1,-1,-1
12.4116,veh8,drop_decision_no_action,12,35953,5228,-1,-1,-1,-1,-1
12.4131,veh8,drop_decision_no_action,10,699720736002,5234,-1,-1,-1,-1,-1
12.4193,veh8,drop_decision_no_action,5,35958,5233,-1,-1,-1,-1,-1
12.4268,veh8,drop_decision_no_action,2,699720736008,5236,-1,-1,-1,-1,-1
12.4388,veh8,drop_decision_no_action,3,35764,5126,-1,-1,-1,-1,-1
12.4388,veh8,drop_decision_no_action,3,699720736045,5283,-1,-1,-1,-1,-1
12.4688,veh8,drop_decision_no_action,9,36047,5311,-1,-1,-1,-1,-1
12.5116,veh8,drop_decision_no_action,12,36295,5366,-1,-1,-1,-1,-1
12.5131,veh8,drop_decision_no_action,10,699720736343,5373,-1,-1,-1,-1,-1
12.5268,veh8,drop_decision_no_action,2,699720736348,5375,-1,-1,-1,-1,-1
12.5523,veh8,drop_decision_no_action,7,699720736387,5415,-1,-1,-1,-1,-1
12.5566,veh8,drop_decision_no_action,6,37481,5450,-1,-1,-1,-1,-1
12.5836,veh8,drop_decision_no_action,10,37640,5485,-1,-1,-1,-1,-1
12.6056,veh8,drop_decision_no_action,2,37664,5514,-1,-1,-1,-1,-1
12.6236,veh8,drop_decision_no_action,10,699720737824,5535,-1,-1,-1,-1,-1
12.6261,veh8,drop_decision_no_action,4,37796,5560,-1,-1,-1,-1,-1
12.6388,veh8,drop_decision_no_action,3,37819,5589,-1,-1,-1,-1,-1
12.6523,veh8,drop_decision_no_action,7,699720737866,5592,-1,-1,-1,-1,-1
12.6688,veh8,drop_decision_no_action,9,37856,5615,-1,-1,-1,-1,-1
12.6688,veh8,drop_decision_no_action,9,699720737915,5615,-1,-1,-1,-1,-1
12.6836,veh8,drop_decision_no_action,10,37901,5655,-1,-1,-1,-1,-1
12.7116,veh8,drop_decision_no_action,12,38020,5677,-1,-1,-1,-1,-1
12.7236,veh8,drop_decision_no_action,10,699720738066,5682,-1,-1,-1,-1,-1
12.7523,veh8,drop_decision_no_action,7,699720738108,5720,-1,-1,-1,-1,-1
12.7523,veh8,drop_decision_no_action,7,38088,5720,-1,-1,-1,-1,-1
12.7691,veh8,drop_decision_no_action,6,38102,5755,-1,-1,-1,-1,-1
12.7691,veh8,drop_decision_no_action,6,699720738155,5755,-1,-1,-1,-1,-1
12.7836,veh8,drop_decision_no_action,10,38142,5787,-1,-1,-1,-1,-1
12.8116,veh8,drop_decision_no_action,12,38267,5814,-1,-1,-1,-1,-1
12.8193,veh8,drop_decision_no_action,5,38272,5818,-1,-1,-1,-1,-1
12.8236,veh8,drop_decision_no_action,10,699720738316,5820,-1,-1,-1,-1,-1
12.8256,veh8,drop_decision_no_action,2,699720738321,5822,-1,-1,-1,-1,-1
12.8466,veh8,drop_decision_no_action,7,699720738362,5870,-1,-1,-1,-1,-1
12.8836,veh8,drop_decision_no_action,10,38385,5930,-1,-1,-1,-1,-1
12.8861,veh8,drop_decision_no_action,4,699720738409,5923,-1,-1,-1,-1,-1
12.9236,veh8,drop_decision_no_action,10,699720738665,5966,-1,-1,-1,-1,-1
12.9691,veh8,drop_decision_no_action,6,699720738749,6041,-1,-1,-1,-1,-1
12.9716,veh8,drop_decision_no_action,12,699720738737,6040,-1,-1,-1,-1,-1
13.0076,veh8,drop_decision_no_action,11,699720738443,5952,-1,-1,-1,-1,-1
13.0193,veh8,drop_decision_no_action,5,38880,6121,-1,-1,-1,-1,-1
13.0256,veh8,drop_decision_no_action,2,699720738929,6128,-1,-1,-1,-1,-1
13.0261,veh8,drop_decision_no_action,4,38897,6140,-1,-1,-1,-1,-1
13.0368,veh8,cpm_drop_reaction,5,699720738944,6143,-1,-1,1,1,15
13.0466,veh8,drop_decision_no_action,7,699720738970,6175,-1,-1,-1,-1,-1
13.0513,veh8,drop_decision_no_action,9,38966,6202,-1,-1,-1,-1,-1
13.0621,veh8,drop_decision_no_action,3,38922,6172,-1,-1,-1,-1,-1
13.0713,veh8,drop_decision_no_action,9,699720739026,6223,-1,-1,-1,-1,-1
13.0858,veh8,drop_decision_no_action,10,39011,6249,-1,-1,-1,-1,-1
13.1258,veh8,drop_decision_no_action,10,699720739177,6279,-1,-1,-1,-1,-1
13.1691,veh8,drop_decision_no_action,6,39217,6352,-1,-1,-1,-1,-1
13.1858,veh8,drop_decision_no_action,10,39248,6385,-1,-1,-1,-1,-1
13.2116,veh8,drop_decision_no_action,12,39367,6405,-1,-1,-1,-1,-1
13.2368,veh8,drop_decision_no_action,5,699720739430,6426,-1,-1,-1,-1,-1
13.2713,veh8,drop_decision_no_action,9,699720739499,6493,-1,-1,-1,-1,-1
13.2858,veh8,drop_decision_no_action,10,39484,6520,-1,-1,-1,-1,-1
13.3466,veh8,drop_decision_no_action,7,699720739816,6606,-1,-1,-1,-1,-1
