vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh10,55564,0.979007,,0,CAM,10,,55564,-1
veh10,55671,1.07901,,0,CAM,10,,55671,-1
veh10,55788,1.17901,,0,CAM,10,,55788,-1
veh10,55911,1.27901,,0,CAM,10,,55911,-1
veh10,56148,1.47901,,0,CAM,10,,56148,-1
veh10,56390,1.67901,,0,CAM,10,,56390,-1
veh10,56755,1.87901,,0,CAM,10,,56755,-1
veh10,57025,2.07901,,0,CAM,10,,57025,-1
veh10,57287,2.27901,,0,CAM,10,,57287,-1
veh10,57662,2.47901,,0,CAM,10,,57662,-1
veh10,58129,2.77901,,0,CAM,10,,58129,-1
veh10,58689,3.07901,,0,CAM,10,,58689,-1
veh10,59000,3.27901,,0,CAM,10,,59000,-1
veh10,59152,3.37901,,0,CAM,10,,59152,-1
veh10,59317,3.47901,,0,CAM,10,,59317,-1
veh10,59471,3.57901,,0,CAM,10,,59471,-1
veh10,59738,3.67901,,0,CAM,10,,59738,-1
veh10,60060,3.87901,,0,CAM,10,,60060,-1
veh10,60534,4.17901,,0,CAM,10,,60534,-1
veh10,61154,4.47901,,0,CAM,10,,61154,-1
veh10,61743,4.77901,,0,CAM,10,,61743,-1
veh10,61920,4.87901,,0,CAM,10,,61920,-1
veh10,62084,4.97901,,0,CAM,10,,62084,-1
veh10,62256,5.07901,,0,CAM,10,,62256,-1
veh10,62584,5.27901,,0,CAM,10,,62584,-1
veh10,63018,5.47901,,0,CAM,10,,63018,-1
veh10,63477,5.77901,,0,CAM,10,,63477,-1
veh10,65276,5.97901,,0,CAM,10,,65276,-1
veh10,200,6.27901,,0,CAM,10,,200,-1
veh10,759,6.57901,,0,CAM,10,,759,-1
veh10,1082,6.77901,,0,CAM,10,,1082,-1
veh10,1244,6.87901,,0,CAM,10,,1244,-1
veh10,1413,6.97901,,0,CAM,10,,1413,-1
veh10,1569,7.07901,,0,CAM,10,,1569,-1
veh10,1832,7.17901,,0,CAM,10,,1832,-1
veh10,2162,7.37901,,0,CAM,10,,2162,-1
veh10,2616,7.67901,,0,CAM,10,,2616,-1
veh10,3176,7.97901,,0,CAM,10,,3176,-1
veh10,3641,8.27901,,0,CAM,10,,3641,-1
veh10,4191,8.57901,,0,CAM,10,,4191,-1
veh10,4630,8.87901,,0,CAM,10,,4630,-1
veh10,5017,9.07901,,0,CAM,10,,5017,-1
veh10,5156,9.17901,,0,CAM,10,,5156,-1
veh10,5301,9.27901,,0,CAM,10,,5301,-1
veh10,5578,9.47901,,0,CAM,10,,5578,-1
veh10,5963,9.67901,,0,CAM,10,,5963,-1
veh10,6386,9.97901,,0,CAM,10,,6386,-1
veh10,6465,,10.0031,0,CAM_DROP_PHY,12,10,6465,1372
veh10,6480,,10.0161,0,CAM_DROP_PHY,5,10,6480,1376
veh10,699720444430,,10.0428,0,CPM_DROP_PHY,3,10,699720444430,1402
veh10,699720444434,,10.0491,0,CPM_DROP_PHY,7,10,699720444434,1403
veh10,6584,,10.0546,0,CAM_DROP_PHY,9,10,6584,1425
veh10,699720444485,,10.0631,0,CPM_DROP_PHY,12,10,699720444485,1426
veh10,699720444501,,10.0638,0,CPM_DROP_PHY,6,10,699720444501,1438
veh10,699720444505,,10.0746,0,CPM_DROP_PHY,9,10,699720444505,1439
veh10,699720444558,,10.0891,0,CPM_DROP_PHY,8,10,699720444558,1483
veh10,6680,,10.0986,0,CAM_DROP_PHY,2,10,6680,1492
veh10,6689,,10.1026,0,CAM_DROP_PHY,11,10,6689,1496
veh10,6905,,10.1303,0,CAM_DROP_PHY,4,10,6905,1533
veh10,6925,,10.1428,1,CAM,3,10,6925,-1
veh10,6921,,10.1491,0,CAM_DROP_PHY,8,10,6921,1553
veh10,699720444828,,10.1491,0,CPM_DROP_PHY,7,10,699720444828,1557
veh10,6972,,10.1546,0,CAM_DROP_PHY,9,10,6972,1592
veh10,699720444871,,10.1631,0,CPM_DROP_PHY,12,10,699720444871,1593
veh10,6977,,10.1638,1,CAM,6,10,6977,-1
veh10,699720444883,,10.1638,0,CPM_DROP_PHY,6,10,699720444883,1594
veh10,6953,,10.1646,0,CAM_DROP_PHY,7,10,6953,1557
veh10,7026,10.179,,0,CAM,10,,7026,-1
veh10,699720444929,,10.1891,0,CPM_DROP_PHY,8,10,699720444929,1661
veh10,7046,,10.1986,0,CAM_DROP_PHY,2,10,7046,1672
veh10,7052,,10.2026,0,CAM_DROP_PHY,11,10,7052,1676
veh10,7139,,10.2031,1,CAM,12,10,7139,-1
veh10,7148,,10.2161,0,CAM_DROP_PHY,5,10,7148,1701
veh10,699720445060,,10.2186,0,CPM_DROP_PHY,2,10,699720445060,1711
veh10,699720445076,,10.2361,0,CPM_DROP_PHY,5,10,699720445076,1732
veh10,699720445128,,10.2638,0,CPM_DROP_PHY,6,10,699720445128,1788
veh10,7297,,10.2986,0,CAM_DROP_PHY,2,10,7297,1844
veh10,7303,,10.3026,0,CAM_DROP_PHY,11,10,7303,1841
veh10,7424,,10.3303,0,CAM_DROP_PHY,4,10,7424,1885
veh10,699720445326,,10.3361,0,CPM_DROP_PHY,5,10,699720445326,1888
veh10,7441,,10.3491,1,CAM,8,10,7441,-1
veh10,7480,,10.3546,0,CAM_DROP_PHY,9,10,7480,1939
veh10,7486,,10.3638,0,CAM_DROP_PHY,6,10,7486,1941
veh10,7528,10.379,,0,CAM,10,,7528,-1
veh10,7546,,10.3986,1,CAM,2,10,7546,-1
veh10,699720445438,,10.4026,0,CPM_DROP_PHY,11,10,699720445438,2003
veh10,7553,,10.4026,0,CAM_DROP_PHY,11,10,7553,2003
veh10,699720445555,,10.4186,0,CPM_DROP_PHY,2,10,699720445555,2034
veh10,7683,,10.4428,0,CAM_DROP_PHY,3,10,7683,2063
veh10,7465,,10.4491,1,CAM,7,10,7465,-1
veh10,7899,,10.4986,0,CAM_DROP_PHY,2,10,7899,2156
veh10,7904,,10.5026,0,CAM_DROP_PHY,11,10,7904,2160
veh10,7996,,10.5031,0,CAM_DROP_PHY,12,10,7996,2163
veh10,8005,,10.5161,1,CAM,5,10,8005,-1
veh10,699720445915,,10.5186,0,CPM_DROP_PHY,2,10,699720445915,2191
veh10,8029,,10.5303,0,CAM_DROP_PHY,4,10,8029,2209
