messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,5,6480,45.0522,7.65564,90,16.92,-1.4
2,4,6905,45.0522,7.65584,90,16.9,3.9
2,7,6953,45.0522,7.65532,90,18.06,3.8
2,10,7026,45.0523,7.65773,270,16.45,2.8
2,5,7148,45.0522,7.65569,90,17.38,-1.3
2,9,7480,45.0522,7.65499,90,19.77,3.7
2,10,7528,45.0523,7.65769,270,16.98,2.5
2,2,7546,45.0522,7.65726,90,4.49,-8.9
2,3,7683,45.0522,7.65608,90,15.49,-1.4
2,2,8157,45.0522,7.65727,90,2.89,-6.9
2,12,8252,45.0523,7.65797,240.5,15.63,2.9
2,2,8402,45.0522,7.65728,90,2.19,-6.9
2,3,8550,45.0522,7.65614,90,15.07,-1.4
2,9,8587,45.0522,7.6551,90,21.3,3.8
2,6,8591,45.0522,7.65564,90,20.2,3.9
2,10,8642,45.0523,7.6576,270,18.07,2.8
2,2,8658,45.0522,7.65728,90,1.31,-9
2,7,8916,45.0522,7.65548,90,17.93,-1.3
2,2,9003,45.0522,7.65728,90,0.41,-8.9
2,12,9096,45.0523,7.65791,270,16.43,2.6
2,12,9602,45.0523,7.65787,270,16.66,2.8
2,5,9609,45.0522,7.65588,90,16.13,-1.3
2,9,9694,45.0522,7.65521,90,22.84,3.8
2,10,9751,45.0523,7.65751,270,19.14,2.4
2,3,10253,45.0522,7.65625,90,14.24,-1.3
2,7,10510,45.0522,7.65561,90,17.14,-1.3
2,4,10691,45.0523,7.65619,90,22.5,3.9
2,9,10760,45.0522,7.65533,90,24.27,-1.8
2,12,11035,45.0523,7.65776,270,16.62,-5
2,2,10830,45.0522,7.65728,90,0.05,-0.5
2,3,11086,45.0522,7.6563,90,13.84,-1.3
2,10,11159,45.0523,7.65739,270,19.04,-7
2,7,11342,45.0522,7.65568,90,16.75,-1.3
2,6,11359,45.0522,7.65592,90,22.93,-1.8
2,10,11394,45.0523,7.65737,270,18.34,-7
2,3,11783,45.0522,7.65635,90,13.43,-1.3
2,9,11810,45.0522,7.65544,90,23.55,-1.8
2,5,12103,45.0522,7.65605,90,14.93,-1.3
2,7,12150,45.0522,7.65574,90,16.35,-1.3
2,4,12353,45.0523,7.65635,90,21.48,-1.8
2,6,12409,45.0522,7.65603,90,22.21,-1.8
2,9,12402,45.0522,7.6555,90,23.19,-1.8
2,10,12680,45.0523,7.65726,270,14.84,-7
2,4,12833,45.0523,7.65641,90,21.12,-1.8
2,7,12870,45.0522,7.6558,90,15.96,-1.3
2,6,12895,45.0523,7.65609,90,21.85,-1.8
2,10,12945,45.0523,7.65724,270,14.14,-7
2,4,13424,45.0523,7.65646,90,20.76,-1.8
2,10,13534,45.0523,7.65721,270,12.74,-7
2,5,13663,45.0522,7.65616,90,14.13,-1.3
2,3,13689,45.0522,7.65646,90,12.48,-1.3
2,7,13703,45.0522,7.65586,90,15.57,-1.3
2,8,13951,45.0522,7.65587,90,21.81,-1.8
2,9,13979,45.0522,7.65567,90,22.11,-1.8
2,6,13985,45.0523,7.65619,90,21.13,-1.8
2,10,14349,45.0523,7.65717,270,10.64,-7
2,12,14474,45.0523,7.65751,270,13.57,-5
2,4,14493,45.0523,7.65656,90,20.04,-1.8
2,7,14530,45.0522,7.65592,90,15.18,-1.3
2,9,14544,45.0522,7.65573,90,21.75,-1.8
2,6,14553,45.0523,7.65625,90,20.77,-1.8
2,3,14731,45.0522,7.65653,90,11.94,-1.3
2,2,15092,45.0522,7.65728,90,0,-0.5
2,7,15365,45.0522,7.65597,90,14.79,-1.3
2,10,15430,45.0523,7.65712,270,7.99,0.4
2,12,15824,45.0523,7.65743,270,10.43,-7
2,10,15930,45.0523,7.6571,270,7.99,0
2,2,16210,45.0522,7.65728,90,0.05,-0.5
2,10,16555,45.0523,7.65708,270,7.99,0
2,12,16692,45.0523,7.6574,270,8.33,-7
2,9,16765,45.0522,7.65594,90,20.31,-1.8
2,5,17638,45.0522,7.65639,90,12.28,-1.3
2,7,17965,45.0522,7.65613,90,13.62,-1.2
2,12,18190,45.0523,7.65735,270,7.99,0.1
2,3,18236,45.0522,7.65669,90,10.32,-1.3
2,6,18264,45.0523,7.65657,90,18.43,-1.8
2,8,18636,45.0523,7.65628,90,18.93,-1.8
2,4,18899,45.0523,7.65691,90,17.34,-1.8
2,3,19665,45.0522,7.65674,90,9.78,-1.3
2,9,20873,45.0523,7.65623,90,18.15,-1.8
2,7,21193,45.0522,7.65628,90,12.46,-1.2
2,3,21179,45.0522,7.65679,90,9.24,-1.3
2,6,21581,45.0523,7.65676,90,16.81,-1.8
2,8,22010,45.0523,7.65648,90,17.31,-1.8
2,9,22050,45.0523,7.65629,90,17.61,-1.8
2,3,22698,45.0522,7.65684,90,8.71,-1.3
2,4,23585,45.0523,7.65716,90,15.18,-1.8
2,7,23627,45.0522,7.65637,90,11.69,-1.2
2,10,24180,45.0523,7.65687,270,7.99,0.3
2,2,24219,45.0522,7.65728,90,0.1,0
2,12,24441,45.0523,7.65719,270,7.99,0.2
2,8,24496,45.0523,7.65661,90,16.23,-1.8
2,5,25328,45.0522,7.65667,90,9.66,-1.2
2,8,25792,45.0523,7.65667,90,15.69,-1.8
2,2,25915,45.0522,7.65728,90,0,-0.5
2,8,27150,45.0523,7.65673,90,15.15,-1.8
2,10,27360,45.0523,7.6568,270,7.99,-0.2
2,4,27678,45.0523,7.65732,90,15,0
2,3,28092,45.0522,7.65695,90,7.11,-1.3
2,8,28606,45.0523,7.65678,90,15,0
2,9,28651,45.0523,7.6566,90,15,0
2,12,29902,45.0523,7.65707,270,7.99,0.2
2,12,31328,45.0523,7.65704,270,7.99,0
2,8,31387,45.0523,7.6569,90,15,0
2,7,31407,45.0523,7.65662,90,13.85,3.9
2,9,31423,45.0523,7.65671,90,15,0
2,7,33700,45.0523,7.65665,90,14.65,3.9
2,2,34350,45.0522,7.65729,90,0,-0.5
2,3,35086,45.0522,7.65705,90,5.54,-1.2
2,10,35282,45.0523,7.65666,270,7.99,0
2,9,35658,45.0523,7.65682,90,15,0
2,8,37019,45.0523,7.65707,90,15,0
2,9,37070,45.0523,7.65688,90,15,0
2,4,37520,45.0523,7.65766,90,15,0
2,6,38028,45.0523,7.65739,90,15,0
2,10,38598,45.0523,7.65659,270,7.99,0.1
2,3,38900,45.0522,7.6571,90,4.5,-1.2
2,12,39743,45.0523,7.65689,270,7.99,0
2,8,39799,45.0523,7.65718,90,15,0
2,9,39844,45.0523,7.65699,90,15,0
2,7,40180,45.0523,7.65691,90,14.89,0
2,9,41019,45.0523,7.65705,90,15,0
2,4,42653,45.0523,7.65789,90,15,0
2,2,42790,45.0522,7.65729,90,0.05,-0.5
2,4,43819,45.0523,7.65794,90,15,0
2,5,43789,45.0522,7.65701,90,4.87,-1.2
2,6,44199,45.0523,7.65768,90,15,0
2,2,44282,45.0522,7.65729,90,0.1,0
2,8,44484,45.0523,7.6574,90,15,0
2,9,44524,45.0523,7.65722,90,15,0
2,7,44908,45.0523,7.65714,90,14.9,0
2,7,45946,45.0523,7.65719,90,14.91,0
2,6,46272,45.0523,7.65779,90,15,0
2,4,46540,45.0523,7.65813,56.3,15,0
2,9,47528,45.0523,7.65739,90,15,0
2,10,47580,45.0523,7.65635,270,7.99,-0.3
2,5,47740,45.0523,7.65712,90,9.61,3.9
2,7,48681,45.0523,7.65736,90,14.91,0
2,2,48758,45.0522,7.65729,90,0.1,0
2,4,48995,45.0524,7.65825,56.3,15,0
