time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
10.0031,veh4,cam_drop_reaction,12,6465,1372,-1,-1,0,1,45
10.0101,veh4,drop_decision_no_action,10,699720444381,1377,-1,-1,-1,-1,-1
10.0161,veh4,drop_decision_no_action,5,6480,1376,-1,-1,-1,-1,-1
10.0986,veh4,drop_decision_no_action,2,6680,1492,-1,-1,-1,-1,-1
10.1101,veh4,drop_decision_no_action,10,699720444778,1514,-1,-1,-1,-1,-1
10.1186,veh4,drop_decision_no_action,2,699720444790,1521,-1,-1,-1,-1,-1
10.1638,veh4,drop_decision_no_action,6,6977,1594,-1,-1,-1,-1,-1
10.1646,veh4,drop_decision_no_action,7,6953,1557,-1,-1,-1,-1,-1
10.1901,veh4,drop_decision_no_action,10,7026,1655,-1,-1,-1,-1,-1
10.2161,veh4,drop_decision_no_action,5,7148,1701,-1,-1,-1,-1,-1
10.2186,veh4,drop_decision_no_action,2,699720445060,1711,-1,-1,-1,-1,-1
10.2361,veh4,drop_decision_no_action,5,699720445076,1732,-1,-1,-1,-1,-1
10.2638,veh4,drop_decision_no_action,6,699720445128,1788,-1,-1,-1,-1,-1
10.3026,veh4,drop_decision_no_action,11,7303,1841,-1,-1,-1,-1,-1
10.3101,veh4,drop_decision_no_action,10,699720445298,1866,-1,-1,-1,-1,-1
10.3186,veh4,drop_decision_no_action,2,699720445308,1873,-1,-1,-1,-1,-1
10.3491,veh4,drop_decision_no_action,8,7441,1905,-1,-1,-1,-1,-1
10.3638,veh4,drop_decision_no_action,6,7486,1941,-1,-1,-1,-1,-1
10.3901,veh4,drop_decision_no_action,10,7528,1991,-1,-1,-1,-1,-1
10.4026,veh4,drop_decision_no_action,11,699720445438,2003,-1,-1,-1,-1,-1
10.4026,veh4,drop_decision_no_action,11,7553,2003,-1,-1,-1,-1,-1
10.4101,veh4,drop_decision_no_action,10,699720445546,2027,-1,-1,-1,-1,-1
10.4491,veh4,drop_decision_no_action,7,7465,1907,-1,-1,-1,-1,-1
10.4628,veh4,drop_decision_no_action,3,699720445583,2063,-1,-1,-1,-1,-1
10.4631,veh4,drop_decision_no_action,12,699720445627,2093,-1,-1,-1,-1,-1
10.4986,veh4,drop_decision_no_action,2,7899,2156,-1,-1,-1,-1,-1
10.5161,veh4,drop_decision_no_action,5,8005,2181,-1,-1,-1,-1,-1
10.5186,veh4,drop_decision_no_action,2,699720445915,2191,-1,-1,-1,-1,-1
10.5491,veh4,drop_decision_no_action,8,8047,2233,-1,-1,-1,-1,-1
10.5546,veh4,drop_decision_no_action,9,8088,2271,-1,-1,-1,-1,-1
10.5638,veh4,drop_decision_no_action,6,8094,2273,-1,-1,-1,-1,-1
10.5746,veh4,drop_decision_no_action,9,699720446004,2291,-1,-1,-1,-1,-1
10.5986,veh4,drop_decision_no_action,2,8157,2349,-1,-1,-1,-1,-1
10.6026,veh4,drop_decision_no_action,11,8163,2353,-1,-1,-1,-1,-1
10.6031,veh4,drop_decision_no_action,12,8252,2355,-1,-1,-1,-1,-1
10.6361,veh4,drop_decision_no_action,5,699720446181,2398,-1,-1,-1,-1,-1
10.6473,veh4,drop_decision_no_action,3,699720446192,2415,-1,-1,-1,-1,-1
10.6638,veh4,drop_decision_no_action,6,699720446232,2452,-1,-1,-1,-1,-1
10.6746,veh4,drop_decision_no_action,9,699720446235,2453,-1,-1,-1,-1,-1
