pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
39,2.02608,CAM_DROP_PHY,2018,3,4.0,2.02608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
40,2.02683,CAM_DROP_PHY,2025,2,4.0,2.02683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
61,2.08583,CPM_DROP_PHY,2076,5,4.0,2.08583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
62,2.08608,CPM_DROP_PHY,2081,3,4.0,2.08608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
70,2.10583,CAM_DROP_PHY,2087,5,4.0,2.10583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
100,2.12608,CAM_DROP_PHY,2118,3,4.0,2.12608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
120,2.18583,CPM_DROP_PHY,2176,5,4.0,2.18583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
122,2.18608,CPM_DROP_PHY,2181,3,4.0,2.18608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
130,2.20583,CAM_DROP_PHY,2187,5,4.0,2.20583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
161,2.22608,CAM_DROP_PHY,2218,3,4.0,2.22608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
164,2.22683,CAM_DROP_PHY,2225,2,4.0,2.22683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
200,2.28583,CPM_DROP_PHY,2276,5,4.0,2.28583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
210,2.30583,CAM_DROP_PHY,2287,5,4.0,2.30583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
229,2.32608,CAM_DROP_PHY,2318,3,4.0,2.32608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
255,2.38583,CPM_DROP_PHY,2376,5,4.0,2.38583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
257,2.38608,CPM_DROP_PHY,2381,3,4.0,2.38608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
267,2.40583,CAM_DROP_PHY,2387,5,4.0,2.40583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
299,2.42608,CAM_DROP_PHY,2418,3,4.0,2.42608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
303,2.42683,CAM_DROP_PHY,2425,2,4.0,2.42683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
333,2.48583,CPM_DROP_PHY,2476,5,4.0,2.48583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
342,2.50583,CAM_DROP_PHY,2487,5,4.0,2.50583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
384,2.58583,CPM_DROP_PHY,2576,5,4.0,2.58583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
418,2.62608,CAM_DROP_PHY,2618,3,4.0,2.62608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
422,2.62683,CAM_DROP_PHY,2625,2,4.0,2.62683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
463,2.68583,CPM_DROP_PHY,2676,5,4.0,2.68583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
472,2.70583,CAM_DROP_PHY,2687,5,4.0,2.70583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
501,2.73058,CAM_DROP_PHY,2718,3,4.0,2.73058,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
517,2.74683,CPM_DROP_PHY,2740,2,4.0,2.74683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
546,2.78583,CPM_DROP_PHY,2776,5,4.0,2.78583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
569,2.80983,CAM_DROP_PHY,2807,6,4.0,2.80983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
585,2.81983,CAM_DROP_PHY,2817,7,4.0,2.81983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
596,2.82683,CAM_DROP_PHY,2825,2,4.0,2.82683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
586,2.83058,CAM_DROP_PHY,2818,3,4.0,2.83058,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
629,2.87258,CAM_DROP_PHY,2865,9,4.0,2.87258,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
641,2.88583,CPM_DROP_PHY,2876,5,4.0,2.88583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
656,2.90583,CAM_DROP_PHY,2887,5,4.0,2.90583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
674,2.90983,CAM_DROP_PHY,2907,6,4.0,2.90983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
692,2.91983,CAM_DROP_PHY,2917,7,4.0,2.91983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
693,2.93058,CAM_DROP_PHY,2918,3,4.0,2.93058,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
741,2.98583,CPM_DROP_PHY,2976,5,4.0,2.98583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
765,3.00383,CAM_DROP_PHY,3003,8,4.0,3.00383,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
753,3.00583,CAM_DROP_PHY,2987,5,4.0,3.00583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
773,3.00983,CAM_DROP_PHY,3007,6,4.0,3.00983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
796,3.01983,CAM_DROP_PHY,3017,7,4.0,3.01983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
812,3.02683,CAM_DROP_PHY,3025,2,4.0,3.02683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
806,3.02983,CPM_DROP_PHY,3023,6,4.0,3.02983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
797,3.03058,CAM_DROP_PHY,3018,3,4.0,3.03058,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
853,3.07258,CAM_DROP_PHY,3065,9,4.0,3.07258,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
877,3.10583,CAM_DROP_PHY,3087,5,4.0,3.10583,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
891,3.10983,CAM_DROP_PHY,3107,6,4.0,3.10983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
886,3.11933,CAM_DROP_PHY,3103,8,4.0,3.11933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
909,3.11983,CAM_DROP_PHY,3117,7,4.0,3.11983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
911,3.13058,CAM_DROP_PHY,3118,3,4.0,3.13058,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
974,3.19808,CAM_DROP_PHY,3187,5,4.0,3.19808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
991,3.20983,CAM_DROP_PHY,3207,6,4.0,3.20983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
985,3.21933,CAM_DROP_PHY,3203,8,4.0,3.21933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1005,3.21983,CAM_DROP_PHY,3217,7,4.0,3.21983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1007,3.22333,CAM_DROP_PHY,3218,3,4.0,3.22333,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1028,3.22683,CAM_DROP_PHY,3225,2,4.0,3.22683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1050,3.23933,CPM_DROP_PHY,3237,8,4.0,3.23933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1072,3.27258,CAM_DROP_PHY,3265,9,4.0,3.27258,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1094,3.29808,CAM_DROP_PHY,3287,5,4.0,3.29808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1111,3.30983,CAM_DROP_PHY,3307,6,4.0,3.30983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1106,3.31933,CAM_DROP_PHY,3303,8,4.0,3.31933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1123,3.31983,CAM_DROP_PHY,3317,7,4.0,3.31983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1125,3.32333,CAM_DROP_PHY,3318,3,4.0,3.32333,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1178,3.38333,CPM_DROP_PHY,3381,3,4.0,3.38333,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1187,3.39808,CAM_DROP_PHY,3387,5,4.0,3.39808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1208,3.40983,CAM_DROP_PHY,3407,6,4.0,3.40983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1203,3.41933,CAM_DROP_PHY,3403,8,4.0,3.41933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1222,3.41983,CAM_DROP_PHY,3417,7,4.0,3.41983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1224,3.42333,CAM_DROP_PHY,3418,3,4.0,3.42333,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1245,3.43758,CAM_DROP_PHY,3425,2,4.0,3.43758,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1280,3.47258,CAM_DROP_PHY,3465,9,4.0,3.47258,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1303,3.49808,CAM_DROP_PHY,3487,5,4.0,3.49808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1293,3.49983,CPM_DROP_PHY,3480,7,4.0,3.49983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1326,3.50983,CAM_DROP_PHY,3507,6,4.0,3.50983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1319,3.51933,CAM_DROP_PHY,3503,8,4.0,3.51933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1339,3.51983,CAM_DROP_PHY,3517,7,4.0,3.51983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1341,3.52333,CAM_DROP_PHY,3518,3,4.0,3.52333,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1399,3.59808,CAM_DROP_PHY,3587,5,4.0,3.59808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1416,3.60983,CAM_DROP_PHY,3607,6,4.0,3.60983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1411,3.61933,CAM_DROP_PHY,3603,8,4.0,3.61933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1433,3.62333,CAM_DROP_PHY,3618,3,4.0,3.62333,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1431,3.63008,CAM_DROP_PHY,3617,7,4.0,3.63008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1447,3.63758,CAM_DROP_PHY,3625,2,4.0,3.63758,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1488,3.67258,CAM_DROP_PHY,3665,9,4.0,3.67258,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1510,3.69808,CAM_DROP_PHY,3687,5,4.0,3.69808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1527,3.70983,CAM_DROP_PHY,3707,6,4.0,3.70983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1522,3.71933,CAM_DROP_PHY,3703,8,4.0,3.71933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1542,3.72333,CAM_DROP_PHY,3718,3,4.0,3.72333,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1540,3.73008,CAM_DROP_PHY,3717,7,4.0,3.73008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1577,3.75758,CPM_DROP_PHY,3740,2,4.0,3.75758,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1610,3.77808,CPM_DROP_PHY,3776,5,4.0,3.77808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1625,3.79808,CAM_DROP_PHY,3787,5,4.0,3.79808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1644,3.80983,CAM_DROP_PHY,3807,6,4.0,3.80983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1639,3.81558,CAM_DROP_PHY,3803,8,4.0,3.81558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1665,3.82333,CAM_DROP_PHY,3818,3,4.0,3.82333,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1663,3.83008,CAM_DROP_PHY,3817,7,4.0,3.83008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1677,3.83758,CAM_DROP_PHY,3825,2,4.0,3.83758,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1699,3.85558,CPM_DROP_PHY,3837,8,4.0,3.85558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1728,3.87008,CAM_DROP_PHY,3865,9,4.0,3.87008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1761,3.89808,CAM_DROP_PHY,3887,5,4.0,3.89808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1779,3.90983,CAM_DROP_PHY,3907,6,4.0,3.90983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1773,3.91558,CAM_DROP_PHY,3903,8,4.0,3.91558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1797,3.93008,CAM_DROP_PHY,3917,7,4.0,3.93008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1799,3.93533,CAM_DROP_PHY,3918,3,4.0,3.93533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1859,3.99808,CAM_DROP_PHY,3987,5,4.0,3.99808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1878,4.00983,CAM_DROP_PHY,4007,6,4.0,4.00983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1872,4.01558,CAM_DROP_PHY,4003,8,4.0,4.01558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1909,4.02983,CPM_DROP_PHY,4023,6,4.0,4.02983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1900,4.03008,CAM_DROP_PHY,4017,7,4.0,4.03008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1911,4.03508,CAM_DROP_PHY,4025,2,4.0,4.03508,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1902,4.03533,CAM_DROP_PHY,4018,3,4.0,4.03533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1937,4.05558,CPM_DROP_PHY,4037,8,4.0,4.05558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1969,4.07008,CAM_DROP_PHY,4065,9,4.0,4.07008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
1997,4.09808,CAM_DROP_PHY,4087,5,4.0,4.09808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2015,4.10983,CAM_DROP_PHY,4107,6,4.0,4.10983,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2009,4.11558,CAM_DROP_PHY,4103,8,4.0,4.11558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2033,4.12908,CAM_DROP_PHY,4117,7,4.0,4.12908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2035,4.13533,CAM_DROP_PHY,4118,3,4.0,4.13533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2060,4.15558,CPM_DROP_PHY,4137,8,4.0,4.15558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2083,4.17008,CAM_DROP_PHY,4165,9,4.0,4.17008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2105,4.19533,CPM_DROP_PHY,4181,3,4.0,4.19533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2112,4.19808,CAM_DROP_PHY,4187,5,4.0,4.19808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2130,4.21558,CAM_DROP_PHY,4203,8,4.0,4.21558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2154,4.22908,CAM_DROP_PHY,4217,7,4.0,4.22908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2166,4.23508,CAM_DROP_PHY,4225,2,4.0,4.23508,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2156,4.23533,CAM_DROP_PHY,4218,3,4.0,4.23533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2190,4.25558,CPM_DROP_PHY,4237,8,4.0,4.25558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2222,4.27008,CAM_DROP_PHY,4265,9,4.0,4.27008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2250,4.29808,CAM_DROP_PHY,4287,5,4.0,4.29808,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2254,4.31008,CPM_DROP_PHY,4293,9,4.0,4.31008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2263,4.31558,CAM_DROP_PHY,4303,8,4.0,4.31558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2284,4.32908,CAM_DROP_PHY,4317,7,4.0,4.32908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2285,4.33533,CAM_DROP_PHY,4318,3,4.0,4.33533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2339,4.37008,CAM_DROP_PHY,4365,9,4.0,4.37008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2365,4.39358,CAM_DROP_PHY,4387,5,4.0,4.39358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2357,4.39533,CPM_DROP_PHY,4381,3,4.0,4.39533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2372,4.41008,CPM_DROP_PHY,4393,9,4.0,4.41008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2385,4.41558,CAM_DROP_PHY,4403,8,4.0,4.41558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2269,4.42258,CAM_DROP_PHY,4307,6,4.0,4.42258,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2411,4.42908,CAM_DROP_PHY,4417,7,4.0,4.42908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2423,4.43508,CAM_DROP_PHY,4425,2,4.0,4.43508,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2412,4.43533,CAM_DROP_PHY,4418,3,4.0,4.43533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2477,4.47008,CAM_DROP_PHY,4465,9,4.0,4.47008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2495,4.48908,CPM_DROP_PHY,4480,7,4.0,4.48908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2503,4.49358,CAM_DROP_PHY,4487,5,4.0,4.49358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2513,4.51008,CPM_DROP_PHY,4493,9,4.0,4.51008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2536,4.51483,CAM_DROP_PHY,4511,10,4.0,4.51483,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2524,4.51558,CAM_DROP_PHY,4503,8,4.0,4.51558,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2548,4.52908,CAM_DROP_PHY,4517,7,4.0,4.52908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2549,4.53533,CAM_DROP_PHY,4518,3,4.0,4.53533,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2618,4.57008,CAM_DROP_PHY,4565,9,4.0,4.57008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2644,4.59358,CAM_DROP_PHY,4587,5,4.0,4.59358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
2670,4.61483,CAM_DROP_PHY,4611,10,4.0,4.61483,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
