vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh10,3717,,3.73008,1,CAM,7,10,3717,-1
veh10,3787,,3.79808,1,CAM,5,10,3787,-1
veh10,3807,,3.80983,1,CAM,6,10,3807,-1
veh10,3803,,3.81558,1,CAM,8,10,3803,-1
veh10,3799,,3.81658,1,CAM,4,10,3799,-1
veh10,3818,,3.82333,1,CAM,3,10,3818,-1
veh10,3817,,3.83008,1,CAM,7,10,3817,-1
veh10,3825,,3.83758,1,CAM,2,10,3825,-1
veh10,3865,,3.87008,1,CAM,9,10,3865,-1
veh10,3887,,3.89808,1,CAM,5,10,3887,-1
veh10,3907,,3.90983,1,CAM,6,10,3907,-1
veh10,3903,,3.91558,1,CAM,8,10,3903,-1
veh10,3917,,3.93008,1,CAM,7,10,3917,-1
veh10,3918,,3.93533,1,CAM,3,10,3918,-1
veh10,3987,,3.99808,1,CAM,5,10,3987,-1
veh10,4007,,4.00983,1,CAM,6,10,4007,-1
veh10,3999,,4.01033,1,CAM,4,10,3999,-1
veh10,4003,,4.01558,1,CAM,8,10,4003,-1
veh10,4017,,4.03008,1,CAM,7,10,4017,-1
veh10,4025,,4.03508,1,CAM,2,10,4025,-1
veh10,4018,,4.03533,1,CAM,3,10,4018,-1
veh10,4065,,4.07008,1,CAM,9,10,4065,-1
veh10,4087,,4.09808,1,CAM,5,10,4087,-1
veh10,4107,,4.10983,1,CAM,6,10,4107,-1
veh10,4103,,4.11558,1,CAM,8,10,4103,-1
veh10,4117,,4.12908,1,CAM,7,10,4117,-1
veh10,4118,,4.13533,1,CAM,3,10,4118,-1
veh10,4165,,4.17008,1,CAM,9,10,4165,-1
veh10,4187,,4.19808,1,CAM,5,10,4187,-1
veh10,4199,,4.21033,1,CAM,4,10,4199,-1
veh10,4203,,4.21558,1,CAM,8,10,4203,-1
veh10,4207,,4.22258,1,CAM,6,10,4207,-1
veh10,4217,,4.22908,1,CAM,7,10,4217,-1
veh10,4225,,4.23508,1,CAM,2,10,4225,-1
veh10,4218,,4.23533,1,CAM,3,10,4218,-1
veh10,4265,,4.27008,1,CAM,9,10,4265,-1
veh10,4287,,4.29808,1,CAM,5,10,4287,-1
veh10,4303,,4.31558,1,CAM,8,10,4303,-1
veh10,4307,,4.32258,1,CAM,6,10,4307,-1
veh10,4317,,4.32908,1,CAM,7,10,4317,-1
veh10,4318,,4.33533,1,CAM,3,10,4318,-1
veh10,4365,,4.37008,1,CAM,9,10,4365,-1
veh10,4387,,4.39358,1,CAM,5,10,4387,-1
veh10,4399,,4.41033,1,CAM,4,10,4399,-1
veh10,4403,,4.41558,1,CAM,8,10,4403,-1
veh10,4407,,4.42258,1,CAM,6,10,4407,-1
veh10,4417,,4.42908,1,CAM,7,10,4417,-1
veh10,4425,,4.43508,1,CAM,2,10,4425,-1
veh10,4418,,4.43533,1,CAM,3,10,4418,-1
veh10,4465,,4.47008,1,CAM,9,10,4465,-1
veh10,4487,,4.49358,1,CAM,5,10,4487,-1
veh10,4511,4.51177,,0,CAM,10,,4511,-1
veh10,4503,,4.51558,1,CAM,8,10,4503,-1
veh10,4507,,4.52258,1,CAM,6,10,4507,-1
veh10,4517,,4.52908,1,CAM,7,10,4517,-1
veh10,4518,,4.53533,1,CAM,3,10,4518,-1
veh10,4565,,4.57008,1,CAM,9,10,4565,-1
veh10,4587,,4.59358,1,CAM,5,10,4587,-1
veh10,4599,,4.61033,1,CAM,4,10,4599,-1
veh10,4611,4.61177,,0,CAM,10,,4611,-1
veh10,4607,,4.62258,1,CAM,6,10,4607,-1
veh10,4617,,4.62908,1,CAM,7,10,4617,-1
veh10,4625,,4.63508,1,CAM,2,10,4625,-1
veh10,4618,,4.63533,1,CAM,3,10,4618,-1
veh10,4665,,4.67558,1,CAM,9,10,4665,-1
veh10,4667,,4.68183,1,CAM,11,10,4667,-1
veh10,4687,,4.69358,1,CAM,5,10,4687,-1
veh10,4711,4.71177,,0,CAM,10,,4711,-1
veh10,4707,,4.72258,1,CAM,6,10,4707,-1
veh10,4718,,4.73533,1,CAM,3,10,4718,-1
veh10,4787,,4.79358,1,CAM,5,10,4787,-1
veh10,4811,4.81177,,0,CAM,10,,4811,-1
veh10,4807,,4.82258,1,CAM,6,10,4807,-1
veh10,4825,,4.83508,1,CAM,2,10,4825,-1
veh10,4818,,4.83533,1,CAM,3,10,4818,-1
veh10,4867,,4.88183,1,CAM,11,10,4867,-1
veh10,4887,,4.89358,1,CAM,5,10,4887,-1
veh10,4899,,4.91033,1,CAM,4,10,4899,-1
veh10,4911,4.91177,,0,CAM,10,,4911,-1
veh10,4903,,4.91458,1,CAM,8,10,4903,-1
veh10,4907,,4.92258,1,CAM,6,10,4907,-1
veh10,4918,,4.93533,1,CAM,3,10,4918,-1
veh10,4965,,4.97558,1,CAM,9,10,4965,-1
veh10,4987,,4.99358,1,CAM,5,10,4987,-1
veh10,5011,5.01177,,0,CAM,10,,5011,-1
veh10,5025,,5.03508,1,CAM,2,10,5025,-1
veh10,5067,,5.08183,1,CAM,11,10,5067,-1
