time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.27008,veh9,cpm_reaction,4,2255,18446744073709551615,0.807658,-1,1,1,11
3.03858,veh9,cpm_reaction,11,3020,18446744073709551615,0.639912,-1,1,1,11
3.58758,veh9,cpm_reaction,4,3555,18446744073709551615,0.142463,-1,1,1,11
4.27308,veh9,cpm_reaction,4,4255,18446744073709551615,0.319784,-1,1,1,11
5.32683,veh9,cpm_reaction,11,5320,18446744073709551615,0.333417,-1,1,1,11
5.92683,veh9,cpm_reaction,11,5920,18446744073709551615,0.961962,-1,1,1,11
6.42858,veh9,cpm_reaction,11,6420,18446744073709551615,0.965757,-1,1,1,11
6.92858,veh9,cpm_reaction,11,6920,18446744073709551615,0.273309,-1,1,1,11
16.0273,veh9,cam_reaction,2,16023,18446744073709551615,40.0341,0,1,1,11
17.0273,veh9,cam_reaction,2,17023,18446744073709551615,29.2532,0,1,1,11
18.0433,veh9,cam_reaction,2,18023,18446744073709551615,18.3179,0,1,1,11
19.0343,veh9,cam_reaction,2,19023,18446744073709551615,7.95461,0,1,1,11
20.0343,veh9,cam_reaction,2,20023,18446744073709551615,4.57191,0,1,1,11
20.8693,veh9,cpm_reaction,4,20855,18446744073709551615,1.10768,-1,1,1,11
21.5693,veh9,cpm_reaction,4,21555,18446744073709551615,0.0598532,-1,1,1,11
22.4806,veh9,cpm_reaction,10,22470,18446744073709551615,0.311632,-1,1,1,11
22.9806,veh9,cpm_reaction,10,22970,18446744073709551615,0.304687,-1,1,1,11
23.5646,veh9,cpm_reaction,4,23555,18446744073709551615,0.737789,-1,1,1,11
24.0646,veh9,cpm_reaction,4,24055,18446744073709551615,8.37742,-1,1,1,11
24.5828,veh9,cpm_reaction,10,24570,18446744073709551615,2.61942,-1,1,1,11
25.2628,veh9,cpm_reaction,4,25255,18446744073709551615,1.53664,-1,1,1,11
25.7628,veh9,cpm_reaction,4,25755,18446744073709551615,1.58329,-1,1,1,11
26.4658,veh9,cpm_reaction,4,26455,18446744073709551615,1.54255,-1,1,1,11
27.1206,veh9,cpm_reaction,6,27115,18446744073709551615,0.331181,-1,1,1,11
27.7206,veh9,cpm_reaction,6,27715,18446744073709551615,0.995817,-1,1,1,11
29.0388,veh9,cpm_reaction,11,29020,18446744073709551615,0.165885,-1,1,1,11
29.8261,veh9,cpm_reaction,6,29815,18446744073709551615,0.333349,-1,1,1,11
