pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
132,2.01608,CAM_DROP_PHY,2007,5,9.0,2.01608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
149,2.02333,CAM_DROP_PHY,2019,4,9.0,2.02333,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
196,2.05958,CAM_DROP_PHY,2052,6,9.0,2.05958,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
264,2.13408,CAM_DROP_PHY,2131,8,9.0,2.13408,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
269,2.14283,CAM_DROP_PHY,2133,3,9.0,2.14283,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
278,2.14908,CAM_DROP_PHY,2142,7,9.0,2.14908,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
301,2.15458,CAM_DROP_PHY,2152,6,9.0,2.15458,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
333,2.19008,CAM_DROP_PHY,2179,10,9.0,2.19008,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
359,2.21233,CAM_DROP_PHY,2196,2,9.0,2.21233,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
371,2.21608,CAM_DROP_PHY,2207,5,9.0,2.21608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
391,2.22333,CAM_DROP_PHY,2219,4,9.0,2.22333,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
499,2.33408,CAM_DROP_PHY,2331,8,9.0,2.33408,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
504,2.34283,CAM_DROP_PHY,2333,3,9.0,2.34283,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
512,2.34908,CAM_DROP_PHY,2342,7,9.0,2.34908,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
535,2.35458,CAM_DROP_PHY,2352,6,9.0,2.35458,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
561,2.39008,CAM_DROP_PHY,2379,10,9.0,2.39008,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
574,2.41233,CAM_DROP_PHY,2396,2,9.0,2.41233,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
586,2.41608,CAM_DROP_PHY,2407,5,9.0,2.41608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
610,2.42333,CAM_DROP_PHY,2419,4,9.0,2.42333,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
718,2.53408,CAM_DROP_PHY,2531,8,9.0,2.53408,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
723,2.54283,CAM_DROP_PHY,2533,3,9.0,2.54283,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
793,2.59008,CAM_DROP_PHY,2579,10,9.0,2.59008,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
807,2.61233,CAM_DROP_PHY,2596,2,9.0,2.61233,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
818,2.61608,CAM_DROP_PHY,2607,5,9.0,2.61608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
809,2.61733,CAM_DROP_PHY,2598,11,9.0,2.61733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
840,2.62333,CAM_DROP_PHY,2619,4,9.0,2.62333,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
869,2.64733,CAM_DROP_PHY,2633,3,9.0,2.64733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
953,2.71608,CAM_DROP_PHY,2707,5,9.0,2.71608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
949,2.71733,CAM_DROP_PHY,2698,11,9.0,2.71733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
988,2.73408,CAM_DROP_PHY,2731,8,9.0,2.73408,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
994,2.74733,CAM_DROP_PHY,2733,3,9.0,2.74733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1004,2.75483,CAM_DROP_PHY,2742,7,9.0,2.75483,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1023,2.76733,CAM_DROP_PHY,2752,6,9.0,2.76733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1062,2.79008,CAM_DROP_PHY,2779,10,9.0,2.79008,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1079,2.80308,CAM_DROP_PHY,2796,2,9.0,2.80308,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1092,2.81608,CAM_DROP_PHY,2807,5,9.0,2.81608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1081,2.81733,CAM_DROP_PHY,2798,11,9.0,2.81733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1114,2.83633,CAM_DROP_PHY,2819,4,9.0,2.83633,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1135,2.84733,CAM_DROP_PHY,2833,3,9.0,2.84733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1216,2.91608,CAM_DROP_PHY,2907,5,9.0,2.91608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1211,2.91733,CAM_DROP_PHY,2898,11,9.0,2.91733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1251,2.93408,CAM_DROP_PHY,2931,8,9.0,2.93408,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1256,2.94733,CAM_DROP_PHY,2933,3,9.0,2.94733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1266,2.95483,CAM_DROP_PHY,2942,7,9.0,2.95483,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1284,2.96733,CAM_DROP_PHY,2952,6,9.0,2.96733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1332,3.00283,CAM_DROP_PHY,3001,12,9.0,3.00283,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1329,3.00308,CAM_DROP_PHY,2996,2,9.0,3.00308,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1341,3.01608,CAM_DROP_PHY,3007,5,9.0,3.01608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1331,3.01733,CAM_DROP_PHY,2998,11,9.0,3.01733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1364,3.03633,CAM_DROP_PHY,3019,4,9.0,3.03633,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1385,3.04733,CAM_DROP_PHY,3033,3,9.0,3.04733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1446,3.09008,CAM_DROP_PHY,3079,10,9.0,3.09008,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1470,3.11608,CAM_DROP_PHY,3107,5,9.0,3.11608,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1461,3.11733,CAM_DROP_PHY,3098,11,9.0,3.11733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1497,3.13408,CAM_DROP_PHY,3131,8,9.0,3.13408,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1502,3.14733,CAM_DROP_PHY,3133,3,9.0,3.14733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1512,3.15483,CAM_DROP_PHY,3142,7,9.0,3.15483,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1530,3.16733,CAM_DROP_PHY,3152,6,9.0,3.16733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1587,3.20308,CAM_DROP_PHY,3196,2,9.0,3.20308,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1599,3.20833,CAM_DROP_PHY,3207,5,9.0,3.20833,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1618,3.23633,CAM_DROP_PHY,3219,4,9.0,3.23633,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1629,3.24733,CAM_DROP_PHY,3233,3,9.0,3.24733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1632,3.25383,CAM_DROP_PHY,3242,7,9.0,3.25383,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1692,3.28758,CAM_DROP_PHY,3279,10,9.0,3.28758,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1711,3.30283,CAM_DROP_PHY,3301,12,9.0,3.30283,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1721,3.30833,CAM_DROP_PHY,3307,5,9.0,3.30833,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1753,3.34733,CAM_DROP_PHY,3333,3,9.0,3.34733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1751,3.34958,CAM_DROP_PHY,3331,8,9.0,3.34958,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1762,3.35383,CAM_DROP_PHY,3342,7,9.0,3.35383,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1777,3.36733,CAM_DROP_PHY,3352,6,9.0,3.36733,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1816,3.38758,CAM_DROP_PHY,3379,10,9.0,3.38758,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1837,3.40308,CAM_DROP_PHY,3396,2,9.0,3.40308,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1848,3.40833,CAM_DROP_PHY,3407,5,9.0,3.40833,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1866,3.43008,CAM_DROP_PHY,3419,4,9.0,3.43008,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
1895,3.45383,CAM_DROP_PHY,3442,7,9.0,3.45383,drop_decision_no_action,-1,-1,-1,veh9,0.0,False
