time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.03608,veh8,cpm_reaction,5,2022,18446744073709551615,0.417166,-1,0,1,45
2.53608,veh8,cpm_reaction,5,2522,18446744073709551615,0.708108,-1,1,1,15
3.05483,veh8,cpm_reaction,7,3035,18446744073709551615,0.707555,-1,1,1,15
3.66883,veh8,cpm_reaction,9,3662,18446744073709551615,1.34986,-1,1,1,15
4.26883,veh8,cpm_reaction,9,4262,18446744073709551615,2.23115,-1,1,1,15
4.87133,veh8,cpm_reaction,9,4862,18446744073709551615,1.37315,-1,1,1,15
5.44133,veh8,cpm_reaction,5,5422,18446744073709551615,0.915903,-1,1,1,15
6.04308,veh8,cpm_reaction,5,6022,18446744073709551615,1.21585,-1,1,1,15
6.54458,veh8,cpm_reaction,7,6535,18446744073709551615,0.666812,-1,1,1,15
7.07708,veh8,cpm_reaction,9,7062,18446744073709551615,0.437285,-1,1,1,15
7.67708,veh8,cpm_reaction,9,7662,18446744073709551615,0.335095,-1,1,1,15
8.25008,veh8,cpm_reaction,7,8235,18446744073709551615,0.673444,-1,1,1,15
8.77783,veh8,cpm_reaction,6,8761,18446744073709551615,0.934275,-1,1,1,15
9.37583,veh8,cpm_reaction,9,9362,18446744073709551615,1.25037,-1,1,1,15
9.97583,veh8,cpm_reaction,9,9962,18446744073709551615,1.0283,-1,1,1,15
10.4791,veh8,cpm_reaction,9,10462,18446744073709551615,0.83341,-1,1,1,15
11.1653,veh8,cpm_reaction,7,11135,18446744073709551615,0.347332,-1,1,1,15
11.7741,veh8,cpm_reaction,9,11762,18446744073709551615,0.444506,-1,1,1,15
12.5506,veh8,cpm_reaction,7,12535,18446744073709551615,0.492196,-1,1,1,15
