vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh7,347,0.347587,,0,CAM,7,,347,-1
veh7,547,0.547587,,0,CAM,7,,547,-1
veh7,747,0.747587,,0,CAM,7,,747,-1
veh7,947,0.947587,,0,CAM,7,,947,-1
veh7,1147,1.14759,,0,CAM,7,,1147,-1
veh7,1347,1.34759,,0,CAM,7,,1347,-1
veh7,1547,1.54759,,0,CAM,7,,1547,-1
veh7,1747,1.74759,,0,CAM,7,,1747,-1
veh7,1947,1.94759,,0,CAM,7,,1947,-1
veh7,2004,,2.00733,1,CAM,11,7,2004,-1
veh7,2034,,2.03758,1,CAM,2,7,2034,-1
veh7,2036,,2.04033,1,CAM,5,7,2036,-1
veh7,2056,,2.06533,1,CAM,10,7,2056,-1
veh7,2071,,2.08683,1,CAM,3,7,2071,-1
veh7,2084,,2.09308,1,CAM,6,7,2084,-1
veh7,2104,,2.10733,1,CAM,11,7,2104,-1
veh7,2147,2.14759,,0,CAM,7,,2147,-1
veh7,2204,,2.20733,1,CAM,11,7,2204,-1
veh7,2234,,2.23758,1,CAM,2,7,2234,-1
veh7,2236,,2.24033,1,CAM,5,7,2236,-1
veh7,2256,,2.26533,1,CAM,10,7,2256,-1
veh7,2271,,2.28683,1,CAM,3,7,2271,-1
veh7,2284,,2.29308,1,CAM,6,7,2284,-1
veh7,2304,,2.30733,1,CAM,11,7,2304,-1
veh7,2347,2.34759,,0,CAM,7,,2347,-1
veh7,2404,,2.40733,1,CAM,11,7,2404,-1
veh7,2434,,2.43758,1,CAM,2,7,2434,-1
veh7,2436,,2.44033,1,CAM,5,7,2436,-1
veh7,2456,,2.46533,1,CAM,10,7,2456,-1
veh7,2471,,2.48683,1,CAM,3,7,2471,-1
veh7,2484,,2.49308,1,CAM,6,7,2484,-1
veh7,2547,2.54759,,0,CAM,7,,2547,-1
veh7,2604,,2.60733,1,CAM,11,7,2604,-1
veh7,2634,,2.63758,1,CAM,2,7,2634,-1
veh7,2636,,2.64033,1,CAM,5,7,2636,-1
veh7,2656,,2.66533,1,CAM,10,7,2656,-1
veh7,2671,,2.69133,1,CAM,3,7,2671,-1
veh7,2684,,2.69308,1,CAM,6,7,2684,-1
veh7,2736,,2.74033,1,CAM,5,7,2736,-1
veh7,2747,2.74759,,0,CAM,7,,2747,-1
veh7,2771,,2.79133,1,CAM,3,7,2771,-1
veh7,2783,,2.80258,1,CAM,12,7,2783,-1
veh7,2804,,2.80733,1,CAM,11,7,2804,-1
veh7,2834,,2.83758,1,CAM,2,7,2834,-1
veh7,2836,,2.85333,1,CAM,5,7,2836,-1
veh7,2856,,2.86533,1,CAM,10,7,2856,-1
veh7,2884,,2.88533,1,CAM,6,7,2884,-1
veh7,2871,,2.89133,1,CAM,3,7,2871,-1
veh7,2883,,2.90258,1,CAM,12,7,2883,-1
veh7,2947,2.94759,,0,CAM,7,,2947,-1
veh7,2971,,2.99133,1,CAM,3,7,2971,-1
veh7,2983,,3.00258,1,CAM,12,7,2983,-1
veh7,3004,,3.02283,1,CAM,11,7,3004,-1
veh7,3034,,3.03758,1,CAM,2,7,3034,-1
veh7,3084,,3.08533,1,CAM,6,7,3084,-1
veh7,3071,,3.09133,1,CAM,3,7,3071,-1
veh7,3083,,3.10258,1,CAM,12,7,3083,-1
veh7,3147,3.14759,,0,CAM,7,,3147,-1
veh7,3036,,3.15333,1,CAM,5,7,3036,-1
veh7,3136,,3.15333,1,CAM,5,7,3136,-1
veh7,3156,,3.17558,1,CAM,10,7,3156,-1
veh7,3171,,3.19133,1,CAM,3,7,3171,-1
veh7,3183,,3.20258,1,CAM,12,7,3183,-1
veh7,3204,,3.22283,1,CAM,11,7,3204,-1
veh7,3234,,3.23758,1,CAM,2,7,3234,-1
veh7,3247,3.24759,,0,CAM,7,,3247,-1
veh7,3236,,3.25333,1,CAM,5,7,3236,-1
veh7,3256,,3.27558,1,CAM,10,7,3256,-1
veh7,3284,,3.28533,1,CAM,6,7,3284,-1
veh7,3271,,3.29133,1,CAM,3,7,3271,-1
veh7,3347,3.34759,,0,CAM,7,,3347,-1
veh7,3336,,3.35333,1,CAM,5,7,3336,-1
veh7,3356,,3.37558,1,CAM,10,7,3356,-1
veh7,3371,,3.39133,1,CAM,3,7,3371,-1
veh7,3404,,3.42283,1,CAM,11,7,3404,-1
veh7,3434,,3.43758,1,CAM,2,7,3434,-1
veh7,3447,3.44759,,0,CAM,7,,3447,-1
veh7,3456,,3.47558,1,CAM,10,7,3456,-1
veh7,3484,,3.48533,1,CAM,6,7,3484,-1
veh7,3483,,3.50008,1,CAM,12,7,3483,-1
veh7,3547,3.54759,,0,CAM,7,,3547,-1
veh7,3536,,3.55333,1,CAM,5,7,3536,-1
veh7,3556,,3.57458,1,CAM,10,7,3556,-1
veh7,3571,,3.59133,1,CAM,3,7,3571,-1
veh7,3604,,3.62283,1,CAM,11,7,3604,-1
veh7,3647,3.64759,,0,CAM,7,,3647,-1
veh7,3634,,3.64833,1,CAM,2,7,3634,-1
veh7,3656,,3.67458,1,CAM,10,7,3656,-1
veh7,3684,,3.70083,1,CAM,6,7,3684,-1
veh7,3736,,3.74708,1,CAM,5,7,3736,-1
veh7,3747,3.74759,,0,CAM,7,,3747,-1
veh7,3756,,3.77458,1,CAM,10,7,3756,-1
veh7,3771,,3.79133,1,CAM,3,7,3771,-1
