pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
133,2.01008,CPM_DROP_PHY,2008,10,4.0,2.01008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
138,2.01233,CPM_DROP_PHY,2010,2,4.0,2.01233,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
132,2.01608,CAM_DROP_PHY,2007,5,4.0,2.01608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
154,2.03608,CPM_DROP_PHY,2022,5,4.0,2.03608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
171,2.04283,CPM_DROP_PHY,2035,3,4.0,2.04283,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
172,2.04908,CPM_DROP_PHY,2035,7,4.0,2.04908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
196,2.05458,CAM_DROP_PHY,2052,6,4.0,2.05458,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
194,2.06358,CAM_DROP_PHY,2050,9,4.0,2.06358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
246,2.11008,CPM_DROP_PHY,2108,10,4.0,2.11008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
264,2.13408,CAM_DROP_PHY,2131,8,4.0,2.13408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
257,2.13608,CPM_DROP_PHY,2122,5,4.0,2.13608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
269,2.14283,CAM_DROP_PHY,2133,3,4.0,2.14283,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
269,2.14283,CPM_DROP_PHY,2135,3,4.0,2.14283,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
273,2.14908,CPM_DROP_PHY,2135,7,4.0,2.14908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
273,2.14908,CAM_DROP_PHY,2142,7,4.0,2.14908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
302,2.15458,CAM_DROP_PHY,2152,6,4.0,2.15458,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
318,2.17458,CPM_DROP_PHY,2161,6,4.0,2.17458,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
334,2.19008,CAM_DROP_PHY,2179,10,4.0,2.19008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
343,2.20708,CPM_DROP_PHY,2186,8,4.0,2.20708,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
374,2.21008,CPM_DROP_PHY,2208,10,4.0,2.21008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
360,2.21233,CAM_DROP_PHY,2196,2,4.0,2.21233,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
372,2.21608,CAM_DROP_PHY,2207,5,4.0,2.21608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
398,2.23608,CPM_DROP_PHY,2222,5,4.0,2.23608,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
419,2.24283,CPM_DROP_PHY,2235,3,4.0,2.24283,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
420,2.24908,CPM_DROP_PHY,2235,7,4.0,2.24908,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
442,2.25458,CAM_DROP_PHY,2250,9,4.0,2.25458,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
457,2.27458,CPM_DROP_PHY,2262,9,4.0,2.27458,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
497,2.31008,CPM_DROP_PHY,2308,10,4.0,2.31008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
