time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.02608,veh4,drop_decision_no_action,3,2018,39,-1,-1,-1,-1,-1
2.02683,veh4,drop_decision_no_action,2,2025,40,-1,-1,-1,-1,-1
2.08583,veh4,drop_decision_no_action,5,2076,61,-1,-1,-1,-1,-1
2.08608,veh4,drop_decision_no_action,3,2081,62,-1,-1,-1,-1,-1
2.10583,veh4,drop_decision_no_action,5,2087,70,-1,-1,-1,-1,-1
2.12608,veh4,drop_decision_no_action,3,2118,100,-1,-1,-1,-1,-1
2.18583,veh4,drop_decision_no_action,5,2176,120,-1,-1,-1,-1,-1
2.18608,veh4,drop_decision_no_action,3,2181,122,-1,-1,-1,-1,-1
2.20583,veh4,drop_decision_no_action,5,2187,130,-1,-1,-1,-1,-1
2.22608,veh4,drop_decision_no_action,3,2218,161,-1,-1,-1,-1,-1
2.22683,veh4,drop_decision_no_action,2,2225,164,-1,-1,-1,-1,-1
2.28583,veh4,drop_decision_no_action,5,2276,200,-1,-1,-1,-1,-1
2.30583,veh4,drop_decision_no_action,5,2287,210,-1,-1,-1,-1,-1
2.32608,veh4,drop_decision_no_action,3,2318,229,-1,-1,-1,-1,-1
2.38583,veh4,drop_decision_no_action,5,2376,255,-1,-1,-1,-1,-1
2.38608,veh4,drop_decision_no_action,3,2381,257,-1,-1,-1,-1,-1
2.40583,veh4,drop_decision_no_action,5,2387,267,-1,-1,-1,-1,-1
2.42608,veh4,drop_decision_no_action,3,2418,299,-1,-1,-1,-1,-1
2.42683,veh4,drop_decision_no_action,2,2425,303,-1,-1,-1,-1,-1
2.48583,veh4,drop_decision_no_action,5,2476,333,-1,-1,-1,-1,-1
2.50583,veh4,drop_decision_no_action,5,2487,342,-1,-1,-1,-1,-1
2.58583,veh4,drop_decision_no_action,5,2576,384,-1,-1,-1,-1,-1
2.62608,veh4,drop_decision_no_action,3,2618,418,-1,-1,-1,-1,-1
2.62683,veh4,drop_decision_no_action,2,2625,422,-1,-1,-1,-1,-1
2.68583,veh4,drop_decision_no_action,5,2676,463,-1,-1,-1,-1,-1
2.70583,veh4,drop_decision_no_action,5,2687,472,-1,-1,-1,-1,-1
2.73058,veh4,drop_decision_no_action,3,2718,501,-1,-1,-1,-1,-1
2.74683,veh4,drop_decision_no_action,2,2740,517,-1,-1,-1,-1,-1
2.78583,veh4,drop_decision_no_action,5,2776,546,-1,-1,-1,-1,-1
2.80983,veh4,drop_decision_no_action,6,2807,569,-1,-1,-1,-1,-1
2.81983,veh4,drop_decision_no_action,7,2817,585,-1,-1,-1,-1,-1
2.82683,veh4,drop_decision_no_action,2,2825,596,-1,-1,-1,-1,-1
