vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh5,1787,1.7879,,0,CAM,5,,1787,-1
veh5,1987,1.9879,,0,CAM,5,,1987,-1
veh5,2018,,2.02608,1,CAM,3,5,2018,-1
veh5,2025,,2.02683,1,CAM,2,5,2025,-1
veh5,2087,2.0879,,0,CAM,5,,2087,-1
veh5,2118,,2.12608,1,CAM,3,5,2118,-1
veh5,2187,2.1879,,0,CAM,5,,2187,-1
veh5,2199,,2.20358,1,CAM,4,5,2199,-1
veh5,2218,,2.22608,1,CAM,3,5,2218,-1
veh5,2225,,2.22683,1,CAM,2,5,2225,-1
veh5,2287,2.2879,,0,CAM,5,,2287,-1
veh5,2318,,2.32608,1,CAM,3,5,2318,-1
veh5,2387,2.3879,,0,CAM,5,,2387,-1
veh5,2399,,2.40358,1,CAM,4,5,2399,-1
veh5,2418,,2.42608,1,CAM,3,5,2418,-1
veh5,2425,,2.42683,1,CAM,2,5,2425,-1
veh5,2487,2.4879,,0,CAM,5,,2487,-1
veh5,2599,,2.60358,1,CAM,4,5,2599,-1
veh5,2618,,2.62608,1,CAM,3,5,2618,-1
veh5,2625,,2.62683,1,CAM,2,5,2625,-1
veh5,2687,2.6879,,0,CAM,5,,2687,-1
veh5,2699,,2.70358,1,CAM,4,5,2699,-1
veh5,2718,,2.73058,1,CAM,3,5,2718,-1
veh5,2799,,2.80358,1,CAM,4,5,2799,-1
veh5,2807,,2.80983,1,CAM,6,5,2807,-1
veh5,2817,,2.81983,1,CAM,7,5,2817,-1
veh5,2825,,2.82683,1,CAM,2,5,2825,-1
veh5,2818,,2.83058,1,CAM,3,5,2818,-1
veh5,2865,,2.87258,1,CAM,9,5,2865,-1
veh5,2887,2.8879,,0,CAM,5,,2887,-1
veh5,2907,,2.90983,1,CAM,6,5,2907,-1
veh5,2899,,2.91658,1,CAM,4,5,2899,-1
veh5,2917,,2.91983,1,CAM,7,5,2917,-1
veh5,2918,,2.93058,1,CAM,3,5,2918,-1
veh5,2987,2.9879,,0,CAM,5,,2987,-1
veh5,3003,,3.00383,1,CAM,8,5,3003,-1
veh5,3007,,3.00983,1,CAM,6,5,3007,-1
veh5,2999,,3.01658,1,CAM,4,5,2999,-1
veh5,3017,,3.01983,1,CAM,7,5,3017,-1
veh5,3025,,3.02683,1,CAM,2,5,3025,-1
veh5,3018,,3.03058,1,CAM,3,5,3018,-1
veh5,3065,,3.07258,1,CAM,9,5,3065,-1
veh5,3087,3.0879,,0,CAM,5,,3087,-1
veh5,3107,,3.10983,1,CAM,6,5,3107,-1
