pkt_uid,drop_time_s,drop_type,msg_seq,tx_id,rx_id,decision_time_s,decision_event_type,lane_before,lane_after,target_speed_mps,vehicle_id,decision_delay_s,lane_change
116,2.01033,CAM_DROP_PHY,2001,3,4.0,2.01033,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
124,2.02358,CPM_DROP_PHY,2015,6,4.0,2.02358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
126,2.02433,CPM_DROP_PHY,2020,11,4.0,2.02433,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
137,2.03408,CPM_DROP_PHY,2030,7,4.0,2.03408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
149,2.03958,CAM_DROP_PHY,2037,9,4.0,2.03958,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
144,2.04358,CAM_DROP_PHY,2034,6,4.0,2.04358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
175,2.05933,CAM_DROP_PHY,2057,12,4.0,2.05933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
185,2.07358,CPM_DROP_PHY,2070,10,4.0,2.07358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
174,2.07408,CAM_DROP_PHY,2055,7,4.0,2.07408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
197,2.08858,CPM_DROP_PHY,2079,8,4.0,2.08858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
197,2.08858,CAM_DROP_PHY,2084,8,4.0,2.08858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
209,2.09008,CAM_DROP_PHY,2086,5,4.0,2.09008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
216,2.09033,CPM_DROP_PHY,2088,3,4.0,2.09033,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
231,2.09683,CPM_DROP_PHY,2095,2,4.0,2.09683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
198,2.09958,CPM_DROP_PHY,2081,9,4.0,2.09958,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
245,2.11033,CAM_DROP_PHY,2101,3,4.0,2.11033,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
272,2.12358,CPM_DROP_PHY,2115,6,4.0,2.12358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
277,2.12433,CPM_DROP_PHY,2120,11,4.0,2.12433,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
281,2.13683,CAM_DROP_PHY,2123,2,4.0,2.13683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
301,2.14358,CAM_DROP_PHY,2134,6,4.0,2.14358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
309,2.14433,CAM_DROP_PHY,2138,11,4.0,2.14433,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
342,2.17358,CAM_DROP_PHY,2155,10,4.0,2.17358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
364,2.18858,CAM_DROP_PHY,2184,8,4.0,2.18858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
366,2.19008,CAM_DROP_PHY,2186,5,4.0,2.19008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
360,2.19958,CPM_DROP_PHY,2181,9,4.0,2.19958,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
392,2.21033,CAM_DROP_PHY,2201,3,4.0,2.21033,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
415,2.22358,CPM_DROP_PHY,2215,6,4.0,2.22358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
437,2.23958,CAM_DROP_PHY,2237,9,4.0,2.23958,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
432,2.24358,CAM_DROP_PHY,2234,6,4.0,2.24358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
466,2.25933,CAM_DROP_PHY,2257,12,4.0,2.25933,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
463,2.27358,CAM_DROP_PHY,2255,10,4.0,2.27358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
464,2.27408,CAM_DROP_PHY,2255,7,4.0,2.27408,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
502,2.28858,CAM_DROP_PHY,2284,8,4.0,2.28858,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
507,2.29008,CAM_DROP_PHY,2286,5,4.0,2.29008,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
532,2.31033,CAM_DROP_PHY,2301,3,4.0,2.31033,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
554,2.32433,CPM_DROP_PHY,2320,11,4.0,2.32433,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
556,2.33683,CAM_DROP_PHY,2323,2,4.0,2.33683,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
574,2.34358,CAM_DROP_PHY,2334,6,4.0,2.34358,drop_decision_no_action,-1,-1,-1,veh4,0.0,False
