time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.13683,veh6,cam_reaction,2,2123,18446744073709551615,26.7723,0,1,1,11
2.73683,veh6,cam_reaction,2,2723,18446744073709551615,29.1098,0,1,1,11
3.32758,veh6,cam_reaction,2,3323,18446744073709551615,33.8796,0,1,1,11
3.92508,veh6,cam_reaction,2,3923,18446744073709551615,40.7294,0,1,1,11
10.0341,veh6,cam_reaction,2,10023,18446744073709551615,41.578,0,1,1,11
11.0298,veh6,cam_reaction,2,11023,18446744073709551615,28.3208,0,1,1,11
12.0298,veh6,cam_reaction,2,12023,18446744073709551615,17.6068,0,1,1,11
13.0423,veh6,cam_reaction,2,13023,18446744073709551615,6.9975,0,1,1,11
14.0428,veh6,cam_reaction,2,14023,18446744073709551615,5.40409,0,1,1,11
15.0271,veh6,cam_reaction,2,15023,18446744073709551615,15.3846,0,1,1,11
16.0273,veh6,cam_reaction,2,16023,18446744073709551615,26.0745,0,1,1,11
17.0273,veh6,cam_reaction,2,17023,18446744073709551615,36.836,0,1,1,11
