vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh9,1637,1.63718,,0,CAM,9,,1637,-1
veh9,1837,1.83718,,0,CAM,9,,1837,-1
veh9,2001,,2.01033,1,CAM,3,9,2001,-1
veh9,2037,2.03718,,0,CAM,9,,2037,-1
veh9,2034,,2.04358,1,CAM,6,9,2034,-1
veh9,2057,,2.05933,1,CAM,12,9,2057,-1
veh9,2055,,2.07408,1,CAM,7,9,2055,-1
veh9,2084,,2.08858,1,CAM,8,9,2084,-1
veh9,2086,,2.09008,1,CAM,5,9,2086,-1
veh9,2101,,2.11033,1,CAM,3,9,2101,-1
veh9,2128,,2.13008,1,CAM,4,9,2128,-1
veh9,2123,,2.13683,1,CAM,2,9,2123,-1
veh9,2134,,2.14358,1,CAM,6,9,2134,-1
veh9,2138,,2.14433,1,CAM,11,9,2138,-1
veh9,2155,,2.17358,1,CAM,10,9,2155,-1
veh9,2184,,2.18858,1,CAM,8,9,2184,-1
veh9,2186,,2.19008,1,CAM,5,9,2186,-1
veh9,2201,,2.21033,1,CAM,3,9,2201,-1
veh9,2237,2.23718,,0,CAM,9,,2237,-1
veh9,2234,,2.24358,1,CAM,6,9,2234,-1
veh9,2257,,2.25933,1,CAM,12,9,2257,-1
veh9,2255,,2.27358,1,CAM,10,9,2255,-1
veh9,2255,,2.27408,1,CAM,7,9,2255,-1
veh9,2284,,2.28858,1,CAM,8,9,2284,-1
veh9,2286,,2.29008,1,CAM,5,9,2286,-1
veh9,2301,,2.31033,1,CAM,3,9,2301,-1
veh9,2328,,2.33008,1,CAM,4,9,2328,-1
veh9,2323,,2.33683,1,CAM,2,9,2323,-1
veh9,2334,,2.34358,1,CAM,6,9,2334,-1
veh9,2338,,2.34433,1,CAM,11,9,2338,-1
veh9,2355,,2.37358,1,CAM,10,9,2355,-1
veh9,2384,,2.38858,1,CAM,8,9,2384,-1
veh9,2386,,2.39008,1,CAM,5,9,2386,-1
veh9,2401,,2.41033,1,CAM,3,9,2401,-1
veh9,2437,2.43718,,0,CAM,9,,2437,-1
veh9,2434,,2.44358,1,CAM,6,9,2434,-1
veh9,2457,,2.45933,1,CAM,12,9,2457,-1
veh9,2455,,2.47358,1,CAM,10,9,2455,-1
veh9,2455,,2.47408,1,CAM,7,9,2455,-1
veh9,2486,,2.49008,1,CAM,5,9,2486,-1
veh9,2501,,2.51033,1,CAM,3,9,2501,-1
veh9,2528,,2.53008,1,CAM,4,9,2528,-1
veh9,2523,,2.53683,1,CAM,2,9,2523,-1
veh9,2534,,2.54358,1,CAM,6,9,2534,-1
veh9,2538,,2.54433,1,CAM,11,9,2538,-1
veh9,2555,,2.57358,1,CAM,10,9,2555,-1
veh9,2555,,2.57408,1,CAM,7,9,2555,-1
veh9,2584,,2.58858,1,CAM,8,9,2584,-1
veh9,2586,,2.59008,1,CAM,5,9,2586,-1
veh9,2637,2.63718,,0,CAM,9,,2637,-1
veh9,2634,,2.64358,1,CAM,6,9,2634,-1
veh9,2657,,2.65933,1,CAM,12,9,2657,-1
veh9,2655,,2.67408,1,CAM,7,9,2655,-1
veh9,2686,,2.68708,1,CAM,5,9,2686,-1
veh9,2701,,2.71033,1,CAM,3,9,2701,-1
veh9,2728,,2.73008,1,CAM,4,9,2728,-1
veh9,2723,,2.73683,1,CAM,2,9,2723,-1
