time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.03408,veh6,cpm_reaction,7,2030,18446744073709551615,1.21126,-1,1,1,11
2.53683,veh6,cam_reaction,2,2523,18446744073709551615,28.3633,0,1,1,11
3.12758,veh6,cam_reaction,2,3123,18446744073709551615,32.7557,0,1,1,11
3.72758,veh6,cam_reaction,2,3723,18446744073709551615,39.2633,0,1,1,11
4.27308,veh6,cpm_reaction,4,4255,18446744073709551615,0.0216183,-1,1,1,11
4.77308,veh6,cpm_reaction,4,4755,18446744073709551615,1.03262,-1,1,1,11
5.46358,veh6,cpm_reaction,4,5455,18446744073709551615,0.221396,-1,1,1,11
5.96358,veh6,cpm_reaction,4,5955,18446744073709551615,0.433478,-1,1,1,11
6.46358,veh6,cpm_reaction,4,6455,18446744073709551615,1.04995,-1,1,1,11
7.06583,veh6,cpm_reaction,4,7055,18446744073709551615,0.971896,-1,1,1,11
7.59483,veh6,cpm_reaction,3,7588,18446744073709551615,0.157037,-1,1,1,11
8.15758,veh6,cpm_reaction,4,8155,18446744073709551615,0.726913,-1,1,1,11
8.69033,veh6,cpm_reaction,3,8688,18446744073709551615,0.190721,-1,1,1,11
9.27458,veh6,cpm_reaction,4,9155,18446744073709551615,0.182915,-1,1,1,11
10.5998,veh6,cpm_reaction,3,10488,18446744073709551615,0.840821,-1,1,1,11
12.0298,veh6,cam_reaction,2,12023,18446744073709551615,35.6586,0,1,1,11
13.0423,veh6,cam_reaction,2,13023,18446744073709551615,24.6958,0,1,1,11
14.0428,veh6,cam_reaction,2,14023,18446744073709551615,14.0319,0,1,1,11
15.0271,veh6,cam_reaction,2,15023,18446744073709551615,4.32746,0,1,1,11
16.0273,veh6,cam_reaction,2,16023,18446744073709551615,8.25931,0,1,1,11
16.8593,veh6,cpm_reaction,4,16855,18446744073709551615,0.271567,-1,1,1,11
17.3748,veh6,cpm_reaction,4,17355,18446744073709551615,0.36246,-1,1,1,11
17.8758,veh6,cpm_reaction,4,17855,18446744073709551615,1.02575,-1,1,1,11
18.9726,veh6,cpm_reaction,4,18955,18446744073709551615,1.04489,-1,1,1,11
19.5016,veh6,cpm_reaction,3,19488,18446744073709551615,0.181981,-1,1,1,11
20.0573,veh6,cpm_reaction,4,20055,18446744073709551615,0.587833,-1,1,1,11
20.5996,veh6,cpm_reaction,3,20588,18446744073709551615,9.89604,-1,1,1,11
21.1693,veh6,cpm_reaction,4,21155,18446744073709551615,13.7409,-1,1,1,11
21.7693,veh6,cpm_reaction,4,21755,18446744073709551615,1.9408,-1,1,1,11
22.3651,veh6,cpm_reaction,4,22355,18446744073709551615,1.7594,-1,1,1,11
23.1678,veh6,cpm_reaction,4,23155,18446744073709551615,1.11813,-1,1,1,11
26.2923,veh6,cpm_reaction,3,26288,18446744073709551615,0.266554,-1,1,1,11
