vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh10,1155,1.15585,,0,CAM,10,,1155,-1
veh10,1355,1.35585,,0,CAM,10,,1355,-1
veh10,1555,1.55585,,0,CAM,10,,1555,-1
veh10,1755,1.75585,,0,CAM,10,,1755,-1
veh10,1955,1.95585,,0,CAM,10,,1955,-1
veh10,2001,,2.01033,1,CAM,3,10,2001,-1
veh10,2037,,2.03958,1,CAM,9,10,2037,-1
veh10,2034,,2.04358,1,CAM,6,10,2034,-1
veh10,2057,,2.05933,1,CAM,12,10,2057,-1
veh10,2055,,2.07408,1,CAM,7,10,2055,-1
veh10,2084,,2.08858,1,CAM,8,10,2084,-1
veh10,2086,,2.09008,1,CAM,5,10,2086,-1
veh10,2101,,2.11033,1,CAM,3,10,2101,-1
veh10,2128,,2.13008,1,CAM,4,10,2128,-1
veh10,2123,,2.13683,1,CAM,2,10,2123,-1
veh10,2134,,2.14358,1,CAM,6,10,2134,-1
veh10,2138,,2.14433,1,CAM,11,10,2138,-1
veh10,2155,2.15585,,0,CAM,10,,2155,-1
veh10,2184,,2.18858,1,CAM,8,10,2184,-1
veh10,2186,,2.19008,1,CAM,5,10,2186,-1
veh10,2201,,2.21033,1,CAM,3,10,2201,-1
veh10,2237,,2.23958,1,CAM,9,10,2237,-1
veh10,2234,,2.24358,1,CAM,6,10,2234,-1
veh10,2255,2.25585,,0,CAM,10,,2255,-1
veh10,2257,,2.25933,1,CAM,12,10,2257,-1
veh10,2255,,2.27408,1,CAM,7,10,2255,-1
veh10,2284,,2.28858,1,CAM,8,10,2284,-1
veh10,2286,,2.29008,1,CAM,5,10,2286,-1
veh10,2301,,2.31033,1,CAM,3,10,2301,-1
veh10,2328,,2.33008,1,CAM,4,10,2328,-1
veh10,2323,,2.33683,1,CAM,2,10,2323,-1
veh10,2338,,2.34433,1,CAM,11,10,2338,-1
veh10,2355,2.35585,,0,CAM,10,,2355,-1
veh10,2384,,2.38858,1,CAM,8,10,2384,-1
veh10,2386,,2.39008,1,CAM,5,10,2386,-1
veh10,2401,,2.41033,1,CAM,3,10,2401,-1
veh10,2437,,2.43958,1,CAM,9,10,2437,-1
veh10,2434,,2.44358,1,CAM,6,10,2434,-1
veh10,2455,2.45585,,0,CAM,10,,2455,-1
veh10,2457,,2.45933,1,CAM,12,10,2457,-1
veh10,2455,,2.47408,1,CAM,7,10,2455,-1
veh10,2486,,2.49008,1,CAM,5,10,2486,-1
veh10,2501,,2.51033,1,CAM,3,10,2501,-1
veh10,2528,,2.53008,1,CAM,4,10,2528,-1
veh10,2523,,2.53683,1,CAM,2,10,2523,-1
veh10,2538,,2.54433,1,CAM,11,10,2538,-1
veh10,2555,2.55585,,0,CAM,10,,2555,-1
veh10,2555,,2.57408,1,CAM,7,10,2555,-1
veh10,2584,,2.58858,1,CAM,8,10,2584,-1
veh10,2586,,2.59008,1,CAM,5,10,2586,-1
veh10,2637,,2.63958,1,CAM,9,10,2637,-1
veh10,2634,,2.64358,1,CAM,6,10,2634,-1
veh10,2657,,2.65933,1,CAM,12,10,2657,-1
veh10,2655,,2.67408,1,CAM,7,10,2655,-1
veh10,2686,,2.68708,1,CAM,5,10,2686,-1
veh10,2701,,2.71033,1,CAM,3,10,2701,-1
veh10,2728,,2.73008,1,CAM,4,10,2728,-1
veh10,2723,,2.73683,1,CAM,2,10,2723,-1
veh10,2737,,2.73958,1,CAM,9,10,2737,-1
veh10,2755,2.75585,,0,CAM,10,,2755,-1
veh10,2738,,2.75858,1,CAM,11,10,2738,-1
veh10,2757,,2.75933,1,CAM,12,10,2757,-1
veh10,2755,,2.77408,1,CAM,7,10,2755,-1
veh10,2784,,2.80083,1,CAM,8,10,2784,-1
veh10,2828,,2.83008,1,CAM,4,10,2828,-1
veh10,2837,,2.83958,1,CAM,9,10,2837,-1
veh10,2834,,2.84358,1,CAM,6,10,2834,-1
veh10,2857,,2.85933,1,CAM,12,10,2857,-1
veh10,2855,,2.87408,1,CAM,7,10,2855,-1
veh10,2886,,2.88708,1,CAM,5,10,2886,-1
veh10,2901,,2.92058,1,CAM,3,10,2901,-1
veh10,2928,,2.93008,1,CAM,4,10,2928,-1
veh10,2923,,2.93683,1,CAM,2,10,2923,-1
veh10,2937,,2.93958,1,CAM,9,10,2937,-1
veh10,2955,2.95585,,0,CAM,10,,2955,-1
veh10,2938,,2.95858,1,CAM,11,10,2938,-1
veh10,2957,,2.95933,1,CAM,12,10,2957,-1
veh10,2955,,2.97408,1,CAM,7,10,2955,-1
veh10,2984,,3.00083,1,CAM,8,10,2984,-1
veh10,3028,,3.03008,1,CAM,4,10,3028,-1
veh10,3037,,3.03958,1,CAM,9,10,3037,-1
veh10,3034,,3.04808,1,CAM,6,10,3034,-1
veh10,3057,,3.05933,1,CAM,12,10,3057,-1
veh10,3055,,3.07408,1,CAM,7,10,3055,-1
veh10,3086,,3.08708,1,CAM,5,10,3086,-1
veh10,3101,,3.12058,1,CAM,3,10,3101,-1
veh10,3123,,3.12758,1,CAM,2,10,3123,-1
veh10,3137,,3.13958,1,CAM,9,10,3137,-1
veh10,3128,,3.14758,1,CAM,4,10,3128,-1
veh10,3155,3.15585,,0,CAM,10,,3155,-1
veh10,3138,,3.15858,1,CAM,11,10,3138,-1
veh10,3157,,3.15933,1,CAM,12,10,3157,-1
veh10,3155,,3.16708,1,CAM,7,10,3155,-1
veh10,3184,,3.20083,1,CAM,8,10,3184,-1
veh10,3228,,3.24758,1,CAM,4,10,3228,-1
veh10,3234,,3.24808,1,CAM,6,10,3234,-1
veh10,3237,,3.25233,1,CAM,9,10,3237,-1
veh10,3238,,3.25858,1,CAM,11,10,3238,-1
veh10,3257,,3.25933,1,CAM,12,10,3257,-1
veh10,3301,,3.32058,1,CAM,3,10,3301,-1
veh10,3323,,3.32758,1,CAM,2,10,3323,-1
veh10,3328,,3.34758,1,CAM,4,10,3328,-1
veh10,3355,3.35585,,0,CAM,10,,3355,-1
veh10,3338,,3.35858,1,CAM,11,10,3338,-1
veh10,3357,,3.35933,1,CAM,12,10,3357,-1
veh10,3355,,3.36708,1,CAM,7,10,3355,-1
veh10,3384,,3.40083,1,CAM,8,10,3384,-1
veh10,3434,,3.44808,1,CAM,6,10,3434,-1
veh10,3437,,3.45233,1,CAM,9,10,3437,-1
veh10,3438,,3.45858,1,CAM,11,10,3438,-1
veh10,3484,,3.50083,1,CAM,8,10,3484,-1
veh10,3501,,3.51958,1,CAM,3,10,3501,-1
veh10,3523,,3.52758,1,CAM,2,10,3523,-1
veh10,3538,,3.54108,1,CAM,11,10,3538,-1
veh10,3528,,3.54758,1,CAM,4,10,3528,-1
veh10,3555,3.55585,,0,CAM,10,,3555,-1
veh10,3557,,3.55858,1,CAM,12,10,3557,-1
veh10,3555,,3.56708,1,CAM,7,10,3555,-1
veh10,3486,,3.58708,1,CAM,5,10,3486,-1
veh10,3584,,3.60083,1,CAM,8,10,3584,-1
veh10,3638,,3.64108,1,CAM,11,10,3638,-1
veh10,3634,,3.64808,1,CAM,6,10,3634,-1
veh10,3637,,3.65233,1,CAM,9,10,3637,-1
veh10,3655,3.65585,,0,CAM,10,,3655,-1
veh10,3686,,3.68708,1,CAM,5,10,3686,-1
veh10,3684,,3.70083,1,CAM,8,10,3684,-1
veh10,3701,,3.71958,1,CAM,3,10,3701,-1
veh10,3723,,3.72758,1,CAM,2,10,3723,-1
veh10,3728,,3.74758,1,CAM,4,10,3728,-1
veh10,3755,3.75585,,0,CAM,10,,3755,-1
veh10,3757,,3.75858,1,CAM,12,10,3757,-1
veh10,3755,,3.76708,1,CAM,7,10,3755,-1
veh10,3784,,3.79633,1,CAM,8,10,3784,-1
veh10,3786,,3.80033,1,CAM,5,10,3786,-1
veh10,3838,,3.84108,1,CAM,11,10,3838,-1
veh10,3834,,3.84808,1,CAM,6,10,3834,-1
veh10,3837,,3.85233,1,CAM,9,10,3837,-1
veh10,3855,3.85585,,0,CAM,10,,3855,-1
veh10,3884,,3.89633,1,CAM,8,10,3884,-1
veh10,3886,,3.90033,1,CAM,5,10,3886,-1
veh10,3901,,3.91958,1,CAM,3,10,3901,-1
veh10,3923,,3.92508,1,CAM,2,10,3923,-1
veh10,3928,,3.95308,1,CAM,4,10,3928,-1
veh10,3955,3.95585,,0,CAM,10,,3955,-1
veh10,3957,,3.95858,1,CAM,12,10,3957,-1
veh10,3955,,3.96708,1,CAM,7,10,3955,-1
